case,target_angle_deg,window_half_width_deg,positive_target_power_fraction,negative_target_power_fraction,positive_to_negative_ratio,target_total_fraction,target_to_normal_ratio,target_to_offtarget_ratio,FWHM_around_dominant_offaxis_lobe_deg,peak_intensity_normalized
center_x,36.07150156714285,1,0.17845970947596443,0.17845971521311768,0.9999999678518301,0.3569194246890821,20.024045896659427,0.5550150920302919,3.31297398600433,1.0
center_x,36.07150156714285,2,0.28776560678259105,0.28776561870095274,0.9999999585830935,0.5755312254835437,32.28869844806642,1.3558858979419015,3.31297398600433,1.0
center_x,36.07150156714285,3,0.3341206632575445,0.3341206830395307,0.9999999407938893,0.6682413462970752,37.48996121450778,2.0142393840778476,3.31297398600433,1.0
center_x,36.07150156714285,5,0.3534140532646945,0.35341407963417526,0.9999999253864452,0.7068281328988698,39.654773585232675,2.410968487146988,3.31297398600433,1.0
center_x,36.07150156714285,10,0.3823507461210573,0.382350775636382,0.9999999228056367,0.7647015217574392,42.901611147264255,3.2499212382034015,3.31297398600433,1.0
center_z_outofplane,36.07150156714285,1,0.0147802081476683,0.014780206554759158,1.0000001077731313,0.029560414702427457,0.350077460515701,0.030460850062462307,5.206302552821195,1.0
center_z_outofplane,36.07150156714285,2,0.03170818642475886,0.031708183713731374,1.0000000854992994,0.06341637013849023,0.7510260609227282,0.06771031236993481,5.206302552821195,1.0
center_z_outofplane,36.07150156714285,3,0.04757709970971603,0.047577095828330314,1.0000000815809718,0.09515419553804634,1.1268901152675044,0.10516067496674492,5.206302552821195,1.0
center_z_outofplane,36.07150156714285,5,0.0621413899476542,0.06214138493062308,1.000000080735747,0.12428277487827728,1.4718534449944307,0.14192112626424844,5.206302552821195,1.0
center_z_outofplane,36.07150156714285,10,0.11666881792908583,0.11666882404901309,0.9999999475444505,0.2333376419780989,2.763366142481984,0.30435515652567513,5.206302552821195,1.0
incoherent_average,36.07150156714285,1,0.04852249118391107,0.04852249110208327,1.000000001686389,0.09704498228599434,1.3724939670309098,0.10747488012379765,4.449120195012995,1.0
incoherent_average,36.07150156714285,2,0.08449403853897552,0.08449403884377461,0.9999999963926557,0.16898807738275012,2.389975362399033,0.20335216954592744,4.449120195012995,1.0
incoherent_average,36.07150156714285,3,0.10664762439351148,0.10664762539029433,0.9999999906534924,0.21329524978380582,3.016605667069857,0.2711249038793654,4.449120195012995,1.0
incoherent_average,36.07150156714285,5,0.12218681143663554,0.12218681288988666,0.9999999881063178,0.24437362432652218,3.4561428853806406,0.3234053656593391,4.449120195012995,1.0
incoherent_average,36.07150156714285,10,0.17143874785871993,0.1714387588015732,0.9999999361704824,0.34287750666029315,4.849269877086371,0.5217862881510568,4.449120195012995,1.0
