candidate_id,geometry_hash,topology,N,H_nm,L_nm,C_nm,M,effective_center_nm,spectral_peak_nm,spectral_FWHM_nm,T448,T450,T453,edge_stability,normal_to_40_60_ratio,FAB_pass,PERF_pass,combined_pass,layer_count,total_thickness_nm,pareto_view_name,candidate_role_suggestion
ZL1_N2_M5_L79_H44,f113d6914ee8f4a815469d7e0a953db921a9e365891bfd07281765afa9e8d846,ZL-1,2,44,79,,5,474.0,450.0,8.0,0.818765019074975,0.9927238945573948,0.6676292093343901,0.6676292093343901,13.436837598481523,false,false,false,8,887.0,global:fwhm_vs_T450,coverage_probe
ZL1_N3_M5_L79_H44,0c3c6ec3494f560943b34dc32046b353c4684737fa0a1760e7f6a4ff6fc6fae6,ZL-1,3,44,79,,5,474.0,450.0,2.0,0.3058709504003244,0.9882503361806485,0.15438893492665334,0.15438893492665334,22.3390144010909,false,false,false,12,1133.0,global:fwhm_vs_T450,coverage_probe
ZL1_N4_M5_L79_H44,e72770706508522f8e1d5cec5a9854270d78bb75eff0c1cfcb1943dcb5440c1e,ZL-1,4,44,79,,5,474.0,450.0,0.5,0.04146918162767796,0.9338668491558197,0.017495492098159378,0.017495492098159378,22.078305297596096,false,false,false,16,1379.0,global:fwhm_vs_T450,coverage_probe
ZL1_N5_M5_L79_H44,e0be011b307c624834021d9c8ea8b84a47c6958293103312b516fca57e68ea5a,ZL-1,5,44,79,,5,474.0,450.0,0.0,0.004259077143940524,0.5870474340037957,0.0017760089922251965,0.0017760089922251965,14.231783117725742,false,false,false,20,1625.0,global:fwhm_vs_T450,coverage_probe
EX_N3_L77_H44_C159,b299706cd4dfbe63e9dd596e6cdd019d013c7d19878e7702a37b595c7ddf11af,Explicit,3,44,77,159,,159.0,448.5,6.5,0.806349545742304,0.7329535607130275,0.36253573727606386,0.36253573727606386,27.031721838123374,false,false,false,13,885.0,global:fwhm_vs_edge_stability,coverage_probe
EX_N3_L81_H46_C152,843cf713064a771880139715fc823240fa68afcb7e2fa74a9631ad339cb6dda3,Explicit,3,46,81,152,,152.0,450.5,7.0,0.5758633842187872,0.8185183030019686,0.5929837752526478,0.5758633842187872,45.751060765145695,false,false,false,13,914.0,global:fwhm_vs_edge_stability,coverage_probe
EX_N4_L81_H43_C160,2ca0d02899a6c74b823e60ffab23f75238fec031f67a2d05d820c2ee8c0e4c7a,Explicit,4,43,81,160,,160.0,450.5,1.5,0.15914031133452494,0.7742763377252804,0.13266793410104213,0.13266793410104213,103.75008767447689,false,false,false,17,1152.0,global:fwhm_vs_edge_stability,coverage_probe
ZL1_N2_M1_L81_H42,78c6f48ce7e5d9aba5f13670aec8e882b6b5e275ea851cef21f52e9a343bc22a,ZL-1,2,42,81,,1,162.0,449.5,16.0,0.9513051903247283,0.9911178791028153,0.8544254458898557,0.8544254458898557,11.172933416353533,false,false,false,8,573.0,global:fwhm_vs_edge_stability,coverage_probe
ZL1_N2_M1_L79_H44,fe758e83ffc0817934e6f9e05e39b6facb3b2070a7cbc1dbc8349ee87ad57d3d,ZL-1,2,44,79,,1,158.0,449.5,15.5,0.9658468158799973,0.9860045324496695,0.8272178000965875,0.8272178000965875,11.347560339264643,false,false,false,8,571.0,global:fwhm_vs_edge_stability,coverage_probe
ZL1_N2_M3_L78_H46,0b8f3e9a6bfad9ed0dfbd28cefd55a61358df44ad92cedefa134e339dbe21707,ZL-1,2,46,78,,3,312.0,450.0,10.5,0.8715454714706498,0.9926247057144868,0.7857983437648952,0.7857983437648952,18.21641742577863,false,false,false,8,730.0,global:fwhm_vs_edge_stability,coverage_probe
