dataset,rows,unique_geometry_hash,topology_or_role,valid_angular_fwhm,notes
tmm_angular_sparse_labels,2688,2688,"Explicit,ZL-1,ZL-2",15,sparse angular labels; not FDTD dipole far-field
fdtd_validation,11,3,"fdtd_broadband_angular,fdtd_broadband_spectral,fdtd_single",8,single-wavelength external reference
