layer_index_top_to_bottom,pair_index,name,material_label,material_name,thickness_nm,y_min_nm,y_max_nm,y_center_nm,x_span_nm,z_span_nm,set_name_status,set_material_status,set_x_status,set_x_span_status,set_y_status,set_y_span_status,set_z_status,set_z_span_status
1,1,H1J_bottom_DBR_QWexact10pair_01_TiO2,TiO2,tio22,44.37,-994.37,-950.0,-972.185,6000.0,5000.0,set,set,set,set,set,set,set,set
2,1,H1J_bottom_DBR_QWexact10pair_02_SiO2,SiO2,sio222,78.89,-1073.26,-994.37,-1033.815,6000.0,5000.0,set,set,set,set,set,set,set,set
3,2,H1J_bottom_DBR_QWexact10pair_03_TiO2,TiO2,tio22,44.37,-1117.6299999999999,-1073.26,-1095.445,6000.0,5000.0,set,set,set,set,set,set,set,set
4,2,H1J_bottom_DBR_QWexact10pair_04_SiO2,SiO2,sio222,78.89,-1196.52,-1117.6299999999999,-1157.0749999999998,6000.0,5000.0,set,set,set,set,set,set,set,set
5,3,H1J_bottom_DBR_QWexact10pair_05_TiO2,TiO2,tio22,44.37,-1240.8899999999999,-1196.52,-1218.705,6000.0,5000.0,set,set,set,set,set,set,set,set
6,3,H1J_bottom_DBR_QWexact10pair_06_SiO2,SiO2,sio222,78.89,-1319.78,-1240.8899999999999,-1280.335,6000.0,5000.0,set,set,set,set,set,set,set,set
7,4,H1J_bottom_DBR_QWexact10pair_07_TiO2,TiO2,tio22,44.37,-1364.1499999999999,-1319.78,-1341.965,6000.0,5000.0,set,set,set,set,set,set,set,set
8,4,H1J_bottom_DBR_QWexact10pair_08_SiO2,SiO2,sio222,78.89,-1443.04,-1364.1499999999999,-1403.5949999999998,6000.0,5000.0,set,set,set,set,set,set,set,set
9,5,H1J_bottom_DBR_QWexact10pair_09_TiO2,TiO2,tio22,44.37,-1487.4099999999999,-1443.04,-1465.225,6000.0,5000.0,set,set,set,set,set,set,set,set
10,5,H1J_bottom_DBR_QWexact10pair_10_SiO2,SiO2,sio222,78.89,-1566.3,-1487.4099999999999,-1526.855,6000.0,5000.0,set,set,set,set,set,set,set,set
11,6,H1J_bottom_DBR_QWexact10pair_11_TiO2,TiO2,tio22,44.37,-1610.6699999999998,-1566.3,-1588.485,6000.0,5000.0,set,set,set,set,set,set,set,set
12,6,H1J_bottom_DBR_QWexact10pair_12_SiO2,SiO2,sio222,78.89,-1689.56,-1610.6699999999998,-1650.1149999999998,6000.0,5000.0,set,set,set,set,set,set,set,set
13,7,H1J_bottom_DBR_QWexact10pair_13_TiO2,TiO2,tio22,44.37,-1733.9299999999998,-1689.56,-1711.745,6000.0,5000.0,set,set,set,set,set,set,set,set
14,7,H1J_bottom_DBR_QWexact10pair_14_SiO2,SiO2,sio222,78.89,-1812.82,-1733.9299999999998,-1773.375,6000.0,5000.0,set,set,set,set,set,set,set,set
15,8,H1J_bottom_DBR_QWexact10pair_15_TiO2,TiO2,tio22,44.37,-1857.1899999999998,-1812.82,-1835.0049999999999,6000.0,5000.0,set,set,set,set,set,set,set,set
16,8,H1J_bottom_DBR_QWexact10pair_16_SiO2,SiO2,sio222,78.89,-1936.08,-1857.1899999999998,-1896.6349999999998,6000.0,5000.0,set,set,set,set,set,set,set,set
17,9,H1J_bottom_DBR_QWexact10pair_17_TiO2,TiO2,tio22,44.37,-1980.4499999999998,-1936.08,-1958.2649999999999,6000.0,5000.0,set,set,set,set,set,set,set,set
18,9,H1J_bottom_DBR_QWexact10pair_18_SiO2,SiO2,sio222,78.89,-2059.3399999999997,-1980.4499999999998,-2019.8949999999998,6000.0,5000.0,set,set,set,set,set,set,set,set
19,10,H1J_bottom_DBR_QWexact10pair_19_TiO2,TiO2,tio22,44.37,-2103.7099999999996,-2059.3399999999997,-2081.5249999999996,6000.0,5000.0,set,set,set,set,set,set,set,set
20,10,H1J_bottom_DBR_QWexact10pair_20_SiO2,SiO2,sio222,78.89,-2182.5999999999995,-2103.7099999999996,-2143.1549999999997,6000.0,5000.0,set,set,set,set,set,set,set,set
