step,status,detail
load_lumapi,ok,N:\Program Files\ANSYS Inc\v251\Lumerical\api\python\lumapi.py
launch_fdtd,ok,FDTD launched for no-run setup save
load_input_fsp,ok,F:\wc_312\MDC_blue_oujizi.fsp
layoutmode_before,recorded,0.0
switchtolayout,attempted,None
layoutmode_after,recorded,1.0
save_derived_fsp,ok,D:\project\worktrees\blue_apcd_rcled_mdc\runtime\r2_4h1j_rcled_mdc_derived_fsp_DO_NOT_COMMIT\MDC_blue_oujizi_RCLED_QWexact10pair_H1J.fsp
reopen_derived_fsp_no_run,ok,D:\project\worktrees\blue_apcd_rcled_mdc\runtime\r2_4h1j_rcled_mdc_derived_fsp_DO_NOT_COMMIT\MDC_blue_oujizi_RCLED_QWexact10pair_H1J.fsp
inspect_derived_first_last_layer,recorded,first_y=-9.72185e-07; last_y=-2.143155e-06
