case_id,attempt_id,solver_entered,entered_utc,pre_fsp_sha256,physical_contract_sha256,geometry_hash_sha256,input_polarization,wavelengths_nm
LPML_R1_GLOBAL_SOBOL_009,LPML_R1_GLOBAL_SOBOL_009_x,True,1785740754.0108085,40bdf641d2edd42fb910ad7cd20548887d4a1745be49947036cbd041ccdf0472,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,e50a5a488e637c0b7a6027c205c482cd891ee1ec3f2d603336659aa413786cf5,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_GLOBAL_SOBOL_009,LPML_R1_GLOBAL_SOBOL_009_y,True,1785740774.706061,0887f539bae3730bd5dffa084a5677fa3575eea7e69267c44c44588b6b7a451b,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,e50a5a488e637c0b7a6027c205c482cd891ee1ec3f2d603336659aa413786cf5,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_GLOBAL_SOBOL_010,LPML_R1_GLOBAL_SOBOL_010_x,True,1785740795.563276,916318cb329727eedecfd0ab60cef32254289f6cbfecfe3a1bd50f12956c7ca3,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,b9102cfa22df75bc9a9b4faba164c46de01d7d0e8d25d472a07149c304270df7,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_GLOBAL_SOBOL_010,LPML_R1_GLOBAL_SOBOL_010_y,True,1785740816.485635,1a316c76e606ef43d6e7154f317720f2c30e1f67ab6be72940bfcb759aa41ad9,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,b9102cfa22df75bc9a9b4faba164c46de01d7d0e8d25d472a07149c304270df7,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_GLOBAL_SOBOL_011,LPML_R1_GLOBAL_SOBOL_011_x,True,1785740837.2559094,f8520baa42d0a02a7cd5300e519eb197b7a5e4a657241f38e55fa368c76bf675,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,ffd391a0f097d702fbc93685fe37f92d87887ce1b74011102cbcac818f8f568a,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_GLOBAL_SOBOL_011,LPML_R1_GLOBAL_SOBOL_011_y,True,1785740857.9995134,12e79879a00bc411a53e2376775b6347fb86f77eaca447a361e101d770e8e06b,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,ffd391a0f097d702fbc93685fe37f92d87887ce1b74011102cbcac818f8f568a,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_GLOBAL_SOBOL_012,LPML_R1_GLOBAL_SOBOL_012_x,True,1785740878.7255292,415c994ddde04dbbe69acc7cc7cc6bf86350e5bf0e1f74a775ea27d2a5a01f43,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,029a7e27700db1709cdda224b0fd26e01497455f44389c620e8365aeb95dfd8c,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_GLOBAL_SOBOL_012,LPML_R1_GLOBAL_SOBOL_012_y,True,1785740899.5518513,c7c5954140e7dc9e0c2c80b7ae0247b9c80b6a2fbe3c16f232d0267bc0687dc3,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,029a7e27700db1709cdda224b0fd26e01497455f44389c620e8365aeb95dfd8c,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_GLOBAL_SOBOL_013,LPML_R1_GLOBAL_SOBOL_013_x,True,1785740920.2430308,7b70caec85ffbf9109f3fee825ad02b40078a4293b6f8bb10fb6a444e33b914c,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,70037d07457c9593c78d1bbc8bb358e6970c04c5c520d0c7ac77e5e6a26152b5,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_GLOBAL_SOBOL_013,LPML_R1_GLOBAL_SOBOL_013_y,True,1785740940.9921384,cafb92d9d946df9f920adf637a931c1513eb730fb9af2d26b9135f82a0cb4e99,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,70037d07457c9593c78d1bbc8bb358e6970c04c5c520d0c7ac77e5e6a26152b5,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
