candidate_id,category,wavelength_nm,geometry_hash_sha256,source_polarization_x_status,source_polarization_y_status,physics_origin,model_fill,Jones_complete,txx_real,txx_imag,txy_real,txy_imag,tyx_real,tyx_imag,tyy_real,tyy_imag,Txx,Txy,Tyx,Tyy,cross_power_xy_yx,combined_leakage,target_transmission,orthogonal_rejection,sigma1,sigma2,sigma2_over_sigma1,determinant_real,determinant_imag,jones_frobenius_norm,projection_error_apcd_v1,phase_wrapped_deg,primitive_valid,manufacturing_pass,phase_unwrapped_deg,x_checkpoint_sha256,y_checkpoint_sha256
LPML_R1_GLOBAL_SOBOL_009,GLOBAL_SOBOL,450.0,e50a5a488e637c0b7a6027c205c482cd891ee1ec3f2d603336659aa413786cf5,ACCEPTED,ACCEPTED,PROSPECTIVE_LP_ML_ROUND1_PRODUCTION_FORMAL_WEIGHTED_G0,NONE,True,0.17707040830447962,0.9845934951715548,1.7547323943430019e-09,4.081175396409156e-09,7.268599005147934e-09,6.07421614507466e-10,-0.34522821061000564,0.33640501420403274,1.0007782802312537,1.9735078392012148e-17,5.320149251540839e-17,0.23235085098260186,7.293657090742055e-17,0.23235085098260194,1.0007782802312537,4.307185775300605,1.0003890644300615,0.48202785291163613,0.48184038595649337,-0.3923518889393237,-0.2803420772955448,1.110463475857651,0.18842377906836316,79.80484334802054,True,True,79.80484334802054,4baf1fe612a0afbca926c9b24b0aedcd1b92f1b6656d3ea134ee2bfbd531676f,f49c42a66b3d52233bcea9ea1f42f7e21b41fd1882380394542e26e2877db564
LPML_R1_GLOBAL_SOBOL_009,GLOBAL_SOBOL,450.5,e50a5a488e637c0b7a6027c205c482cd891ee1ec3f2d603336659aa413786cf5,ACCEPTED,ACCEPTED,PROSPECTIVE_LP_ML_ROUND1_PRODUCTION_FORMAL_WEIGHTED_G0,NONE,True,0.208378697162621,0.9725740469303304,1.0400923472253e-08,-2.5955512368454147e-09,5.084387353456687e-09,-2.2716311796783564e-09,-0.3430690730234224,0.42027934642447745,0.989321958193632,1.1491609529875315e-16,3.101130297647718e-17,0.29433111789613614,1.4592739827523034e-16,0.2943311178961363,0.989321958193632,3.361255056092113,0.9946466499182672,0.5425229192358016,0.5454428658462602,-0.48024107126669724,-0.24608281407473648,1.13298414644238,0.22929179493942442,77.90693421833817,True,True,77.90693421833817,4baf1fe612a0afbca926c9b24b0aedcd1b92f1b6656d3ea134ee2bfbd531676f,f49c42a66b3d52233bcea9ea1f42f7e21b41fd1882380394542e26e2877db564
LPML_R1_GLOBAL_SOBOL_009,GLOBAL_SOBOL,451.0,e50a5a488e637c0b7a6027c205c482cd891ee1ec3f2d603336659aa413786cf5,ACCEPTED,ACCEPTED,PROSPECTIVE_LP_ML_ROUND1_PRODUCTION_FORMAL_WEIGHTED_G0,NONE,True,0.24968030045432002,0.958849263017123,5.766684901350285e-09,-7.039447678105782e-09,-3.697736950283525e-09,-3.921928412792405e-09,-0.32535963965676234,0.499525959479586,0.9817321616234393,8.280847836425022e-17,2.905478102856046e-17,0.35538507931157914,1.1186325939281067e-16,0.35538507931157926,0.9817321616234393,2.7624461992753457,0.9908239811507589,0.5961418281848534,0.6016626964281635,-0.5602059906901319,-0.18724905905280775,1.1563378576069447,0.26578453140209723,75.4045452670141,True,True,75.4045452670141,4baf1fe612a0afbca926c9b24b0aedcd1b92f1b6656d3ea134ee2bfbd531676f,f49c42a66b3d52233bcea9ea1f42f7e21b41fd1882380394542e26e2877db564
LPML_R1_GLOBAL_SOBOL_009,GLOBAL_SOBOL,451.5,e50a5a488e637c0b7a6027c205c482cd891ee1ec3f2d603336659aa413786cf5,ACCEPTED,ACCEPTED,PROSPECTIVE_LP_ML_ROUND1_PRODUCTION_FORMAL_WEIGHTED_G0,NONE,True,0.2905679145538253,0.9544799888945457,-1.5261521994869067e-09,-7.547262361816592e-09,-7.161316729825247e-09,-1.2515338123343644e-09,-0.29492230930223173,0.5705916520936477,0.9954617621682911,5.92903096940921e-17,5.285079418829117e-17,0.4125540019631194,1.1214110388238327e-16,0.41255400196311953,0.9954617621682911,2.4129247502907045,0.9977283007754622,0.6423036680286978,0.643766111003849,-0.6303132741230131,-0.11570181609687492,1.1865984005262316,0.29300382316217866,73.0684212419606,True,True,73.0684212419606,4baf1fe612a0afbca926c9b24b0aedcd1b92f1b6656d3ea134ee2bfbd531676f,f49c42a66b3d52233bcea9ea1f42f7e21b41fd1882380394542e26e2877db564
LPML_R1_GLOBAL_SOBOL_009,GLOBAL_SOBOL,452.0,e50a5a488e637c0b7a6027c205c482cd891ee1ec3f2d603336659aa413786cf5,ACCEPTED,ACCEPTED,PROSPECTIVE_LP_ML_ROUND1_PRODUCTION_FORMAL_WEIGHTED_G0,NONE,True,0.32009739305539997,0.9484608934668397,6.720963281263042e-10,-7.536210709170602e-09,-4.476573057635157e-09,9.224039035387165e-09,-0.253746149016369,0.6321876588386461,1.0020404074767792,5.724618532729853e-17,1.0512260246669117e-16,0.46404834412852564,1.623687877939897e-16,0.4640483441285258,1.0020404074767792,2.1593448617052875,1.0010196838608016,0.6812109395249945,0.6805170272952608,-0.6808287525387988,-0.038306677693788045,1.2108215193022072,0.3165213181128449,71.35090369723483,True,True,71.35090369723483,4baf1fe612a0afbca926c9b24b0aedcd1b92f1b6656d3ea134ee2bfbd531676f,f49c42a66b3d52233bcea9ea1f42f7e21b41fd1882380394542e26e2877db564
LPML_R1_GLOBAL_SOBOL_009,GLOBAL_SOBOL,452.5,e50a5a488e637c0b7a6027c205c482cd891ee1ec3f2d603336659aa413786cf5,ACCEPTED,ACCEPTED,PROSPECTIVE_LP_ML_ROUND1_PRODUCTION_FORMAL_WEIGHTED_G0,NONE,True,0.3497003428053111,0.9305218908260581,-6.17775921639909e-09,-2.228632753500785e-09,6.088478864824676e-10,5.122534854071963e-09,-0.20488858346706562,0.6859347776085221,0.9881613190646545,4.313151288578038e-17,2.6611059080056238e-17,0.5124858507679932,6.974257196583662e-17,0.5124858507679932,0.9881613190646545,1.9281728804489544,0.9940630357601346,0.7158811708433136,0.7201567155103978,-0.709926934118961,0.04921831477533845,1.2250090488778635,0.3415098905795064,69.40322861479888,True,True,69.40322861479888,4baf1fe612a0afbca926c9b24b0aedcd1b92f1b6656d3ea134ee2bfbd531676f,f49c42a66b3d52233bcea9ea1f42f7e21b41fd1882380394542e26e2877db564
LPML_R1_GLOBAL_SOBOL_009,GLOBAL_SOBOL,453.0,e50a5a488e637c0b7a6027c205c482cd891ee1ec3f2d603336659aa413786cf5,ACCEPTED,ACCEPTED,PROSPECTIVE_LP_ML_ROUND1_PRODUCTION_FORMAL_WEIGHTED_G0,NONE,True,0.3895552573729219,0.913276374082794,-1.070502871322401e-09,-4.968979017864433e-09,-4.221904573775061e-09,2.6878963784562947e-09,-0.15238076554717928,0.7310935871577492,0.985827034004699,2.583672887748649e-17,2.5049265171381247e-17,0.5577177308919297,5.088599404886774e-17,0.5577177308919297,0.985827034004699,1.76760927508637,0.99288822835438,0.7468050153098396,0.7521541639662699,-0.7270512287360267,0.14563559747004146,1.2423947701502245,0.3613226798312391,66.89947597852614,True,True,66.89947597852614,4baf1fe612a0afbca926c9b24b0aedcd1b92f1b6656d3ea134ee2bfbd531676f,f49c42a66b3d52233bcea9ea1f42f7e21b41fd1882380394542e26e2877db564
LPML_R1_GLOBAL_SOBOL_009,GLOBAL_SOBOL,453.5,e50a5a488e637c0b7a6027c205c482cd891ee1ec3f2d603336659aa413786cf5,ACCEPTED,ACCEPTED,PROSPECTIVE_LP_ML_ROUND1_PRODUCTION_FORMAL_WEIGHTED_G0,NONE,True,0.4260098859230687,0.9058876963409036,-4.8151509221566446e-09,3.003967780193374e-09,-4.354000358647837e-09,1.137142909706277e-08,-0.09694977669173391,0.7655259743886647,1.002116941286015,3.2209500827585885e-17,1.4826671883263132e-16,0.5954292766642916,1.8047621966021721e-16,0.5954292766642917,1.002116941286015,1.683015902241262,1.0010579110551074,0.7716406395883328,0.7708251751140246,-0.7347821247367855,0.23829602315242127,1.2639407493827814,0.3727148986201121,64.81390542422366,True,True,64.81390542422366,4baf1fe612a0afbca926c9b24b0aedcd1b92f1b6656d3ea134ee2bfbd531676f,f49c42a66b3d52233bcea9ea1f42f7e21b41fd1882380394542e26e2877db564
LPML_R1_GLOBAL_SOBOL_009,GLOBAL_SOBOL,454.0,e50a5a488e637c0b7a6027c205c482cd891ee1ec3f2d603336659aa413786cf5,ACCEPTED,ACCEPTED,PROSPECTIVE_LP_ML_ROUND1_PRODUCTION_FORMAL_WEIGHTED_G0,NONE,True,0.45045404586113774,0.893246620037641,-4.345663683425628e-10,-5.103286137861428e-09,5.8571410816206765e-09,1.2310709839504432e-08,-0.037760743097906196,0.7919000597257563,1.000798371641338,2.6232377333383052e-17,1.8585967840247986e-16,0.6285315783129622,2.1209205573586292e-16,0.6285315783129625,1.000798371641338,1.5922801752102487,1.0003991061777986,0.7927998349602265,0.7924835498796658,-0.7243715312608128,0.3229849296788292,1.2764520946570226,0.38576077137144116,63.23871340927195,True,True,63.23871340927195,4baf1fe612a0afbca926c9b24b0aedcd1b92f1b6656d3ea134ee2bfbd531676f,f49c42a66b3d52233bcea9ea1f42f7e21b41fd1882380394542e26e2877db564
LPML_R1_GLOBAL_SOBOL_010,GLOBAL_SOBOL,450.0,b9102cfa22df75bc9a9b4faba164c46de01d7d0e8d25d472a07149c304270df7,ACCEPTED,ACCEPTED,PROSPECTIVE_LP_ML_ROUND1_PRODUCTION_FORMAL_WEIGHTED_G0,NONE,True,0.004425295732065491,0.9990665454889566,0.000972618448489217,0.0021122692533857316,0.0010439942827834502,0.002131557929811525,-0.10730400536803478,0.02109104722441129,0.9981535455575536,5.407668045140288e-06,5.633463270626926e-06,0.011958981841045583,1.1041131315767215e-05,0.01197002297236135,0.9981535455575536,83.3877719251065,0.9990815500099389,0.10936007022516409,0.1094606043161103,-0.02154272463204833,-0.10711478622849477,1.0050490378732346,0.011850058097131133,89.74621399195149,True,True,89.74621399195149,0eda13c5e62250e9eff752fa45cae45e46a053e15f49455473155f4f1952abb5,ef055ba68ab449b5b113d0cbc3b6bbfc4690276b0dc61449960c149da0998094
