candidate_id,role,top_pair_count,bottom_pair_count,cavity_span_nm,termination,validated_wavelengths,avg_eta20,min_eta20,max_peak_abs_angle_deg,wavelength_nm,eta10,eta20,eta30,peak_abs_angle_deg,dominant_zone
R1C2_C2_cav230,primary,6,0,230,TiO2_50nm,"450,453,456",0.6626666666666666,0.587,9.3,,,,,,
,,,,,,,,,,450,0.398,0.587,0.856,9.3,abs_5_10
,,,,,,,,,,453,0.461,0.682,0.856,9.01,abs_5_10
,,,,,,,,,,456,0.494,0.719,0.861,6.81,abs_5_10
