metric,authoritative_value,source,original_h1f_value,status
peak_angle_deg,12.350349028551616,H1G recalculated profile,12.350349028551616,retained_or_confirmed
angular_fwhm_deg,22.14306775417506,H1G recalculated profile,44.392201713641114,supersedes_original
eta10,0.2934811715566548,H1G recalculated profile,0.2934811715566548,retained_or_confirmed
eta20,0.6796214780331167,H1G recalculated profile,0.6796214780331167,retained_or_confirmed
leakage20_40,0.16590983227365963,H1G recalculated profile,0.7662856329943483,supersedes_original
leakage40_60,0.07753351102592027,H1G recalculated profile,0.22720349707302373,supersedes_original
