grid_level,polarization,ux,selection_reason,existing_asset,reusable,needs_new_solver,source_asset_id,order_threshold_refs
minimum,P,-0.9549788465408765,MASS_QUANTILE,,False,True,,[]
minimum,P,-0.7413793103448276,ORDER_THRESHOLD,,False,True,,"[-1,450,""opening""]"
minimum,P,-0.48275862068965514,ORDER_THRESHOLD,,False,True,,"[-2,450,""opening""]"
minimum,P,-0.22413793103448276,ORDER_THRESHOLD,,False,True,,"[-3,450,""opening""]"
minimum,P,0.0,CENTRAL_ANCHOR,RUN3A_P_PILOT_HF_V1,True,False,RUN3A_P_PILOT_HF_V1,[]
minimum,P,0.22413793103448276,ORDER_THRESHOLD,,False,True,,"[3,450,""closing""]"
minimum,P,0.48275862068965514,ORDER_THRESHOLD,,False,True,,"[2,450,""closing""]"
minimum,P,0.7413793103448276,ORDER_THRESHOLD,,False,True,,"[1,450,""closing""]"
minimum,P,0.9549788465408766,MASS_QUANTILE,,False,True,,[]
minimum,S,-0.3786893999886029,MASS_QUANTILE,,False,True,,[]
minimum,S,-0.22413793103448276,ORDER_THRESHOLD,,False,True,,"[-3,450,""opening""]"
minimum,S,0.0,CENTRAL_ANCHOR,RUN3A_S_PILOT_HF_V1,True,False,RUN3A_S_PILOT_HF_V1,[]
minimum,S,0.22413793103448276,ORDER_THRESHOLD,,False,True,,"[3,450,""closing""]"
minimum,S,0.37868939998860307,MASS_QUANTILE,,False,True,,[]
recommended,P,-0.9960139162372611,MASS_QUANTILE,,False,True,,[]
recommended,P,-0.9549788465408765,MASS_QUANTILE,,False,True,,[]
recommended,P,-0.8989500609319028,MASS_QUANTILE,,False,True,,[]
recommended,P,-0.7413793103448276,ORDER_THRESHOLD,,False,True,,"[-1,450,""opening""]"
recommended,P,-0.48275862068965514,ORDER_THRESHOLD,,False,True,,"[-2,450,""opening""]"
recommended,P,-0.4447224305454446,MASS_QUANTILE,,False,True,,[]
recommended,P,-0.22413793103448276,ORDER_THRESHOLD,,False,True,,"[-3,450,""opening""]"
recommended,P,0.0,CENTRAL_ANCHOR,RUN3A_P_PILOT_HF_V1,True,False,RUN3A_P_PILOT_HF_V1,[]
recommended,P,0.22413793103448276,ORDER_THRESHOLD,,False,True,,"[3,450,""closing""]"
recommended,P,0.4447224305454448,MASS_QUANTILE,,False,True,,[]
recommended,P,0.48275862068965514,ORDER_THRESHOLD,,False,True,,"[2,450,""closing""]"
recommended,P,0.7413793103448276,ORDER_THRESHOLD,,False,True,,"[1,450,""closing""]"
recommended,P,0.8989500609319028,MASS_QUANTILE,,False,True,,[]
recommended,P,0.9549788465408766,MASS_QUANTILE,,False,True,,[]
recommended,P,0.9960139162372612,MASS_QUANTILE,,False,True,,[]
recommended,S,-0.59079551125947,MASS_QUANTILE,,False,True,,[]
recommended,S,-0.48275862068965514,ORDER_THRESHOLD,,False,True,,"[-2,450,""opening""]"
recommended,S,-0.3786893999886029,MASS_QUANTILE,,False,True,,[]
recommended,S,-0.30865436985072636,MASS_QUANTILE,,False,True,,[]
recommended,S,-0.24562284411253515,MASS_QUANTILE,,False,True,,[]
recommended,S,-0.22413793103448276,ORDER_THRESHOLD,,False,True,,"[-3,450,""opening""]"
recommended,S,0.0,CENTRAL_ANCHOR,RUN3A_S_PILOT_HF_V1,True,False,RUN3A_S_PILOT_HF_V1,[]
recommended,S,0.22413793103448276,ORDER_THRESHOLD,,False,True,,"[3,450,""closing""]"
recommended,S,0.2456228441125353,MASS_QUANTILE,,False,True,,[]
recommended,S,0.3086543698507264,MASS_QUANTILE,,False,True,,[]
recommended,S,0.37868939998860307,MASS_QUANTILE,,False,True,,[]
recommended,S,0.48275862068965514,ORDER_THRESHOLD,,False,True,,"[2,450,""closing""]"
recommended,S,0.5907955112594703,MASS_QUANTILE,,False,True,,[]
