theta_air_in_deg,polarization_branch,eta_plus1,eta_zero,eta_minus1,eta_plus2,theta_out_plus1_deg,directionality,R_total,T_total,solver_reused,case_id
-10.0,P_XLIKE,0.2581464494005228,0.013885597947940741,0.006349733476680511,0.0007024702187997898,4.874444203898843,0.97599309975816,0.10328614745660751,0.30607571194421423,False,STAGE_A_POL_XM10_450NM_P_XLIKE
-10.0,S_YLIKE,0.4659183648139122,0.0017956825956068779,0.002697196752178543,0.012338825160818646,4.874444203898843,0.9942443295242593,0.03217305034121783,0.4919380303687044,False,STAGE_A_POL_YM10_450NM_S_YLIKE
-5.0,P_XLIKE,0.3086829450684895,0.011969201731038817,0.010033173599038353,0.019891796573773667,9.873005090723506,0.9685200308004989,0.066117231435227,0.4019258019092331,False,STAGE_A_POL_XM5_450NM_P_XLIKE
-5.0,S_YLIKE,0.40235732025192583,0.006084830464754552,0.0017339052287500335,0.0198313694208016,9.873005090723506,0.995709124278342,0.07903546962104006,0.43805755895031556,False,STAGE_A_POL_YM5_450NM_S_YLIKE
0.0,P_XLIKE,0.376202552031929,0.00033562477869515455,0.000549100357967581,0.014190309923864277,14.988234482305131,0.9985425402795598,0.05451642969721874,0.431402119943098,True,STAGE_A_450NM_X_UX0_TEXTRA237
0.0,S_YLIKE,0.3170225007402073,0.01864280024988542,0.006431645273485233,0.0123125468828631,14.988234482305131,0.9801157432892731,0.1086797661399145,0.377874302055701,False,STAGE_A_POL_Y0_450NM_S_YLIKE_UX0
5.0,P_XLIKE,0.3616147503931417,0.0014484500533263887,0.009156950493513838,0.005329089027758487,20.229199285812754,0.9753029951541174,0.06137873960347155,0.4113656795229408,False,STAGE_A_POL_XP5_450NM_P_XLIKE
5.0,S_YLIKE,0.36706818693131155,0.014746010503013968,0.0025052437005368337,0.0033614900234257613,20.229199285812754,0.9932212559321332,0.08340044112217944,0.4286080946189367,False,STAGE_A_POL_YP5_450NM_S_YLIKE
10.0,P_XLIKE,0.19815406977958594,0.013874187598787438,0.004316941073726745,0.005040266378640899,25.611634564652103,0.9786787202003239,0.10254744086325633,0.3062118649206973,False,STAGE_A_POL_XP10_450NM_P_XLIKE
10.0,S_YLIKE,0.36273276220788964,0.0057924033395207256,0.005159993667212498,0.0008646065862696495,25.611634564652103,0.9859741906172127,0.0386401241418983,0.47870558440078703,False,STAGE_A_POL_YP10_450NM_S_YLIKE
