axis,complex_dJ,dR_total_per_nm,dR_total_per_rad,dTxx_per_nm,dTxx_per_rad,dTxy_per_nm,dTxy_per_rad,dTyx_per_nm,dTyx_per_rad,dTyy_per_nm,dTyy_per_rad,da0_per_nm,da0_per_rad,dax_per_nm,dax_per_rad,day_per_nm,day_per_rad,daz_per_nm,daz_per_rad,denominator,denominator_unit,dmatrix_projection_error_per_nm,dmatrix_projection_error_per_rad,doff_axis_fraction_per_nm,doff_axis_fraction_per_rad,dsigma2_over_sigma1_per_nm,dsigma2_over_sigma1_per_rad,minus_candidate_id,phase_crosscheck_abs_difference_rad_per_unit,phase_crosscheck_status,phase_crosscheck_tolerance_rad_per_unit,phase_method_A_deg_per_unit,phase_method_A_rad_per_unit,phase_method_B_deg_per_unit,phase_method_B_rad_per_unit,plus_candidate_id,schema_version
D,"[[{""imag"":0.0011072054271960008,""real"":0.017326595773275354},{""imag"":-6.267005323475198e-09,""real"":1.165995045636086e-09}],[{""imag"":1.873814839137553e-09,""real"":1.3126605471739673e-09},{""imag"":-0.014105401847764293,""real"":0.010493147957249205}]]",0.9996429104651039,,0.0040077544381362795,,5.960329876275602e-17,,-1.991111211626727e-18,,-0.010520832886441053,,"{""imag"":-0.00649909821028416,""real"":0.013909871865262276}",,"{""imag"":-2.196595242168822e-09,""real"":1.2393277964050266e-09}",,"{""imag"":-7.333275076894073e-11,""real"":4.070410081306375e-09}",,"{""imag"":0.007606303637480133,""real"":0.003416723908013064}",,2.0,nm,-0.017103293832344907,,2.7297429029412084e-09,,-0.017103293832344907,,LP_H500_D6_J2LM06_D_M01,2.2677951470005675e-05,PASS,0.004363323129985824,-0.996146503978025,-0.017386036326647328,-0.9948471530707912,-0.017363358375177322,LP_H500_D6_J2LM06_D_P01,LP_ML_SCHEMA_V1.22
Psi,"[[{""imag"":-0.36555633023805373,""real"":0.2993665432534005},{""imag"":-0.09412329381406194,""real"":-0.14596664297773085}],[{""imag"":-0.08988361612134177,""real"":-0.15057041589930806},{""imag"":-0.002966190820318738,""real"":0.0029173177393440656}]]",,-6.424497857300867,,-0.6896691781155447,,-1.0488995362768389e-05,,-8.506448582025991e-06,,-0.0025995737896659017,,"{""imag"":-0.18426126052918762,""real"":0.15114193049637226}",,"{""imag"":-0.09200345496770185,""real"":-0.14826852943851945}",,"{""imag"":0.002301886460788616,""real"":0.002119838846360088}",,"{""imag"":-0.18129506970887163,""real"":0.1482246127570282}",0.010024978696435921,rad,,0.10940923180734334,,-0.006809777813390759,,0.10940923180734334,LP_H500_D6_J2LM06_PSI_M01,0.0003534903452196425,PASS,0.016131562667659107,-18.485409156153327,-0.32263125335318216,-18.505662661033035,-0.3229847436984018,LP_H500_D6_J2LM06_PSI_P01,LP_ML_SCHEMA_V1.22
