candidate_id,input_polarization,wavelength_nm,exact_geometry_hash,physics_configuration_hash,weighted_G0_version,normalization_version,source_plan_sha256,schema_version,formal_subrun_key,checkpoint_path,checkpoint_sha256,weighted_G0_Ex,weighted_G0_Ey,source_T,normalization_scale,validator_id,quality_status
LP_H500_D6_J2LM06_D_M01,x,450.0,5f2817d72d4af477068661649150caf0ba80f982664b373dff9ac1ba1601803f,403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,LP_WEIGHTED_G0_SQRT_T_NORM_V1,7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,LP_ML_SCHEMA_V1.22,LP_H500_D6_J2LM06_D_M01|x|450.0|5f2817d72d4af477068661649150caf0ba80f982664b373dff9ac1ba1601803f|403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38|LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1|LP_WEIGHTED_G0_SQRT_T_NORM_V1|7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml_dataset_v1\staging\b120_j2lm06_positional_jacobian_stage_d6_v1_attempt1_lp_ml_schema_v1_22\subruns\LP_H500_D6_J2LM06_D_M01\x\checkpoint.json,78f634a3404b55415aad27a7651512867cb00579080284ed02791a5f72917440,"{""imag"": 0.9892413670680382, ""real"": 0.035041331352093405}","{""imag"": 1.5608720752712756e-09, ""real"": -6.974080729126993e-09}",0.9798263772215682,1.0458809258980064,LP_V122_CHECKPOINT_AUTHORITATIVE_POST_SOLVER_ACCEPTANCE_V1,PASS
LP_H500_D6_J2LM06_D_M01,y,450.0,5f2817d72d4af477068661649150caf0ba80f982664b373dff9ac1ba1601803f,403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,LP_WEIGHTED_G0_SQRT_T_NORM_V1,7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,LP_ML_SCHEMA_V1.22,LP_H500_D6_J2LM06_D_M01|y|450.0|5f2817d72d4af477068661649150caf0ba80f982664b373dff9ac1ba1601803f|403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38|LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1|LP_WEIGHTED_G0_SQRT_T_NORM_V1|7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml_dataset_v1\staging\b120_j2lm06_positional_jacobian_stage_d6_v1_attempt1_lp_ml_schema_v1_22\subruns\LP_H500_D6_J2LM06_D_M01\y\checkpoint.json,90aa123a26d37e4a9c0bc24178358a3716cb4a679b74ed53cdb02f3a3d6ad12b,"{""imag"": 1.8477604913145028e-09, ""real"": 6.403749731470331e-10}","{""imag"": 0.18235734740938828, ""real"": -0.2856398580930829}",0.11484433068562484,1.0353034343844014,LP_V122_CHECKPOINT_AUTHORITATIVE_POST_SOLVER_ACCEPTANCE_V1,PASS
LP_H500_D6_J2LM06_D_P01,x,450.0,9fcd55e6215120ee265aa7832441436fa8b51ebd21c1964cea734d418a818199,403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,LP_WEIGHTED_G0_SQRT_T_NORM_V1,7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,LP_ML_SCHEMA_V1.22,LP_H500_D6_J2LM06_D_P01|x|450.0|9fcd55e6215120ee265aa7832441436fa8b51ebd21c1964cea734d418a818199|403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38|LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1|LP_WEIGHTED_G0_SQRT_T_NORM_V1|7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml_dataset_v1\staging\b120_j2lm06_positional_jacobian_stage_d6_v1_attempt1_lp_ml_schema_v1_22\subruns\LP_H500_D6_J2LM06_D_P01\x\checkpoint.json,c21c43b28956e4001dd2b02ddd8b14f8a6dab4869808104991ae0a28ec2942a5,"{""imag"": 0.9914557779224302, ""real"": 0.06969452289864411}","{""imag"": 5.308501753546382e-09, ""real"": -4.348759634779059e-09}",0.9878418860978406,1.0458844949637895,LP_V122_CHECKPOINT_AUTHORITATIVE_POST_SOLVER_ACCEPTANCE_V1,PASS
LP_H500_D6_J2LM06_D_P01,y,450.0,9fcd55e6215120ee265aa7832441436fa8b51ebd21c1964cea734d418a818199,403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,LP_WEIGHTED_G0_SQRT_T_NORM_V1,7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,LP_ML_SCHEMA_V1.22,LP_H500_D6_J2LM06_D_P01|y|450.0|9fcd55e6215120ee265aa7832441436fa8b51ebd21c1964cea734d418a818199|403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38|LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1|LP_WEIGHTED_G0_SQRT_T_NORM_V1|7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml_dataset_v1\staging\b120_j2lm06_positional_jacobian_stage_d6_v1_attempt1_lp_ml_schema_v1_22\subruns\LP_H500_D6_J2LM06_D_P01\y\checkpoint.json,30624d709e9981e15327e62c902b6e8d13afd821737b654b1e9f6197c6d9c600,"{""imag"": -1.0686250155635893e-08, ""real"": 2.972365064419205e-09}","{""imag"": 0.1541465437138597, ""real"": -0.2646535621785845}",0.09380266491274282,1.0360588185405626,LP_V122_CHECKPOINT_AUTHORITATIVE_POST_SOLVER_ACCEPTANCE_V1,PASS
LP_H500_D6_J2LM06_PSI_M01,x,450.0,9b31439575612ea3ab947f81f25dd8e67d732b82ca981f58da4dea369cecfdca,403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,LP_WEIGHTED_G0_SQRT_T_NORM_V1,7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,LP_ML_SCHEMA_V1.22,LP_H500_D6_J2LM06_PSI_M01|x|450.0|9b31439575612ea3ab947f81f25dd8e67d732b82ca981f58da4dea369cecfdca|403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38|LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1|LP_WEIGHTED_G0_SQRT_T_NORM_V1|7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml_dataset_v1\staging\b120_j2lm06_positional_jacobian_stage_d6_v1_attempt1_lp_ml_schema_v1_22\subruns\LP_H500_D6_J2LM06_PSI_M01\x\checkpoint.json,90bbf7dc9ff44577ae3a7ddb6b9a87511101fbaa9410a0c735cf747d8bb4c623,"{""imag"": 0.9925865955814692, ""real"": 0.05642807317400506}","{""imag"": 0.0006252602050424574, ""real"": 0.0006786804849743514}",0.9884131287276666,1.0459349242935654,LP_V122_CHECKPOINT_AUTHORITATIVE_POST_SOLVER_ACCEPTANCE_V1,PASS
LP_H500_D6_J2LM06_PSI_M01,y,450.0,9b31439575612ea3ab947f81f25dd8e67d732b82ca981f58da4dea369cecfdca,403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,LP_WEIGHTED_G0_SQRT_T_NORM_V1,7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,LP_ML_SCHEMA_V1.22,LP_H500_D6_J2LM06_PSI_M01|y|450.0|9b31439575612ea3ab947f81f25dd8e67d732b82ca981f58da4dea369cecfdca|403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38|LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1|LP_WEIGHTED_G0_SQRT_T_NORM_V1|7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml_dataset_v1\staging\b120_j2lm06_positional_jacobian_stage_d6_v1_attempt1_lp_ml_schema_v1_22\subruns\LP_H500_D6_J2LM06_PSI_M01\y\checkpoint.json,1ebd7762211cbd1ae572f2a910ea10c05c9960efcc828e8f1985d21c9f08cd82,"{""imag"": 0.0006441204115547846, ""real"": 0.0006564635889172496}","{""imag"": 0.16906123103757512, ""real"": -0.2736780343886742}",0.10348221218233683,1.0358166635572101,LP_V122_CHECKPOINT_AUTHORITATIVE_POST_SOLVER_ACCEPTANCE_V1,PASS
LP_H500_D6_J2LM06_PSI_P01,x,450.0,a7f3ac3ce7fe3c9469e6297e1d4df2e86705f74bcad2041dd454e704fe932b56,403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,LP_WEIGHTED_G0_SQRT_T_NORM_V1,7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,LP_ML_SCHEMA_V1.22,LP_H500_D6_J2LM06_PSI_P01|x|450.0|a7f3ac3ce7fe3c9469e6297e1d4df2e86705f74bcad2041dd454e704fe932b56|403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38|LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1|LP_WEIGHTED_G0_SQRT_T_NORM_V1|7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml_dataset_v1\staging\b120_j2lm06_positional_jacobian_stage_d6_v1_attempt1_lp_ml_schema_v1_22\subruns\LP_H500_D6_J2LM06_PSI_P01\x\checkpoint.json,c82d261195fdeafbc3b5d4379031c92dd7666f2685c339692dfac2e394a398fc,"{""imag"": 0.9889219011584854, ""real"": 0.059429216392546065}","{""imag"": -0.0002758211317326181, ""real"": -0.0008307847267297085}",0.9814991246325041,1.0459241394697423,LP_V122_CHECKPOINT_AUTHORITATIVE_POST_SOLVER_ACCEPTANCE_V1,PASS
LP_H500_D6_J2LM06_PSI_P01,y,450.0,a7f3ac3ce7fe3c9469e6297e1d4df2e86705f74bcad2041dd454e704fe932b56,403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38,LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1,LP_WEIGHTED_G0_SQRT_T_NORM_V1,7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,LP_ML_SCHEMA_V1.22,LP_H500_D6_J2LM06_PSI_P01|y|450.0|a7f3ac3ce7fe3c9469e6297e1d4df2e86705f74bcad2041dd454e704fe932b56|403866467fb3ec47d5bb8efb9d22f225d6e670caee2b51aaa29b470bf01b8d38|LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1|LP_WEIGHTED_G0_SQRT_T_NORM_V1|7ad1e0be8c101e4a6766d31c77207dd04a21f5a891dcd68e02ac1ff9ed9bc7f7,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml_dataset_v1\staging\b120_j2lm06_positional_jacobian_stage_d6_v1_attempt1_lp_ml_schema_v1_22\subruns\LP_H500_D6_J2LM06_PSI_P01\y\checkpoint.json,c06e9f01078e126f63af23c892afae298073c67cbc9b3709e7c43d3c01c15108,"{""imag"": -0.00029946360376956524, ""real"": -0.00080684889732477}","{""imag"": 0.16903149503779186, ""real"": -0.27364878834048656}",0.10345604635852053,1.035814422332303,LP_V122_CHECKPOINT_AUTHORITATIVE_POST_SOLVER_ACCEPTANCE_V1,PASS
