wavelength_nm,CONTROL0_R,CONTROL0_T,CONTROL0_signed_residual,CONTROL0_abs_residual,ALT1_R,ALT1_T,ALT1_signed_residual,ALT1_abs_residual,delta_abs_closure_CONTROL0_minus_ALT1
445,0.2126747030206799,0.7856390637721073,0.0016862332072127562,0.0016862332072127562,0.30173946832652304,0.6958243059604862,0.0024362257129907916,0.0024362257129907916,-0.0007499925057780354
446,0.2120032672861126,0.7864859153249993,0.0015108173888880583,0.0015108173888880583,0.3032532817485577,0.6943242507858663,0.0024224674655759504,0.0024224674655759504,-0.0009116500766878921
447,0.212147328188676,0.7856783010576783,0.0021743707536456824,0.0021743707536456824,0.3099471308227058,0.6921109425615171,-0.0020580733842228693,0.0020580733842228693,0.0001162973694228131
448,0.2117054581996563,0.7860797759711573,0.0022147658291863936,0.0022147658291863936,0.3160412374293879,0.6802213303439733,0.0037374322266388593,0.0037374322266388593,-0.0015226663974524657
449,0.21260016667635243,0.7850935455537688,0.0023062877698788176,0.0023062877698788176,0.2969364243816374,0.6996031578630661,0.00346041775529643,0.00346041775529643,-0.0011541299854176124
450,0.21251490306855242,0.783819730389412,0.0036653665420355863,0.0036653665420355863,0.29750575344764385,0.7092578344421673,-0.006763587889811129,0.006763587889811129,-0.0030982213477755427
451,0.21649864683793163,0.7824449342229058,0.001056418939162529,0.001056418939162529,0.3011684581218697,0.7018469621341394,-0.003015420256009149,0.003015420256009149,-0.0019590013168466203
452,0.2303969245845927,0.7616698810821232,0.0079331943332841,0.0079331943332841,0.30258596293252243,0.7020825269967417,-0.004668489929264108,0.004668489929264108,0.0032647044040199913
453,0.18577822018571435,0.8018699837368316,0.012351796077454041,0.012351796077454041,0.30338136119150905,0.7027215594439821,-0.006102920635491116,0.006102920635491116,0.0062488754419629255
454,0.19434790949547562,0.8017553076337574,0.0038967828707670293,0.0038967828707670293,0.30031191747519703,0.7044551554379667,-0.004767072913163695,0.004767072913163695,-0.0008702900423966653
455,0.19877077052708741,0.7982786175914144,0.0029506118814981996,0.0029506118814981996,0.2975758174378378,0.7086329341878692,-0.006208751625706999,0.006208751625706999,-0.003258139744208799
