wavelength_nm,metric,HF,RCWA,signed_delta_HF_minus_RCWA,abs_delta,closure_abs
445,eta_plus1,0.6290726467266827,0.6094201852446082,0.019652461482074557,0.019652461482074557,0.0016862332072127562
445,T,0.7856390637721073,0.7242572371377545,0.061381826634352876,0.061381826634352876,0.0016862332072127562
445,R,0.2126747030206799,0.27574276286222227,-0.06306805984154237,0.06306805984154237,0.0016862332072127562
446,eta_plus1,0.6254447368689665,0.6592468768971435,-0.03380214002817694,0.03380214002817694,0.0015108173888880583
446,T,0.7864859153249993,0.7589517013845181,0.027534213940481278,0.027534213940481278,0.0015108173888880583
446,R,0.2120032672861126,0.24104829861299715,-0.029045031326884546,0.029045031326884546,0.0015108173888880583
447,eta_plus1,0.6210829086115847,0.7287927962183429,-0.10770988760675826,0.10770988760675826,0.0021743707536456824
447,T,0.7856783010576783,0.858348832760461,-0.0726705317027827,0.0726705317027827,0.0021743707536456824
447,R,0.212147328188676,0.14165116723939544,0.07049616094928055,0.07049616094928055,0.0021743707536456824
448,eta_plus1,0.6176136275352448,0.7394412177046764,-0.12182759016943157,0.12182759016943157,0.0022147658291863936
448,T,0.7860797759711573,0.8616173105748065,-0.0755375346036492,0.0755375346036492,0.0022147658291863936
448,R,0.2117054581996563,0.13838268942464707,0.07332276877500923,0.07332276877500923,0.0022147658291863936
449,eta_plus1,0.6134930027681076,0.7490187965441467,-0.13552579377603913,0.13552579377603913,0.0023062877698788176
449,T,0.7850935455537688,0.8590750827830708,-0.07398153722930201,0.07398153722930201,0.0023062877698788176
449,R,0.21260016667635243,0.14092491721697575,0.07167524945937667,0.07167524945937667,0.0023062877698788176
450,eta_plus1,0.6094015133035777,0.7649905045282254,-0.15558899122464764,0.15558899122464764,0.0036653665420355863
450,T,0.783819730389412,0.8666484724404631,-0.08282874205105106,0.08282874205105106,0.0036653665420355863
450,R,0.21251490306855242,0.13335152755881324,0.07916337550973918,0.07916337550973918,0.0036653665420355863
451,eta_plus1,0.605470970510408,0.766173550091196,-0.16070257958078804,0.16070257958078804,0.001056418939162529
451,T,0.7824449342229058,0.8680188996296987,-0.08557396540679285,0.08557396540679285,0.001056418939162529
451,R,0.21649864683793163,0.13198110037029698,0.08451754646763465,0.08451754646763465,0.001056418939162529
452,eta_plus1,0.5921103720143089,0.7558362004756157,-0.1637258284613068,0.1637258284613068,0.0079331943332841
452,T,0.7616698810821232,0.8611783532556052,-0.09950847217348202,0.09950847217348202,0.0079331943332841
452,R,0.2303969245845927,0.1388216467440008,0.09157527784059191,0.09157527784059191,0.0079331943332841
453,eta_plus1,0.5957567856550672,0.8184440037922083,-0.2226872181371411,0.2226872181371411,0.012351796077454041
453,T,0.8018699837368316,0.8936432380736009,-0.0917732543367693,0.0917732543367693,0.012351796077454041
453,R,0.18577822018571435,0.1063567619262383,0.07942145825947605,0.07942145825947605,0.012351796077454041
454,eta_plus1,0.5983218212329973,0.7839035713805961,-0.1855817501475988,0.1855817501475988,0.0038967828707670293
454,T,0.8017553076337574,0.8852923376488429,-0.0835370300150855,0.0835370300150855,0.0038967828707670293
454,R,0.19434790949547562,0.11470766235188203,0.07964024714359359,0.07964024714359359,0.0038967828707670293
455,eta_plus1,0.5914150526616254,0.7733027483414074,-0.18188769567978202,0.18188769567978202,0.0029506118814981996
455,T,0.7982786175914144,0.8815902773878473,-0.08331165979643296,0.08331165979643296,0.0029506118814981996
455,R,0.19877077052708741,0.11840972261230784,0.08036104791477958,0.08036104791477958,0.0029506118814981996
