wavelength_nm,order_n,CONTROL0_fraction,ALT1_fraction,abs_fraction_delta,CONTROL0_eta_abs,ALT1_eta_abs,abs_eta_delta,CONTROL0_u_x,ALT1_u_x
445,-1,0.004657184206594994,0.047687012773779285,0.04302982856718429,0.0036588658398835354,0.03318178256664381,0.029522916726760273,-0.7898921488095831,-0.7898921488095831
445,0,0.0557920374482386,0.10493054712719424,0.04913850967895564,0.04383240406677253,0.07301322512883401,0.029180821062061484,-0.5341450223728014,-0.5341450223728014
445,1,0.8007145720406282,0.7828927235999186,0.017821848440709664,0.6290726467266827,0.5447557860404281,0.08431686068625466,-0.27839789593601977,-0.27839789593601977
445,2,0.06616951982514618,0.019946890995686795,0.04622262882945939,0.051985359605677746,0.013879531583143236,0.03810582802253451,-0.022650769499238162,-0.022650769499238162
445,3,0.026949751188341687,0.012977027546201612,0.013972723642140075,0.0211727772925,0.009029731185765848,0.012143046106734152,0.2330963569375435,0.2330963569375435
445,4,0.004030463060714676,0.012013878714457308,0.007983415653742632,0.0031664892255879405,0.008359548818380714,0.005193059592792773,0.4888434833743251,0.4888434833743251
445,5,0.041686472230335676,0.019551919242761992,0.022134552987573684,0.03275052101500287,0.013604700637290338,0.019145820377712536,0.7445906098111068,0.7445906098111068
446,-1,0.004930435228938812,0.04881563409390822,0.04388519886496941,0.003877717863982564,0.03389387856888982,0.030016160704907254,-0.7916671873462336,-0.7916671873462336
446,0,0.05980309720628111,0.10503477805109546,0.04523168084481435,0.04703429364555191,0.0729281935767866,0.0258938999312347,-0.535345348265774,-0.535345348265774
446,1,0.7952395900319641,0.7813678267660829,0.013871763265881243,0.6254447368689665,0.542522630907541,0.08292210596142546,-0.27902350918531416,-0.27902350918531416
446,2,0.06452911806353606,0.01854210819374376,0.0459870098697923,0.05075124248531511,0.012874235379611609,0.0378770071057035,-0.022701670104854424,-0.022701670104854424
446,3,0.02680295019031173,0.013463894909772093,0.013339055280539637,0.021080142813837688,0.009348308745887149,0.01173183406795054,0.23362016897560534,0.23362016897560534
446,4,0.005532859834300812,0.011572156478207973,0.0060392966439071615,0.004351516331144998,0.00803482887670856,0.0036833125455635624,0.4899420080560651,0.4899420080560651
446,5,0.043161949444667225,0.02120360150718966,0.021958347937477564,0.03394626531620045,0.014722174730441528,0.019224090585758923,0.7462638471365248,0.7462638471365248
