wavelength_nm,CONTROL0_eta_plus1,ALT1_eta_plus1,CONTROL0_T,ALT1_T,CONTROL0_R,ALT1_R,CONTROL0_directionality,ALT1_directionality,Delta_eta_plus1,Delta_T,Delta_R,Delta_directionality,CONTROL0_RCWA_eta_plus1,ALT1_RCWA_eta_plus1,Delta_RCWA_eta_plus1
445,0.6290726467266827,0.5447557860404281,0.7856390637721073,0.6958243059604862,0.2126747030206799,0.30173946832652304,0.9942173484847594,0.942585870223634,-0.08431686068625466,-0.08981475781162118,0.08906476530584315,-0.05163147826112535,0.6094201852446082,0.7065566344297853,0.09713644918517716
446,0.6254447368689665,0.542522630907541,0.7864859153249993,0.6943242507858663,0.2120032672861126,0.3032532817485577,0.9938382655269656,0.9411989802310204,-0.08292210596142546,-0.09216166453913299,0.0912500144624451,-0.05263928529594519,0.6592468768971435,0.7156803119843493,0.056433435087205885
447,0.6210829086115847,0.5377365939551998,0.7856783010576783,0.6921109425615171,0.212147328188676,0.3099471308227058,0.9936255455103989,0.9397785092172135,-0.08334631465638487,-0.09356735849616127,0.09779980263402982,-0.053847036293185435,0.7287927962183429,0.7236078525463109,-0.0051849436720320385
448,0.6176136275352448,0.519789865340945,0.7860797759711573,0.6802213303439733,0.2117054581996563,0.3160412374293879,0.9932682556115381,0.9379758898777607,-0.09782376219429989,-0.10585844562718405,0.10433577922973158,-0.05529236573377738,0.7394412177046764,0.7307544267965657,-0.008686790908110753
449,0.6134930027681076,0.4808286963266864,0.7850935455537688,0.6996031578630661,0.21260016667635243,0.2969364243816374,0.993168818338106,0.9282939150967098,-0.1326643064414212,-0.08549038769070261,0.084336257705285,-0.06487490324139622,0.7490187965441467,0.7391094835569721,-0.009909312987174568
450,0.6094015133035777,0.5398816134613701,0.783819730389412,0.7092578344421673,0.21251490306855242,0.29750575344764385,0.9929230957564378,0.9286037441845038,-0.06951989984220763,-0.07456189594724472,0.08499085037909143,-0.06431935157193402,0.7649905045282254,0.7437661693366346,-0.021224335191590726
451,0.605470970510408,0.5341689330700774,0.7824449342229058,0.7018469621341394,0.21649864683793163,0.3011684581218697,0.993244770634351,0.9256006548388607,-0.07130203744033059,-0.0805979720887664,0.08466981128393808,-0.06764411579549034,0.766173550091196,0.7472403653449018,-0.01893318474629424
452,0.5921103720143089,0.530216560058377,0.7616698810821232,0.7020825269967417,0.2303969245845927,0.30258596293252243,0.9947552152615815,0.9216499858549347,-0.06189381195593191,-0.059587354085381516,0.07218903834792972,-0.07310522940664677,0.7558362004756157,0.7500305004054677,-0.005805700070148023
453,0.5957567856550672,0.5261510651132291,0.8018699837368316,0.7027215594439821,0.18577822018571435,0.30338136119150905,0.9821759601624735,0.9174676803210475,-0.06960572054183811,-0.09914842429284954,0.11760314100579469,-0.06470827984142602,0.8184440037922083,0.7523717917310859,-0.06607221206112235
454,0.5983218212329973,0.5222142758063347,0.8017553076337574,0.7044551554379667,0.19434790949547562,0.30031191747519703,0.9879056722382051,0.9130734056396073,-0.07610754542666254,-0.09730015219579069,0.10596400797972141,-0.07483226659859787,0.7839035713805961,0.7544467211932699,-0.029456850187326133
455,0.5914150526616254,0.5201830901034317,0.7982786175914144,0.7086329341878692,0.19877077052708741,0.2975758174378378,0.9886708417902415,0.9089204004790972,-0.07123196255819375,-0.08964568340354517,0.09880504691075037,-0.07975044131114428,0.7733027483414074,0.7564325703974841,-0.016870177943923315
