geometry_id,wavelength_nm,sigma1,sigma2,sigma2_over_sigma1,adjacent_overlap,drift_angle_deg
BF01,435.0,0.7507476262259252,0.4288885699849864,0.5712819528195477,nan,nan
BF01,436.0,0.7882901528261161,0.598758282440961,0.759565853124436,0.9999999999999999,8.537736462515939e-07
BF01,437.0,0.813704162752024,0.755673811688646,0.9286837234958786,0.9999999999999974,4.094554566467037e-06
BF01,438.0,0.8331746756986739,0.8272475548898605,0.9928861006200853,0.9999999999993112,6.724788650779929e-05
BF01,439.0,0.9419929170709779,0.8462661049535167,0.898378416246363,1.3226639467635203e-06,89.99992421693813
BF01,440.0,0.8541909925503115,0.686005707003244,0.803105760873308,2.401438687043122e-07,89.99998624076986
BF01,441.0,0.9535039250909477,0.8639557829336203,0.9060851876946536,1.768119102201877e-07,89.99998986942377
BF01,442.0,0.868723324269699,0.24889273158282374,0.2865040279562632,4.735158251614255e-08,89.99999728695417
BF01,443.0,0.8692007637311286,0.7449613507901782,0.8570647678591069,0.999999999999999,2.561320938754782e-06
BF01,444.0,0.8678474638179938,0.824296649947771,0.9498174325720489,0.9999999999999981,3.52019892386405e-06
BF01,445.0,0.8605150916420408,0.8406681562335736,0.9769359821794699,0.9999999999999736,1.3171378306389627e-05
BF01,446.0,0.8486394378267845,0.8196261886051937,0.9658120422780625,0.9999999999999909,7.73124918760008e-06
BF01,447.0,0.8252499735991395,0.6435327642221355,0.7798034350919323,0.999999999999988,8.872676000826597e-06
BF01,448.0,0.9337860522028094,0.7863855023570404,0.842147406787615,8.026583253189076e-08,89.99999540110656
BF01,449.0,0.9908178121906468,0.7134054439291405,0.7200167731662374,1.0,0.0
BF01,450.0,0.9978165719725158,0.572442998787292,0.5736956218873658,1.0,0.0
BF01,451.0,0.9855487026724153,0.2865005402358817,0.2907015548384432,0.9999999999999998,1.2074182697257333e-06
BF01,452.0,0.9881133429899251,0.2123015482524367,0.2148554614291868,1.0,0.0
BF01,453.0,0.9878465474372546,0.6987096416684444,0.7073058497608654,1.0,0.0
BF01,454.0,0.9842691507856525,0.9530858386207928,0.9683183079140814,0.999999999999863,2.9991647633427174e-05
BF01,455.0,0.991735236892802,0.9622921068099007,0.9703115015100711,0.9999999999999178,2.3225154141253322e-05
BF01,456.0,0.9833258148702223,0.35750932024983006,0.36357158008407775,0.9999999999998362,3.2789799062738985e-05
BF01,457.0,0.993113912661059,0.34563344600735685,0.34803001106008924,1.0,0.0
BF01,458.0,0.9865080627122115,0.6150106528374154,0.623421820949505,0.9999999999999999,8.537736462515939e-07
BF01,459.0,0.9900506978619757,0.7292740936862202,0.7366027772730173,0.9999999999999999,8.537736462515939e-07
BF01,460.0,0.9927056932330035,0.7900576838064596,0.7958629523252071,1.0,0.0
BF01,461.0,0.9860352344199497,0.8305906005615838,0.8423538749608592,1.0,0.0
BF01,462.0,0.9951806785486674,0.8737044697225427,0.8779355232224957,0.9999999999999994,1.9090959104164224e-06
BF01,463.0,0.9884151367052353,0.9325225490315568,0.9434523151274374,0.9999999999999966,4.7536104815230715e-06
BF01,464.0,0.9987819291265477,0.9889465632598547,0.990152639350119,5.798415409352986e-07,89.99996677752692
BF01,465.0,0.9949494737346922,0.6013677228482404,0.6044203637707514,4.453940902512222e-07,89.9999744807984
BF02,435.0,0.9484017032636676,0.016634346297899005,0.017539346714220787,nan,nan
BF02,436.0,0.9607968914758428,0.01656669893084643,0.017242664998009066,0.9965874108171181,4.7348172177843315
BF02,437.0,0.9681888993545055,0.05211522971337635,0.0538275431045757,0.9981350601790573,3.499754324868344
BF02,438.0,0.9537824317363001,0.2029820894570215,0.21281802086405133,0.995240906935317,5.592063789411812
BF02,439.0,0.9764654632485256,0.5077154293411831,0.5199522650315812,0.849025703586596,31.894142853851175
BF02,440.0,0.999175528089188,0.09190100870289848,0.09197684102476862,0.9559941615366068,17.060761497051825
BF02,441.0,0.9925787798264897,0.027525466163774433,0.027731265994409122,0.9996255056542221,1.568100224759286
BF02,442.0,0.9971075163009532,0.05438545263679483,0.05454321800577008,0.9998290873713952,1.0593290759924425
BF02,443.0,0.989042242263309,0.048152721384170524,0.04868621311257503,0.9995996460216781,1.6213403641195836
BF02,444.0,1.010758199794155,0.18259686590350158,0.18065336095288484,0.9954375384308982,5.4752316604333116
BF02,445.0,1.0146970488931848,0.1669272086598406,0.16450940587825905,0.9865686610756556,9.401227929020985
BF02,446.0,0.9899249884084274,0.34457983711687457,0.3480868158211462,0.9996359325561693,1.5461147715909722
BF02,447.0,1.0082580570386743,0.6982820657178572,0.6925628422635782,0.9823047896055411,10.794635803026592
BF02,448.0,0.9895015266262631,0.9288375450610652,0.9386923820400422,0.9351355408781847,20.749946439691957
BF02,449.0,0.9776396823985685,0.9490529138793163,0.970759402432278,0.9374443394151204,20.373297348616557
BF02,450.0,0.9640885976369331,0.7759923574934827,0.8048973500936626,0.9993540425771084,2.0595055070956776
BF02,451.0,0.983407623059669,0.9438893261977357,0.9598149374325772,0.6402865954319625,50.186806480542856
BF02,452.0,0.976776648283475,0.9270380465846749,0.9490788382521147,0.99009637254254,8.070377590806606
BF02,453.0,0.9821975596337043,0.9249241688079034,0.941688522574664,0.9995269494045566,1.7624164945126988
BF02,454.0,0.979865810177127,0.9281939686945528,0.9472664104146734,0.9993362994258757,2.087602219657515
BF02,455.0,0.9780043272659869,0.9384136725499351,0.9595189370718559,0.9974072342635186,4.12679741298229
BF02,456.0,0.9817640922109583,0.9557066491511425,0.9734585494962096,0.9992453549370037,2.226057166668891
BF02,457.0,0.9731187866063454,0.9437509892896847,0.9698209532886751,0.5348842222318991,57.66394000835753
BF02,458.0,0.9999753462018791,0.5673716648173285,0.5673856530286749,0.8594388349363101,30.746366418704174
BF02,459.0,1.0096757832980912,0.9811025445109673,0.9717005802656872,0.2232600419019029,77.09941656240933
BF02,460.0,0.9788432285633004,0.024049410590811404,0.024569215875467603,0.08716463431395374,84.99948860456507
BF02,461.0,0.9972380804809329,0.5686001288812715,0.5701749060836663,0.99663820551538,4.699427488320574
BF02,462.0,0.752715115912505,0.6696337266658806,0.8896243911006011,0.672437354072949,47.74453917776285
BF02,463.0,0.9642493445515851,0.6909970835353321,0.7166165965678448,0.7987382761955392,36.99021504339016
BF02,464.0,0.9681145469136947,0.7377829987682318,0.7620823394506886,0.9991572065441251,2.352495027013633
BF02,465.0,0.9187908159226915,0.7769031386905315,0.8455712935161743,0.9981110458435747,3.522222008892411
BF03,435.0,0.8859320172276843,0.1495066907016749,0.16875639190636874,nan,nan
BF03,436.0,0.9112222089468391,0.08480940718816499,0.0930721467886356,0.9940264052680983,6.2657337529830315
BF03,437.0,0.9525730970827728,0.012500251874961626,0.013122616955321624,0.9797559339321218,11.548402042961913
BF03,438.0,0.43457829038150547,0.30286605620821455,0.6969194341078013,0.7700063178342417,39.645543807628094
BF03,439.0,0.6074418057867754,0.17325889961187874,0.28522715750106964,0.6224631792907426,51.50376716199854
BF03,440.0,0.7041692168942854,0.20269084058346298,0.2878439382474345,0.9804789283931347,11.339619726785118
BF03,441.0,0.7710972297498259,0.27938363456003656,0.3623195931473902,0.9899178678668413,8.142905289644501
BF03,442.0,0.8220149373181468,0.3842635952178105,0.46746546537400435,0.9953999969025169,5.497728800229758
BF03,443.0,0.876345568445736,0.4984990689024458,0.5688384660706061,0.9965964722894138,4.728523267310231
BF03,444.0,0.9054566245925373,0.5831950137964196,0.6440893997090827,0.998378986171411,3.2627941427666864
