geometry_id,wavelength_nm,DoLP,psi_deg_mod_pi,psi_unwrapped_deg,DoLP_slope_local,psi_slope_local,P_LP_axisfree,S3_over_S0
BF01,435.0,0.5078827553431825,2.6250189973887e-07,2.6250189973887e-07,,,0.28181099914193064,1.0746404086900237e-08
BF01,436.0,0.2682788427241757,179.99999984331794,-1.566820877178152e-07,,,0.3107006825213107,1.4903172594317024e-08
BF01,437.0,0.07385233767956868,179.99999584045042,-4.159549589856886e-06,,,0.33105723223998607,6.484889196746713e-09
BF01,438.0,0.007139202517246662,179.99994521103676,-5.478896326446816e-05,,,0.3470900201127921,1.1656636694845626e-08
BF01,439.0,0.10675554918278485,90.00000198763736,-89.99999801236267,,,0.4436753279059448,1.2741790490465285e-08
BF01,440.0,0.21582109339247707,179.99999354481844,-6.455181595629303e-06,,,0.3648211258770408,5.608852010927153e-08
BF01,441.0,0.0983034484141171,89.99999931864602,-90.00000068135401,,,0.45458486758192174,3.0162796419365277e-09
BF01,442.0,0.848284392516954,179.99999839061752,-1.6093825001478732e-06,,,0.37734010706509796,4.9460990072911655e-08
BF01,443.0,0.1530301524302412,179.99999551768457,-4.4823154594864854e-06,,,0.37775498383538864,5.602885254738487e-09
BF01,444.0,0.051440045463132085,179.99999275032653,-7.249673493839597e-06,,,0.3765796102276621,2.267819619928186e-09
BF01,445.0,0.023329919886713617,179.99998320214104,-1.6797858972993457e-05,,,0.37024311147185424,8.423792559853307e-09
BF01,446.0,0.03477201253977081,179.9999889020641,-1.1097935912245599e-05,,,0.36009444771748,6.295795751488462e-09
BF01,447.0,0.2437088562499239,179.99999728225248,-2.7177475388761443e-06,,,0.34051875946269017,1.862400632695688e-08
BF01,448.0,0.1701296866034225,90.00000063822421,-89.99999936177582,,,0.43597819564425405,5.67234768387943e-09
BF01,449.0,0.31715502233325654,90.0000003303664,-89.99999966963362,,,0.49085996847713004,7.173487517643444e-09
BF01,450.0,0.5047474784003646,90.00000006895955,-89.99999993104048,,,0.49781895565149126,6.103461564331663e-09
BF01,451.0,0.8441552460515188,90.00000043748516,-89.99999956251487,,,0.4856531226696402,5.891915225514968e-09
BF01,452.0,0.9117482169165985,90.00000033254983,-89.9999996674502,,,0.48818398929736284,1.2595634536253804e-08
BF01,453.0,0.33308310021044146,90.00000066087203,-89.99999933912798,,,0.48792040064185205,1.3626854597769994e-08
BF01,454.0,0.032183296918391606,90.00002726354606,-89.99997273645397,,,0.48439288059415264,1.6882318206295583e-08
BF01,455.0,0.030129001890013007,90.00001134654802,-89.999988653452,,,0.49176939004740244,3.355763315204197e-08
BF01,456.0,0.766496859983911,89.9999992757126,-90.00000072428743,,,0.48346482909509314,3.676668907837867e-08
BF01,457.0,0.7839225766365714,89.99999971494879,-90.00000028505123,,,0.49313762176047893,9.108971777538087e-09
BF01,458.0,0.4402427786691234,89.99999942455787,-90.00000057544214,,,0.48659907889809995,2.614804836559535e-09
BF01,459.0,0.29652612230976566,90.00000046780632,-89.99999953219371,,,0.4901001921684928,7.859632124629884e-10
BF01,460.0,0.22444143881488637,90.0000005557453,-89.99999944425473,,,0.49273229668860896,2.235575342867997e-09
BF01,461.0,0.16989163336264732,90.0000006891947,-89.99999931080531,,,0.4861327417588025,1.8494120529052692e-09
BF01,462.0,0.12945165984949084,90.00000117322116,-89.99999882677886,,,0.4951922914782931,1.0744178438149174e-08
BF01,463.0,0.05814380034960844,90.00000217492966,-89.99999782507037,,,0.48848224123401357,1.436427389214302e-08
BF01,464.0,0.009895843531679634,179.99998336276477,-1.6637235262025563e-05,,,0.498782670974873,7.014211130849715e-09
BF01,465.0,0.464853789247305,89.99999912832462,-90.00000087167541,,,0.49496222764247055,3.876895426738527e-09
