S0,S1,S2,S3,DoLP,psi_deg,P_LP_axisfree,total_power,circular_contamination,sigma1,sigma2,sigma2_over_sigma1,geometry_id,wavelength_nm,dominant_vector_overlap_adjacent,dominant_vector_drift_angle_deg
0.37378370187381393,0.18983829641004732,1.7394968311566402e-09,-4.016830701433454e-09,0.5078827553431825,2.6250189973887e-07,0.28181099914193064,0.18689185093690697,1.0746404086900237e-08,0.7507476262259252,0.4288885699849864,0.5712819528195477,BF01,435.0,nan,nan
0.48995642291713554,0.1314449421254859,-7.189034346562417e-10,-7.3019051344282565e-09,0.2682788427241757,179.99999984331794,0.3107006825213107,0.24497821145856777,1.4903172594317024e-08,0.7882901528261161,0.598758282440961,0.759565853124436,BF01,436.0,0.9999999999999999,8.537736462515939e-07
0.6165786870760096,0.045535777403962086,-6.611597774079754e-09,-3.998444466763487e-09,0.07385233767956868,179.99999584045042,0.33105723223998607,0.3082893435380048,6.484889196746713e-09,0.813704162752024,0.755673811688646,0.9286837234958786,BF01,437.0,0.9999999999999974,4.094554566467037e-06
0.6892592786484217,0.004920761577153432,-9.410934889013819e-09,-8.034444999756019e-09,0.007139202517246662,179.99994521103676,0.3470900201127921,0.34462963932421087,1.1656636694845626e-08,0.8331746756986739,0.8272475548898605,0.9928861006200853,BF01,438.0,0.9999999999993112,6.724788650779929e-05
0.8017584881025434,-0.08559216770934608,-5.9385243406759854e-09,-1.0215838679354811e-08,0.10675554918278485,90.00000198763736,0.4436753279059448,0.4008792440512717,1.2741790490465285e-08,0.9419929170709779,0.8462661049535167,0.898378416246363,BF01,439.0,1.3226639467635203e-06,89.99992421693813
0.6001230408975534,0.12951921085652493,-2.9184349280072017e-08,-3.366001324741961e-08,0.21582109339247707,179.99999354481844,0.3648211258770408,0.3000615204487767,5.608852010927153e-08,0.8541909925503115,0.686005707003244,0.803105760873308,BF01,440.0,2.401438687043122e-07,89.99998624076986
0.8277946650141442,-0.08137507014969925,1.935403581168206e-09,-2.496860195785831e-09,0.0983034484141171,89.99999931864602,0.45458486758192174,0.4138973325070721,3.0162796419365277e-09,0.9535039250909477,0.8639557829336203,0.9060851876946536,BF01,441.0,1.768119102201877e-07,89.99998986942377
0.40831390298247805,0.3463663111477173,-1.945818259530036e-08,-2.019560990204816e-08,0.848284392516954,179.99999839061752,0.37734010706509796,0.20415695149123902,4.9460990072911655e-08,0.868723324269699,0.24889273158282374,0.2865040279562632,BF01,442.0,4.735158251614255e-08,89.99999728695417
0.6552386909209522,0.10027127674982378,-1.5688677048042513e-08,-3.6712271996951524e-09,0.1530301524302412,179.99999551768457,0.37775498383538864,0.3276193454604761,5.602885254738487e-09,0.8692007637311286,0.7449613507901782,0.8570647678591069,BF01,443.0,0.999999999999999,2.561320938754782e-06
0.7163120937852211,0.036847126670101926,-9.32458338173017e-09,1.6244666202779632e-09,0.051440045463132085,179.99999275032653,0.3765796102276621,0.35815604689261055,2.267819619928186e-09,0.8678474638179938,0.824296649947771,0.9498174325720489,BF01,444.0,0.9999999999999981,3.52019892386405e-06
0.7236045859244329,0.0168816370192727,-9.898647342768346e-09,6.095494927185971e-09,0.023329919886713617,179.99998320214104,0.37024311147185424,0.36180229296221644,8.423792559853307e-09,0.8605150916420408,0.8406681562335736,0.9769359821794699,BF01,445.0,0.9999999999999736,1.3171378306389627e-05
0.6959879922412184,0.024200903193739742,-9.375213143194691e-09,4.381798244639248e-09,0.03477201253977081,179.9999889020641,0.36009444771748,0.3479939961206092,6.295795751488462e-09,0.8486394378267845,0.8196261886051937,0.9658120422780625,BF01,446.0,0.9999999999999909,7.73124918760008e-06
0.5475859687763818,0.13345155014899795,-1.2660186201172398e-08,1.0198244547044145e-08,0.2437088562499239,179.99999728225248,0.34051875946269017,0.2737929843881909,1.862400632695688e-08,0.8252499735991395,0.6435327642221355,0.7798034350919323,BF01,447.0,0.999999999999988,8.872676000826597e-06
0.7451792748029215,-0.12677711648558665,-2.824369500459215e-09,4.226915933503305e-09,0.1701296866034225,90.00000063822421,0.43597819564425405,0.3725896374014607,5.67234768387943e-09,0.9337860522028094,0.7863855023570404,0.842147406787615,BF01,448.0,8.026583253189076e-08,89.99999540110656
