architecture,description,rank,oof_score,ratio_to_M1,selection
M1,geometry-conditioned direct,1.0,0.10863191248055361,1.0,winner
M2,alternative frozen architecture,2.0,0.12748490085438482,1.1735492632259983,not selected
M3,alternative frozen architecture,3.0,0.1686220075249086,1.5522327065271353,not selected
