case_id,geometry_id,polarization,batch,status,planned_pre_fsp_path,setup_only_allowed,solver_run_called,solver_entered,mpi_processes,threads,source_polarization_angle_deg,formal_points,future_admission_requires_user_authorization,entered_true_no_replay
ANISO_A01_x,ANISO_A01,x,INITIAL_PLANNED_BATCH,PREPARED_SETUP_ONLY,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A01_x\ANISO_A01_x_pre.fsp,True,False,False,4,1,0.0,31,True,True
ANISO_A01_y,ANISO_A01,y,INITIAL_PLANNED_BATCH,PREPARED_SETUP_ONLY,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A01_y\ANISO_A01_y_pre.fsp,True,False,False,4,1,90.0,31,True,True
ANISO_A02_x,ANISO_A02,x,INITIAL_PLANNED_BATCH,PLANNED_NOT_PREPARED,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A02_x\ANISO_A02_x_pre.fsp,True,False,False,4,1,0.0,31,True,True
ANISO_A02_y,ANISO_A02,y,INITIAL_PLANNED_BATCH,PLANNED_NOT_PREPARED,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A02_y\ANISO_A02_y_pre.fsp,True,False,False,4,1,90.0,31,True,True
ANISO_A03_x,ANISO_A03,x,INITIAL_PLANNED_BATCH,PLANNED_NOT_PREPARED,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A03_x\ANISO_A03_x_pre.fsp,True,False,False,4,1,0.0,31,True,True
ANISO_A03_y,ANISO_A03,y,INITIAL_PLANNED_BATCH,PLANNED_NOT_PREPARED,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A03_y\ANISO_A03_y_pre.fsp,True,False,False,4,1,90.0,31,True,True
ANISO_A04_x,ANISO_A04,x,INITIAL_PLANNED_BATCH,PLANNED_NOT_PREPARED,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A04_x\ANISO_A04_x_pre.fsp,True,False,False,4,1,0.0,31,True,True
ANISO_A04_y,ANISO_A04,y,INITIAL_PLANNED_BATCH,PLANNED_NOT_PREPARED,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A04_y\ANISO_A04_y_pre.fsp,True,False,False,4,1,90.0,31,True,True
ANISO_A05_x,ANISO_A05,x,CONDITIONAL_PLANNED_BATCH,PLANNED_NOT_PREPARED,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A05_x\ANISO_A05_x_pre.fsp,True,False,False,4,1,0.0,31,True,True
ANISO_A05_y,ANISO_A05,y,CONDITIONAL_PLANNED_BATCH,PLANNED_NOT_PREPARED,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A05_y\ANISO_A05_y_pre.fsp,True,False,False,4,1,90.0,31,True,True
ANISO_A06_x,ANISO_A06,x,CONDITIONAL_PLANNED_BATCH,PLANNED_NOT_PREPARED,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A06_x\ANISO_A06_x_pre.fsp,True,False,False,4,1,0.0,31,True,True
ANISO_A06_y,ANISO_A06,y,CONDITIONAL_PLANNED_BATCH,PLANNED_NOT_PREPARED,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A06_y\ANISO_A06_y_pre.fsp,True,False,False,4,1,90.0,31,True,True
ANISO_A07_x,ANISO_A07,x,CONDITIONAL_PLANNED_BATCH,PLANNED_NOT_PREPARED,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A07_x\ANISO_A07_x_pre.fsp,True,False,False,4,1,0.0,31,True,True
ANISO_A07_y,ANISO_A07,y,CONDITIONAL_PLANNED_BATCH,PLANNED_NOT_PREPARED,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A07_y\ANISO_A07_y_pre.fsp,True,False,False,4,1,90.0,31,True,True
ANISO_A08_x,ANISO_A08,x,CONDITIONAL_PLANNED_BATCH,PLANNED_NOT_PREPARED,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A08_x\ANISO_A08_x_pre.fsp,True,False,False,4,1,0.0,31,True,True
ANISO_A08_y,ANISO_A08,y,CONDITIONAL_PLANNED_BATCH,PLANNED_NOT_PREPARED,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1\paper_a_broadband\runtime\search_anisotropy_v1\cases\ANISO_A08_y\ANISO_A08_y_pre.fsp,True,False,False,4,1,90.0,31,True,True
