interval,lower_monitor,upper_monitor,wavelength_nm,lower_flux,upper_flux,signed_jump,relative_jump
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,445.0,-0.2176661557388126,0.7812348121971248,0.9989009679359373,4.5891423246090834
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,445.99999999999994,-0.22404242298836108,0.7747271844519121,0.9987696074402732,4.457948606867901
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,446.99999999999994,-0.22184154363876787,0.7770209576164954,0.9988625012552632,4.5025944413808485
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,448.00000000000006,-0.23816928966782958,0.7610901665375193,0.9992594562053488,4.195584819516395
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,449.0,-0.3040018041905145,0.6957386711343794,0.9997404753248939,3.288600467312911
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,450.0,-0.2663127555269014,0.7332236395997378,0.9995363951266392,3.753242660679359
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,450.9999999999999,-0.2566261127357411,0.7425535349125371,0.9991796476482782,3.8935229037941914
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,451.99999999999994,-0.2443697360180431,0.7554985830993923,0.9998683191174355,4.0916208995847585
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,453.00000000000006,-0.242022891719873,0.7573963321373786,0.9994192238572516,4.129440883691363
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,453.9999999999999,-0.2370516120791592,0.7629924044550733,1.0000440165342326,4.218676294849602
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,455.00000000000006,-0.2313680728124926,0.7685243441423668,0.9998924169548594,4.321652528805049
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,445.0,0.7812348121971248,0.7812162025245599,-1.860967256483992e-05,-2.3820843969436735e-05
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,445.99999999999994,0.7747271844519121,0.7747434457488706,1.6261296958419713e-05,2.098970745414583e-05
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,446.99999999999994,0.7770209576164954,0.7769869049210602,-3.405269543521605e-05,-4.3824680790685984e-05
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,448.00000000000006,0.7610901665375193,0.7611672413498728,7.707481235352809e-05,0.00010126896357651016
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,449.0,0.6957386711343794,0.6958621318983009,0.0001234607639215568,0.00017745278370146945
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,450.0,0.7332236395997378,0.7332512459691101,2.7606369372268347e-05,3.7650681021875524e-05
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,450.9999999999999,0.7425535349125371,0.7425346007192457,-1.8934193291353374e-05,-2.549875854214817e-05
