wavelength_nm,T_v0,T_v1,R_v0,R_v1,residual_v0,residual_v1,eta_plus1_v0,eta_plus1_v1,eta_0_v0,eta_0_v1,eta_minus1_v0,eta_minus1_v1,order_sum_minus_T_v0,order_sum_minus_T_v1,directionality_v0,directionality_v1,delta_T,delta_R,delta_residual,delta_eta_plus1,delta_eta_0,delta_eta_minus1,plus_minus_ratio_v1
445.0,0.7764262482360513,0.7764262482360513,0.2175192430790344,0.2175192430790344,0.006054508684914278,0.006054508684914278,0.6855683983084135,0.6855683983084135,0.052171422724414156,0.052171422724414156,0.00043945372066157753,0.00043945372066157753,0.0,0.0,0.9993594042409839,0.9993594042409839,0.0,0.0,0.0,0.0,0.0,0.0,1560.0468629013349
445.99999999999994,0.7781393096847421,0.7781393096847421,0.22415117368054416,0.22415117368054416,-0.0022904833652862555,-0.0022904833652862555,0.6810589234911786,0.6810589234911786,0.05325513471018875,0.05325513471018875,0.0005563920374156028,0.0005563920374156028,0.0,0.0,0.9991837154700901,0.9991837154700901,0.0,0.0,0.0,0.0,0.0,0.0,1224.0630305470288
446.99999999999994,0.7687268099722041,0.7687268099722041,0.2217853668983208,0.2217853668983208,0.009487823129475104,0.009487823129475104,0.6733701921182706,0.6733701921182706,0.04998538283919034,0.04998538283919034,0.000684962632609076,0.000684962632609076,0.0,0.0,0.9989838181226249,0.9989838181226249,0.0,0.0,0.0,0.0,0.0,0.0,983.0758059798841
448.00000000000006,0.7790656993992268,0.7790656993992268,0.2381051144214313,0.2381051144214313,-0.017170813820658076,-0.017170813820658076,0.6845426974172252,0.6845426974172252,0.0431665533871221,0.0431665533871221,0.0005371609521070114,0.0005371609521070114,0.0,0.0,0.9992159148374533,0.9992159148374533,0.0,0.0,0.0,0.0,0.0,0.0,1274.3716659450201
449.0,0.747012992285637,0.747012992285637,0.3037701700332879,0.3037701700332879,-0.05078316231892488,-0.05078316231892488,0.6085453573441088,0.6085453573441088,0.06747189416047103,0.06747189416047103,0.004994594044721895,0.004994594044721895,0.0,0.0,0.9918593825334178,0.9918593825334178,0.0,0.0,0.0,0.0,0.0,0.0,121.84080465702658
450.0,0.7354313228587809,0.7354313228587809,0.266224210740428,0.266224210740428,-0.0016555335992088915,-0.0016555335992088915,0.6204810884290136,0.6204810884290136,0.051163005989474986,0.051163005989474986,0.0026318677888973736,0.0026318677888973736,0.0,0.0,0.9957762589228253,0.9957762589228253,0.0,0.0,0.0,0.0,0.0,0.0,235.7569369732533
450.9999999999999,0.7386240283276952,0.7386240283276952,0.2567621538562581,0.2567621538562581,0.004613817816046639,0.004613817816046639,0.6254823927117923,0.6254823927117923,0.04852626632910779,0.04852626632910779,0.002921778331887485,0.002921778331887485,-1.1102230246251565e-16,-1.1102230246251565e-16,0.9953504790920868,0.9953504790920868,0.0,0.0,0.0,0.0,0.0,0.0,214.0759228328342
451.99999999999994,0.7574901318778142,0.7574901318778142,0.24418248702559495,0.24418248702559495,-0.0016726189034091676,-0.0016726189034091676,0.6503066812800768,0.6503066812800768,0.045586092847400186,0.045586092847400186,0.003974220064401896,0.003974220064401896,-1.1102230246251565e-16,-1.1102230246251565e-16,0.9939258198485769,0.9939258198485769,0.0,0.0,0.0,0.0,0.0,0.0,163.63127122854618
453.00000000000006,0.7524377903197703,0.7524377903197703,0.24221899035068922,0.24221899035068922,0.005343219329540461,0.005343219329540461,0.6468568443029437,0.6468568443029437,0.04229358081282003,0.04229358081282003,0.0047932715778788125,0.0047932715778788125,0.0,0.0,0.9926444092296373,0.9926444092296373,0.0,0.0,0.0,0.0,0.0,0.0,134.95101076438488
453.9999999999999,0.7653150441663599,0.7653150441663599,0.2368790677348408,0.2368790677348408,-0.0021941119012006682,-0.0021941119012006682,0.6616594309308594,0.6616594309308594,0.03983740285824319,0.03983740285824319,0.0058041108521868735,0.0058041108521868735,2.220446049250313e-16,2.220446049250313e-16,0.9913042278883398,0.9913042278883398,0.0,0.0,0.0,0.0,0.0,0.0,113.99841384517309
455.00000000000006,0.7640846763133593,0.7640846763133593,0.2314616419042948,0.2314616419042948,0.004453681782345897,0.004453681782345897,0.6628273056347306,0.6628273056347306,0.037233493728846594,0.037233493728846594,0.006985613498373377,0.006985613498373377,0.0,0.0,0.9895707991010171,0.9895707991010171,0.0,0.0,0.0,0.0,0.0,0.0,94.88462334612015
