wavelength_nm,order_n,u_x,transmitted_fraction,absolute_efficiency
445.0,-3,-0.767241379310345,0.00033715560788622064,0.00026177646370284356
445.0,-2,-0.5114942528735632,0.010818815109263132,0.00840001202564468
445.0,-1,-0.2557471264367816,0.0005659954460065775,0.00043945372066157753
445.0,0,0.0,0.0671943057604524,0.052171422724414156
445.0,1,0.2557471264367816,0.8829794199590031,0.6855683983084135
445.0,2,0.5114942528735632,0.03612508936049752,0.028048467599363185
445.0,3,0.767241379310345,0.0019792187568910664,0.001536717393851352
445.99999999999994,-3,-0.7689655172413793,0.0006092180487067931,0.00047405651186818953
445.99999999999994,-2,-0.5126436781609195,0.01075668798664257,0.008370201764420208
445.99999999999994,-1,-0.25632183908045975,0.0007150288264462842,0.0005563920374156028
445.99999999999994,0,0.0,0.0684390751724967,0.05325513471018875
445.99999999999994,1,0.25632183908045975,0.8752403522283241,0.6810589234911786
445.99999999999994,2,0.5126436781609195,0.04153623274827368,0.03232097547764646
445.99999999999994,3,0.7689655172413793,0.0027034049891099914,0.0021036256920243363
446.99999999999994,-3,-0.7706896551724137,0.0009513614227367658,0.0007313370316310515
446.99999999999994,-2,-0.5137931034482758,0.011737473153249682,0.009022910294232016
446.99999999999994,-1,-0.2568965517241379,0.0008910351814500175,0.000684962632609076
446.99999999999994,0,0.0,0.06502359770826482,0.04998538283919034
446.99999999999994,1,0.2568965517241379,0.8759551291604082,0.6733701921182706
446.99999999999994,2,0.5137931034482758,0.04220047812772252,0.032440638930425904
446.99999999999994,3,0.7706896551724137,0.0032409252461680057,0.002491386125845111
448.00000000000006,-3,-0.7724137931034484,0.002435485849316137,0.0018974034865743962
448.00000000000006,-2,-0.5149425287356322,0.01210106630799184,0.00942752568671208
448.00000000000006,-1,-0.2574712643678161,0.0006894937776380616,0.0005371609521070114
448.00000000000006,0,0.0,0.05540810411806066,0.0431665533871221
448.00000000000006,1,0.2574712643678161,0.8786713340673417,0.6845426974172252
448.00000000000006,2,0.5149425287356322,0.044955332172351585,0.035023157300577645
448.00000000000006,3,0.7724137931034484,0.005739183707300174,0.004471201168908458
449.0,-3,-0.7741379310344828,0.002891662066673063,0.002160109133104314
449.0,-2,-0.5160919540229885,0.01521523931412102,0.011365981448383605
449.0,-1,-0.25804597701149423,0.0066860872518962845,0.004994594044721895
449.0,0,0.0,0.09032224989022902,0.06747189416047103
449.0,1,0.25804597701149423,0.8146382507781309,0.6085453573441088
449.0,2,0.5160919540229885,0.06057387645945478,0.04524947270831782
449.0,3,0.7741379310344828,0.009672634239494993,0.007225583446529661
450.0,-3,-0.7758620689655172,0.004305584534726745,0.0031664617300543986
450.0,-2,-0.5172413793103449,0.008318958397153058,0.006118022578825437
450.0,-1,-0.25862068965517243,0.0035786724158915796,0.0026318677888973736
450.0,0,0.0,0.06956870668846861,0.051163005989474986
450.0,1,0.25862068965517243,0.8436968472012712,0.6204810884290136
450.0,2,0.5172413793103449,0.0686070402129899,0.05045576634126474
450.0,3,0.7758620689655172,0.0019241905494988625,0.001415110001250313
450.9999999999999,-3,-0.7775862068965518,0.003380607122495206,0.0024969976510107075
450.9999999999999,-2,-0.5183908045977011,0.00872576158674515,0.006445057173428764
