monitor,z_nm,below_source,above_source,inside_fixed_mesh,before_pml
N1_DIAG_PML_LOWER,-500.0,True,False,False,True
N1_DIAG_LOWER_OUTSIDE,-110.0,False,True,False,True
N1_DIAG_LOWER_INSIDE,-90.0,False,True,True,True
N1_DIAG_UPPER_INSIDE,590.0,False,True,True,True
N1_DIAG_UPPER_OUTSIDE,610.0,False,True,False,True
N1_DIAG_PML_UPPER,1100.0,False,True,False,True
