seed_uid,wavelength_nm,observable,first_derivative_per_nm,second_derivative_per_nm2,plus10,zero,minus10,derivative_type
K6_L0_A,450.0,eta_x_plus1,7.534596772531955e-05,1.602587831867417e-05,0.0017942466269727938,0.00023949303378588988,0.0002873272724664029,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.0,eta_x_0,-0.01702864807832407,-0.0014618675301640472,0.5158075383175411,0.7591873956089842,0.8563804998840225,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.0,eta_x_minus1,-7.23407095863088e-05,0.00011935146381995346,0.012419925885318608,0.0071757597901840236,0.013866740077044784,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.0,eta_y_plus1,-0.00029650582956332414,3.1153428439092456e-05,0.0011350315500528786,0.0025424184237314972,0.007065148141319362,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.0,projector_error,-0.014424506225355549,-0.0025965197081891976,0.6944553635504958,0.9685264112135111,0.9829454880576067,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.0,x_cross,4.029442748851026e-06,9.217105632246318e-06,0.0007817485750373811,0.0002805988659365549,0.0007011597200603605,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.0,y_leak,-4.69753318028431e-05,-1.7351064096875917e-06,0.0001537452700687757,0.0007102539085815863,0.0010932519061256376,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.0,aa_power,-0.00019228686113863025,2.7041625037710453e-05,0.0007615048586554655,0.0013322922181562451,0.00460724208142807,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.5,eta_x_plus1,0.00020298761896107354,4.079408749476546e-05,0.004610163695136805,0.0005405831307877971,0.0005504113159153348,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.5,eta_x_0,-0.0016057845257261782,0.0054681802730584695,0.6783529279911512,0.4210017595954895,0.7104686185056748,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.5,eta_x_minus1,-0.0006361235390509726,0.0001058336425416073,0.008250167412996048,0.009319720676425409,0.0209726381940155,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.5,eta_y_plus1,-0.0003286527670266213,3.5681215420060905e-05,0.001329571982866305,0.002832038882129472,0.00790262732339873,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.5,projector_error,-0.021816451609321663,-0.0036270803129058327,0.5334959642438173,0.9330144959823256,0.9698249964302506,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.5,x_cross,-4.572674079464801e-06,1.647023557851809e-06,0.0006679839535031353,0.0006313595164051929,0.0007594374350924313,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.5,y_leak,-6.497090784064586e-05,-6.760395244109686e-06,2.7117384409901295e-05,0.0010148462250218443,0.0013265355412228187,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,450.5,aa_power,-0.00019438317810068013,3.836711331519317e-05,0.0013881521012723845,0.0014136282165195275,0.0052758156632859874,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,451.0,eta_x_plus1,4.5834568243336e-05,1.4079893002778617e-05,0.002130934278732927,0.0009685939461606362,0.001214242913866207,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
K6_L0_A,451.0,eta_x_0,0.025873850572930467,-0.002506820928994818,0.9251534317481391,0.7917559724685753,0.4076764202895297,LOCAL_EMPIRICAL_FULLWAVE_SENSITIVITY
