seed_uid,wavelength_nm,phase_plus10_deg,phase_zero_deg,phase_minus10_deg,first_phase_derivative_rad_per_nm,second_phase_derivative_rad_per_nm2,phase_method,undefined_due_to_zero_amplitude
K6_L0_A,450.0,130.27763933915617,96.49449379139396,95.11981108209503,0.030680993046820825,0.005656343820414117,complex_safe_circular_difference,False
K6_L0_A,450.5,-27.76854377137648,-41.17105410483766,-51.57292886686656,0.020773244816448346,0.0005237097037395469,complex_safe_circular_difference,False
K6_L0_A,451.0,-17.712760572289717,-22.64630300800995,-34.70829178170701,0.014831398886489284,-0.0012441485914942811,complex_safe_circular_difference,False
K6_L0_A,451.5,164.26540501173707,153.7051267239957,141.26788416165604,0.020069122931497964,-0.00032759206534047845,complex_safe_circular_difference,False
K6_L0_A,452.0,157.62976715419862,127.16679369844248,120.69628337855956,0.032230544805840415,0.004187474773843517,complex_safe_circular_difference,False
K6_L0_A,452.5,-1.8689908777635553,-95.64658116112959,-108.99883543031804,0.09348842572958936,0.014036869154701717,complex_safe_circular_difference,False
K6_L0_A,453.0,-113.01739620790333,-125.92414578061663,170.3479351771077,0.06687636442531601,-0.00886996736957884,complex_safe_circular_difference,False
K6_L0_A,453.5,-82.04489915601992,-82.81852969235116,-118.90520449653799,0.032166684574124506,-0.006163288913765904,complex_safe_circular_difference,False
K6_L0_A,454.0,86.71659619964508,82.09298989121925,63.399212958336484,0.020348255525509125,-0.002455708037141598,complex_safe_circular_difference,False
K6_L1_C,450.0,-59.656573521047214,-61.365279050951855,-96.42621773648023,0.03208756781730966,-0.005821062814584522,complex_safe_circular_difference,False
K6_L1_C,450.5,142.39688262736172,145.94410126949154,122.29637347028743,0.01754100330591081,-0.004746413553047922,complex_safe_circular_difference,False
K6_L1_C,451.0,153.12788209216345,155.61589786383774,147.43569559172008,0.0049673698035155225,-0.0018619553018483787,complex_safe_circular_difference,False
K6_L1_C,451.5,-26.294060660591114,-37.37709114357152,-44.42900430776249,0.015825723815338467,0.0007035626974704136,complex_safe_circular_difference,False
K6_L1_C,452.0,-43.80914507254976,-57.610678034199694,-74.29110332225751,0.0266005266956424,-0.0005024614990621678,complex_safe_circular_difference,False
K6_L1_C,452.5,81.0794076706116,75.47869060373426,59.91388164163657,0.018470405856108745,-0.0017390621054287703,complex_safe_circular_difference,False
K6_L1_C,453.0,-17.457803948191504,-17.284491476103355,-25.877861025341975,0.0073478859601062985,-0.0015300746574754395,complex_safe_circular_difference,False
K6_L1_C,453.5,21.525356367310778,20.289039825552525,13.123299997390973,0.0073321773796631625,-0.0010348795909216036,complex_safe_circular_difference,False
K6_L1_C,454.0,-168.33354535825157,-172.16723245078606,-178.83904202997346,0.009167775323942605,-0.0004953458196698145,complex_safe_circular_difference,False
