seed_uid,A_label,A_nm,wavelength_nm,eta_x_plus1,eta_x_0,eta_x_minus1,eta_y_plus1,x_y_plus1_ratio,target_projector_error,target_phase_deg,target_x_input_cross_power,target_y_input_leakage_power,target_alpha_star_from_alpha_power
K6_L0_A,minus10,-10.0,450.0,0.0002873272724664029,0.8563804998840225,0.013866740077044784,0.007065148141319362,0.040668258714352555,0.9829454880576067,95.11981108209503,0.0007011597200603605,0.0010932519061256376,0.00460724208142807
K6_L0_A,zero,0.0,450.0,0.00023949303378588988,0.7591873956089842,0.0071757597901840236,0.0025424184237314972,0.09419890587261671,0.9685264112135111,96.49449379139396,0.0002805988659365549,0.0007102539085815863,0.0013322922181562451
K6_L0_A,plus10,10.0,450.0,0.0017942466269727938,0.5158075383175411,0.012419925885318608,0.0011350315500528786,1.5807900907152792,0.6944553635504958,130.27763933915617,0.0007817485750373811,0.0001537452700687757,0.0007615048586554655
K6_L0_A,minus10,-10.0,450.5,0.0005504113159153348,0.7104686185056748,0.0209726381940155,0.00790262732339873,0.06964915507095128,0.9698249964302506,-51.57292886686656,0.0007594374350924313,0.0013265355412228187,0.0052758156632859874
K6_L0_A,zero,0.0,450.5,0.0005405831307877971,0.4210017595954895,0.009319720676425409,0.002832038882129472,0.19088125314908136,0.9330144959823256,-41.17105410483766,0.0006313595164051929,0.0010148462250218443,0.0014136282165195275
K6_L0_A,plus10,10.0,450.5,0.004610163695136805,0.6783529279911512,0.008250167412996048,0.001329571982866305,3.4674043636194614,0.5334959642438173,-27.76854377137648,0.0006679839535031353,2.7117384409901295e-05,0.0013881521012723845
K6_L0_A,minus10,-10.0,451.0,0.001214242913866207,0.4076764202895297,0.028430702154834488,0.00857354977414617,0.14162662442665203,0.939691655066669,-34.70829178170701,0.0003772027440254233,0.0008603522468800447,0.006321495285532139
K6_L0_A,zero,0.0,451.0,0.0009685939461606362,0.7917559724685753,0.0029941290734946772,0.003409613206943178,0.28407736812733964,0.8945164005491569,-22.64630300800995,0.000230933090369949,0.0004671644556401255,0.0025142418724032026
K6_L0_A,plus10,10.0,451.0,0.002130934278732927,0.9251534317481391,0.002952932334070301,0.0017543551177770795,1.214653895975751,0.7175874379365451,-17.712760572289717,3.906587559804407e-05,0.000530067149607336,0.001280352781176727
K6_L0_A,minus10,-10.0,451.5,0.0010834820108147271,0.8758430011207542,0.005341753659538803,0.009493448911774335,0.1141294402997133,0.9505010852759629,141.26788416165604,0.0015677974943588528,0.002271762761156647,0.005484832472401942
K6_L0_A,zero,0.0,451.5,0.0002388578995302296,0.9449212678123831,0.0012065279478575943,0.004056322832693292,0.058885327766585636,0.9783506337893418,153.7051267239957,0.0004217074010491214,0.0012684734583911692,0.002213384672193515
K6_L0_A,plus10,10.0,451.5,0.0015456163612256177,0.9480746174278806,0.0023659587604249795,0.0023316368974559696,0.6628889613610195,0.8082031428161667,164.26540501173707,0.00030182729034533096,0.0017503048227362546,0.000964411944154283
K6_L0_A,minus10,-10.0,452.0,0.002547108557564087,0.9299408814968803,0.002982054192095761,0.010812092211376698,0.2355796184279643,0.9034141418698182,120.69628337855956,0.0031422249053763536,0.004469222753639314,0.004939169046694882
K6_L0_A,zero,0.0,452.0,0.0032341109001597372,0.894911735029366,0.002371028317145844,0.004726874362771615,0.6841965011025611,0.7786099494001611,127.16679369844248,0.0019389768534455807,0.003464198686336018,0.001581589551494687
