sample_index,delta_theta_deg,delta_theta_difference_from_IAR4_deg,delta_theta_difference_from_I03_deg,direct_clearance_nm,periodic_image_clearance_nm,global_minimum_clearance_nm,nearest_pair_kind,nearest_pair,overlap_or_touching_pass,cell_containment_pass,geometry_valid,validity_reasons,geometry_hash_sha256
7352,87.352,4.531090679000002,1.5321387070000014,63.28348529731173,75.28348529731176,63.28348529731173,direct,"{""distance_nm"": 63.28348529731173, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.76853595752539, 61.5], ""point_b_nm"": [-34.768535957525394, -1.7834852973117283], ""touch_or_overlap"": false}",True,True,True,,87d7a0fc08a0c3f7aeb6c193542d89a3f22b34a046bf76328cd2996c3d2d9f75
7353,87.353,4.532090678999992,1.533138706999992,63.28409213846102,75.28409213846103,63.28409213846102,direct,"{""distance_nm"": 63.28409213846102, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.770337420253725, 61.5], ""point_b_nm"": [-34.77033742025372, -1.7840921384610169], ""touch_or_overlap"": false}",True,True,True,,052edfddce90924ca32d7f805c9da8581bdba69f9bded871b5ea6881d66c2b7e
7354,87.354,4.533090678999997,1.5341387069999968,63.28469901105169,75.28469901105169,63.28469901105169,direct,"{""distance_nm"": 63.28469901105169, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.77213887239044, 61.5], ""point_b_nm"": [-34.77213887239044, -1.7846990110516945], ""touch_or_overlap"": false}",True,True,True,,945221056e2f39246ecb7cdc0b8689413c4294c8894d1628822896c054912311
7355,87.355,4.534090679000002,1.5351387070000015,63.28530591508353,75.28530591508354,63.28530591508353,direct,"{""distance_nm"": 63.28530591508353, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.77394031393496, 61.5], ""point_b_nm"": [-34.773940313934965, -1.7853059150835342], ""touch_or_overlap"": false}",True,True,True,,f1bac0eba4d79e47731845a848d9c7859893a3bb1ff9e6d529d7dabd4cbf0822
7356,87.356,4.5350906789999925,1.536138706999992,63.285912850556365,75.28591285055634,63.285912850556365,direct,"{""distance_nm"": 63.285912850556365, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.7757417448867, 61.5], ""point_b_nm"": [-34.77574174488669, -1.7859128505563655], ""touch_or_overlap"": false}",True,True,True,,433b6e259660bcf5495fd86f4f157fd5646f7e6af60a07adf385bafc91dc24e9
7357,87.357,4.536090678999997,1.5371387069999969,63.28651981747003,75.28651981747004,63.28651981747003,direct,"{""distance_nm"": 63.28651981747003, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.77754316524516, 61.5], ""point_b_nm"": [-34.77754316524516, -1.786519817470028], ""touch_or_overlap"": false}",True,True,True,,f295d33b6b3724106728fb2f26468b1ec3bd1df37048138bce1560d3963376c8
7358,87.358,4.537090679000002,1.5381387070000017,63.28712681582429,75.28712681582431,63.28712681582429,direct,"{""distance_nm"": 63.28712681582429, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.77934457500979, 61.5], ""point_b_nm"": [-34.77934457500977, -1.7871268158242855], ""touch_or_overlap"": false}",True,True,True,,e6c69c12476f6d5801aa8f851a32ba11f62f7f5724f41ff58e52e3597a84079f
7359,87.359,4.538090678999993,1.5391387069999922,63.28773384561898,75.28773384561899,63.28773384561898,direct,"{""distance_nm"": 63.28773384561898, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.78114597417999, 61.5], ""point_b_nm"": [-34.78114597417999, -1.7877338456189795], ""touch_or_overlap"": false}",True,True,True,,8bce0d09590d8c5dbd342ebc7c0e70cc62dd87509eca6a07897111eb85f0e755
7360,87.36,4.539090678999997,1.540138706999997,63.28834090685396,75.28834090685396,63.28834090685396,direct,"{""distance_nm"": 63.28834090685396, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.782947362755266, 61.5], ""point_b_nm"": [-34.78294736275526, -1.7883409068539577], ""touch_or_overlap"": false}",True,True,True,,18541e5bca7d8d1e5e2ff9d36fc56ec8b3c49c24ea5d1f94017ebfb117896cf7
7361,87.361,4.540090679000002,1.5411387070000018,63.288947999528986,75.288947999529,63.288947999528986,direct,"{""distance_nm"": 63.288947999528986, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.78474874073508, 61.5], ""point_b_nm"": [-34.78474874073506, -1.7889479995289896], ""touch_or_overlap"": false}",True,True,True,,4bcb7336944061c212c1395a2eb59571251f75fc26a8a1d2422ec6fca3c6b88f
