geometry_id,geometry_hash,D1,D2,D3,D4,D5,D6,calibrated_eta_plus1,ridge_eta_plus1,residual_mlp_eta_plus1,cnn_eta_plus1,lf_eta_plus1,model_rank_variance,pairwise_model_reversal_proxy,predicted_ps_contrast,nearest_hf16_distance,lf_response_distance,residual_tail_score,performance_score,ps_risk_score,geometry_span,predicted_rank_vector,residual_tail_score_norm,performance_score_norm,ps_risk_score_norm,nearest_hf16_distance_norm,lf_response_distance_norm,model_rank_variance_norm,predicted_ps_contrast_norm,pairwise_model_reversal_proxy_norm,geometry_span_norm,ranking_ambiguity_score,residual_tail_role_score,polarization_stress_role_score,coverage_control_role_score,ranking_champion_stress_role_score,acquisition_role,selection_tier,expected_information_rationale
K6X_D100_D105_D110_D115_D190_D230,28af39e140680f8a92b622e4f0dcc8436d1ad0021a7f35350015946e4bbc6ea3,100.0,105.0,110.0,115.0,190.0,230.0,0.510748678310351,0.10035269679137651,0.08390565991761502,0.22945080291141162,0.295766791161302,1.707825127659933,0.12088009328667602,0.17534472123423422,4.245526900473152,0.2855432878163728,0.7898199947374095,0.47446228966863485,0.39635424352784876,130.0,"{""LF_affine"": 5, ""LF_global_bias"": 6, ""LF_only"": 4, ""LF_ridge_residual"": 2, ""circular_cnn"": 1, ""corrected_residual_mlp"": 3}",0.7632816541330408,0.42680568897841126,0.617324097742398,1.0,0.938527101951926,0.0,0.7561719137102094,0.6411962456392664,1.0,0.25628095582137667,0.630019603562399,0.6596894165750247,0.9846317754879816,0.2561821846042117,COVERAGE-CONTROL,Primary4,M7A deterministic role/coverage proxy
K6X_D100_D105_D115_D120_D125_D165,c9a4fedab14cf5d95250a2e6504304d5c3debd627bee59b15bc02ad0c945a47e,100.0,105.0,115.0,120.0,125.0,165.0,0.6690016009590842,0.43228297179904107,0.3900183940475637,0.5104432227936658,0.28278730753467607,1.707825127659933,0.08858597772167391,0.0604244660247456,2.63906821424544,0.04962924207476053,0.4836259804873755,0.7434504716114478,0.10562266596152323,65.0,"{""LF_affine"": 6, ""LF_global_bias"": 5, ""LF_only"": 4, ""LF_ridge_residual"": 2, ""circular_cnn"": 1, ""corrected_residual_mlp"": 3}",0.4184261076833376,0.7201861497724509,0.164507932059677,0.5796947738857852,0.12038458935913314,0.0,0.21623472838395297,0.40970231254305983,0.38095238095238093,0.2979963074403472,0.25848574753756337,0.20024510888689825,0.42511874916744136,0.4491150438747519,backup,unselected,M7A deterministic role/coverage proxy
K6X_D100_D105_D115_D165_D225_D230,3322805126afe49c88dd968c948ae5794d7e823781ba3e24fc5af9ddd665a869,100.0,105.0,115.0,165.0,225.0,230.0,0.42068184370344336,0.07609457970737708,0.05010463644496419,0.10339590026573701,0.3824892535697753,1.707825127659933,0.05966340252423559,0.1455378747460517,3.495391131320434,0.25744532570242884,0.7005797806499062,0.3593166980837093,0.5780884333167291,130.0,"{""LF_affine"": 5, ""LF_global_bias"": 6, ""LF_only"": 3, ""LF_ridge_residual"": 2, ""circular_cnn"": 1, ""corrected_residual_mlp"": 4}",0.6627735404463245,0.3012185108593008,0.9003761820137844,0.8037385045920798,0.8410842504660199,0.0,0.6161285004151069,0.20237659482061043,1.0,0.13084087222191232,0.48271712073684064,0.8197663815373029,0.8523272401421489,0.19503828845033042,POLARIZATION-STRESS,Primary4,M7A deterministic role/coverage proxy
K6X_D100_D105_D130_D145_D175_D220,755ff7c36738865b5c4bada4bac221f914a7cfcf213197650300c56a80a55266,100.0,105.0,130.0,145.0,175.0,220.0,0.7755792953751304,0.6520242477124024,0.613329755988988,0.806111441417174,0.40075788004925333,1.707825127659933,0.08044209131053777,0.019540583545511418,2.971496203606568,0.07526809268377044,0.46805466349505015,0.878131155669402,0.0549184819241107,120.0,"{""LF_affine"": 5, ""LF_global_bias"": 4, ""LF_only"": 2, ""LF_ridge_residual"": 3, ""circular_cnn"": 1, ""corrected_residual_mlp"": 6}",0.4008886811484578,0.8670798938157468,0.08553586307396698,0.6666694483252606,0.20929931926131584,0.0,0.024147368407184403,0.3513244854058536,0.9047619047619048,0.3303888652258948,0.2629007652984599,0.10479344594805955,0.5999454073466033,0.4919845110926193,backup,unselected,M7A deterministic role/coverage proxy
K6X_D100_D110_D120_D125_D130_D205,28e52dee45b7d602f92a9be9cd041afef3d7550bc706d562fdebcc66dbf2d1d8,100.0,110.0,120.0,125.0,130.0,205.0,0.6430114250291478,0.4348105819588912,0.48106418550014496,0.5008963034911589,0.21129390123179642,1.707825127659933,0.1380938730959338,0.07211676239967346,3.1257185620493195,0.0605127951638265,0.5928263297353772,0.6980524447753375,0.1242886997755773,105.0,"{""LF_affine"": 6, ""LF_global_bias"": 5, ""LF_only"": 4, ""LF_ridge_residual"": 3, ""circular_cnn"": 1, ""corrected_residual_mlp"": 2}",0.5414146194106334,0.6706713572037951,0.19358039103003338,0.7070193582189036,0.15812841017418552,0.0,0.27116939227911013,0.7645897965007633,0.7619047619047619,0.35411936646129116,0.3819451786374207,0.24388161411790873,0.5807737019448957,0.43685721874800343,backup,backup,M7A deterministic role/coverage proxy
K6X_D100_D115_D135_D165_D220_D230,33052007ba11aefdda4c765fd30d9f19e06ca4036972fcd0278c949057fc79d9,100.0,115.0,135.0,165.0,220.0,230.0,0.5740591809153557,0.3533642571362871,0.26850416375832126,0.3183703977953304,0.4246203363770785,1.707825127659933,0.046889206088255454,0.1381027170202949,2.5227019291620962,0.18983486511490563,0.4367268083884079,0.5702757058941249,0.26779812223848987,130.0,"{""LF_affine"": 5, ""LF_global_bias"": 4, ""LF_only"": 1, ""LF_ridge_residual"": 2, ""circular_cnn"": 3, ""corrected_residual_mlp"": 6}",0.3656052200450145,0.5313076191355568,0.41709717225815074,0.5492493237890417,0.6066132933479488,0.0,0.5811954233210487,0.11080731282072448,1.0,0.1815537483048119,0.3017766129168872,0.44476762724941665,0.6537404514209602,0.34031929513526465,backup,backup,M7A deterministic role/coverage proxy
K6X_D100_D120_D130_D150_D165_D180,a6e37e4082d76939c42119f938954aaac21bc4995367b568f15b7dd938b5d748,100.0,120.0,130.0,150.0,165.0,180.0,0.822319741953503,0.714821767933159,0.6841517239809036,0.8337200717492537,0.4417338670901605,1.707825127659933,0.08955694494108579,0.1608820530501279,1.1357620966834487,0.01696983596140688,0.6147636301303602,1.0,0.09459128792048753,80.0,"{""LF_affine"": 4, ""LF_global_bias"": 3, ""LF_only"": 1, ""LF_ridge_residual"": 5, ""circular_cnn"": 2, ""corrected_residual_mlp"": 6}",0.5661218290988198,1.0,0.1473264949810068,0.18637783204492153,0.0071227931258006074,0.0,0.6882210347515869,0.4166624975983439,0.5238095238095238,0.38333249951966875,0.28325583798570586,0.2973849363469041,0.2090504106680618,0.65439068335085,backup,unselected,M7A deterministic role/coverage proxy
K6X_D100_D130_D135_D165_D170_D230,01760c3660d3ba0cd0a5960d3899d61c6ce51c703445eb29e43fc16af24a4555,100.0,130.0,135.0,165.0,170.0,230.0,0.5732868340882389,0.37244114061036265,0.3728268769654361,0.6187487407164141,0.3523390540449657,1.707825127659933,0.12300576351561207,0.03511540998112072,0.9366687855388095,0.02389778413555839,0.11210935302531949,0.5861963529489304,0.3527604092678948,130.0,"{""LF_affine"": 4, ""LF_global_bias"": 3, ""LF_only"": 2, ""LF_ridge_residual"": 6, ""circular_cnn"": 1, ""corrected_residual_mlp"": 5}",0.0,0.5486719759461139,0.5494264409338697,0.13428812698380188,0.031148700139921198,0.0,0.09732357161225279,0.6564336891534401,1.0,0.29588833061452224,0.13907391286566834,0.4040632229761593,0.28164564487607135,0.485688132694335,backup,unselected,M7A deterministic role/coverage proxy
K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,100.0,140.0,165.0,190.0,225.0,230.0,0.4481736597689715,0.29307962993113995,0.2836676626042886,0.5068983801386573,0.4311290914892652,1.707825127659933,0.09748661108403192,0.03471609272740104,3.2252146069889367,0.2353752014311877,0.651187125496306,0.4108700663509089,0.3792143579797113,130.0,"{""LF_affine"": 4, ""LF_global_bias"": 3, ""LF_only"": 2, ""LF_ridge_residual"": 5, ""circular_cnn"": 1, ""corrected_residual_mlp"": 6}",0.6071443305634451,0.35744682107157383,0.5906286237965804,0.733050969255235,0.7645457515913704,0.0,0.09544743381885348,0.47350472942462074,1.0,0.2019349922063963,0.49833789947997253,0.49324395647772146,0.7943144709882219,0.26159134857362326,backup,backup,M7A deterministic role/coverage proxy
K6X_D100_D160_D165_D170_D175_D185,009cb5da671e1b9f08466acdf92d0b09479e0a511946bdc6aa0d053927a7858a,100.0,160.0,165.0,170.0,175.0,185.0,0.5388932939280163,0.16519885499165932,0.14909990764731032,0.26517804915254767,0.20834117715368972,1.707825127659933,0.06258164468032407,0.11038799943741072,3.4192398112918654,0.05900745127688754,0.4653256652175374,0.5359942590314973,0.5252223757879744,85.0,"{""LF_affine"": 5, ""LF_global_bias"": 6, ""LF_only"": 2, ""LF_ridge_residual"": 3, ""circular_cnn"": 1, ""corrected_residual_mlp"": 4}",0.397815106393716,0.4939174758043442,0.8180369821741259,0.7838146820512949,0.15290792478042756,0.0,0.45098159307383706,0.22329543228127124,0.5714285714285714,0.1928343291975575,0.2221213548891617,0.7026037167760272,0.5836107706090334,0.28782947092982303,backup,unselected,M7A deterministic role/coverage proxy
