set,added_geometry_count,nearest_HF_distance_mean,residual_risk_mean,ranking_ambiguity_mean,ps_risk_mean,lf_response_std
HF16,0,0,0,0,0,0
HF16+Primary4,4,2.5778270076650474,0.7495353320482376,0.2624558076989224,0.6338390621963111,0.0504216247519123
HF16+first6,6,2.7821094033181186,0.7600393035053871,0.24261481292323706,0.5871889029771399,0.04590709016876085
HF16+first8,8,2.727238055526975,0.7063177467312306,0.24724786936527188,0.5977284596415269,0.06287044965326044
