sequence_uids,sequence_hashes,mean_target_order_strength,worst_wavelength_target_order_strength,mean_y_target_leakage,x_y_contrast_ratio,x_y_contrast_safe_difference,mean_m0_xx_leakage,mean_mminus1_xx_leakage,worst_projector_error
H1C1B_V2_005|H1C1B_V2_005|H1C1B_V2_015|H1C1B_V2_015|H1C1B_V2_010|H1E3C_A_DECOUPLED_PLUS_H1C1B_V2_010,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611|27352db3f59faf95f295663c3dd41b128680dc64dcd5f709417bddca7a71ad78,2.272013493805744,0.22729913593335296,0.18480520599507225,12.294098976120436,2.0872082878106717,23.004897195956094,0.8290588339054877,0.4878669182171783
H1C1B_V2_005|H1C1B_V2_005|H1C1B_V2_015|H1E3C_A_DECOUPLED_MINUS_H1C1B_V2_010|H1E3C_A_DECOUPLED_MINUS_H1C1B_V2_010|H1C1B_V2_010,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|f141c4d78883582d7e2ab90e4cb4cf1723d9ab15070148c2ee68c929a42eda0f|f141c4d78883582d7e2ab90e4cb4cf1723d9ab15070148c2ee68c929a42eda0f|3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611,2.271197821761963,0.11215513315618626,0.2786949566115208,8.149404098933289,1.992502865150442,23.471615858846175,0.9158123726692673,0.8856485799127719
H1C1B_V2_005|H1C1B_V2_005|H1C1B_V2_015|H1C1B_V2_015|H1E3C_A_DECOUPLED_MINUS_H1C1B_V2_010|H1C1B_V2_009,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|f141c4d78883582d7e2ab90e4cb4cf1723d9ab15070148c2ee68c929a42eda0f|955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800,2.27027933675106,0.15473550302016298,0.2710666303750529,8.375355290357424,1.999212706376007,22.46257321610141,0.7067728780487116,0.7283116311499105
H1C1B_V2_005|H1C1B_V2_005|H1C1B_V2_015|H1E3C_A_TIED_MINUS_H1C1B_V2_010|H1E3C_A_TIED_PLUS_H1C1B_V2_010|H1E3C_A_TIED_PLUS_H1C1B_V2_010,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|405ef47bf4982f1ee15f52588e2b04fc358919abf0e381cad6496d0924e0a3a4|9645afed93730d1b7f61db22ca1124308896e8fa88571ea6584a4e09818ca537|9645afed93730d1b7f61db22ca1124308896e8fa88571ea6584a4e09818ca537,2.2691799866637385,0.47805589694813627,0.26407070205625593,8.593077418260231,2.0051092846074825,24.55274789416184,0.6505044746251541,0.6188823265846284
H1C1B_V2_005|H1C1B_V2_005|H1C1B_V2_015|H1C1B_V2_015|H1E3C_A_TIED_MINUS_H1C1B_V2_010|H1E3C_B_DECOUPLED_MINUS_GLOBAL_006,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|405ef47bf4982f1ee15f52588e2b04fc358919abf0e381cad6496d0924e0a3a4|ef02123b092693b6bc97a2775d52c2484c8f0b3494ea3d16aa6867ea5e56f660,2.2683871625048897,0.10786124052683779,0.2520160941977052,9.000961504963856,2.0163710683071843,22.51140564344515,0.8061086516186858,0.7938664185269826
H1C1B_V2_005|H1C1B_V2_005|H1C1B_V2_015|H1E3C_A_DECOUPLED_MINUS_H1C1B_V2_010|H1E3C_B_DECOUPLED_MINUS_GLOBAL_006|H1E3C_A_DECOUPLED_PLUS_H1C1B_V2_010,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|f141c4d78883582d7e2ab90e4cb4cf1723d9ab15070148c2ee68c929a42eda0f|ef02123b092693b6bc97a2775d52c2484c8f0b3494ea3d16aa6867ea5e56f660|27352db3f59faf95f295663c3dd41b128680dc64dcd5f709417bddca7a71ad78,2.265047315262251,0.3179069988766094,0.31745931151772,7.13492165163919,1.947588003744531,24.20335769728545,0.6745228262650514,0.7136098318666215
H1C1B_V2_005|H1C1B_V2_015|H1C1B_V2_015|H1E3C_A_DECOUPLED_MINUS_H1C1B_V2_010|H1C1B_V2_009|H1C1B_V2_012,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|f141c4d78883582d7e2ab90e4cb4cf1723d9ab15070148c2ee68c929a42eda0f|955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800|9191ce264313547454e8730bd323ea9ae49244af138113c2fa5b75e1a627857b,2.2647782784434303,0.15336141182416033,0.35856337140115774,6.316256648283282,1.9062149070422725,23.51901423835932,0.7023160705486315,1.046883504201463
H1C1B_V2_005|H1C1B_V2_005|H1C1B_V2_015|H1E3C_A_DECOUPLED_MINUS_H1C1B_V2_010|H1E3C_A_DECOUPLED_MINUS_H1C1B_V2_010|H1E3C_B_DECOUPLED_MINUS_GLOBAL_006,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|f141c4d78883582d7e2ab90e4cb4cf1723d9ab15070148c2ee68c929a42eda0f|f141c4d78883582d7e2ab90e4cb4cf1723d9ab15070148c2ee68c929a42eda0f|ef02123b092693b6bc97a2775d52c2484c8f0b3494ea3d16aa6867ea5e56f660,2.263899582295742,0.10670950391786674,0.3211819574672247,7.0486511762628,1.9427176248285174,23.56932663339651,0.850518628269186,0.8621157426651215
GLOBAL_006|H1C1B_V2_005|H1C1B_V2_015|H1C1B_V2_015|H1E3C_A_DECOUPLED_MINUS_H1C1B_V2_010|H1E3C_A_DECOUPLED_MINUS_H1C1B_V2_010,58cb7c6aebab655f9f14af16d5a2ec1d0182037e8543fca5a31e7a08ebfcd176|7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|f141c4d78883582d7e2ab90e4cb4cf1723d9ab15070148c2ee68c929a42eda0f|f141c4d78883582d7e2ab90e4cb4cf1723d9ab15070148c2ee68c929a42eda0f,2.2635013197451124,0.13412205718947734,0.24706869503289253,9.16142500143035,2.0164326247122197,23.4937096338499,0.631411450610163,1.057848933871349
H1C1B_V2_005|H1C1B_V2_015|H1C1B_V2_015|H1E3C_A_TIED_MINUS_H1C1B_V2_010|H1E3C_A_TIED_PLUS_H1C1B_V2_010|H1E3C_A_DECOUPLED_PLUS_H1C1B_V2_010,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7|405ef47bf4982f1ee15f52588e2b04fc358919abf0e381cad6496d0924e0a3a4|9645afed93730d1b7f61db22ca1124308896e8fa88571ea6584a4e09818ca537|27352db3f59faf95f295663c3dd41b128680dc64dcd5f709417bddca7a71ad78,2.2633749697083894,0.4350096758539933,0.2223199165815828,10.18071167221682,2.0410550531268066,24.230964460933517,0.7316799853085618,0.6878253899959459
