candidate_uid,wavelength_nm,basis,target_order_n,target_order_m,txx_re,txx_im,tyx_re,tyx_im,txy_re,txy_im,tyy_re,tyy_im,eta_x_plus1,eta_y_plus1,theta_deg
K6_L0_A,450.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.006549126089535776,-0.011348812445190402,-0.0025454912067185247,0.0074825776860439576,0.010263288258562054,-0.008449448998023489,-0.021118742101273076,0.04375150496482645,0.00023949303378588988,0.0025424184237314972,10.000000005514977
K6_L0_A,450.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.016385970218497893,-0.012883005363698187,0.006239418269544192,-0.0073240507478390775,-0.00955292441697427,0.00515507231172969,0.044268285313048564,-0.02740169134201504,0.0005405831307877971,0.002832038882129472,10.011225523725704
K6_L0_A,451.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.000944566931331958,-0.02945123128627212,0.006328018659003524,-0.005758780817973701,-0.01345305399293354,0.004497758377928109,0.05561251959979619,-0.010457613156892339,0.0009685939461606362,0.003409613206943178,10.022451430195186
K6_L0_A,451.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.011676243131619307,-0.00686520611946831,-0.0061465348404179205,0.0034451192740692234,0.013633751346579012,-0.0011656684702519085,-0.061723463250009894,0.0073100898355757645,0.0002388578995302296,0.004056322832693292,10.0336777253947
K6_L0_A,452.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.01822823665168592,-0.052562684104256414,-0.00441306076598373,0.004734629774977707,0.008638192784532952,-0.00637968395469913,-0.06064802388486244,0.030491875604773972,0.0032341109001597372,0.004726874362771615,10.044904409795663
K6_L0_A,452.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.12325122036589238,-0.016657933289274056,-0.0014537068973545075,-0.007451591169390008,0.003968952837512572,0.012354623288837787,0.015357212465061748,-0.07178083322971626,0.016012446190818413,0.005562016890765721,10.056131483869633
K6_L0_A,453.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.1320461951537847,-0.16638561268761487,-0.008220950868094327,0.0017207229774852345,0.012119651502474847,-0.0031146137591501434,-0.07742674806571472,-0.017677595375585803,0.04661311982287356,0.00646892111920277,10.06735894808831
K6_L0_A,453.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.08833110213973883,-0.22787773926252797,-0.005779849708532872,-0.0026640604321556452,0.006455148532368776,0.005886583247708062,-0.04326414415467564,-0.07478558037475702,0.06165816601517847,0.0075434011381300325,10.078586802923537
K6_L0_A,454.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.15369711591697788,0.1645283996051359,0.003486998593636542,0.0022096187374986706,-0.005960642973522471,-0.0031484809875033937,0.04651947636403692,0.07544091731052457,0.0523145619925043,0.007902274763517979,10.089815048847298
K6_L0_B,450.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.018413452577184557,-0.017821557422271452,-0.016180615582686065,0.004691457985275108,0.004993358088755031,-0.019884445068656782,-0.010401816734696607,0.05175041907278192,0.000960901691328625,0.00321969684985202,10.000000005514977
K6_L0_B,450.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.013675668796905873,-0.011396887849597907,0.021842538632381916,0.0014290004786888589,-0.016671497987277316,0.013170885124974243,0.042500335830845316,-0.037897868510059926,0.0008059273027070302,0.003708005135366861,10.011225523725704
K6_L0_B,451.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.02115467303213149,-0.030327509684328763,0.020881375394832796,0.006120686694233122,-0.018850711680522592,0.007195776411435334,0.060192407483855404,-0.018059454738842167,0.0018834780516655766,0.004369114549327635,10.022451430195186
K6_L0_B,451.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.0037452660292788026,0.028369839358458975,-0.0172579361487281,-0.0036790093922558272,0.020575325619157356,-0.010932904458717226,-0.06953550868123598,0.010373583923277318,0.0011558814140374793,0.005502665432302263,10.0336777253947
K6_L0_B,452.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.005690325654043736,-0.008768633435599946,-0.016477729438734837,0.004889209742252837,0.017031937884398208,-0.021650039967991593,-0.07055945489826393,0.032450305508178,0.0004081171893202461,0.0068142792643391195,10.044904409795663
K6_L0_B,452.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.07087990685559599,0.018706559469375227,0.007058404312524779,-0.016452895560162543,0.009739963313842257,0.026788692284071457,0.024932794676217174,-0.08225636673904484,0.005863416478320393,0.008225806987213691,10.056131483869633
K6_L0_B,453.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.035783294963207236,-0.16187605069386876,-0.014778489820863844,-0.005407132277547132,0.023173869317976416,-0.015859501690417225,-0.09029250159417836,-0.034234540842921726,0.02859825271420853,0.010138146997042284,10.06735894808831
K6_L0_B,453.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.017040199868803552,-0.23817320898058036,-0.00780000029028021,-0.010565221258738945,0.02476102730327387,0.0027523810042393614,-0.034699409406239896,-0.10209488339371631,0.0589905896696377,0.012267706993980946,10.078586802923537
K6_L0_B,454.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.09173859930174709,0.23407975644422988,0.008138973713910112,0.010552878363186182,-0.022016426648960655,-0.01346919989654082,0.042092115236187326,0.11007478160144926,0.06538836676145905,0.014575438812341449,10.089815048847298
K6_L0_C,450.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.056551904267406417,-0.11653664649167045,-0.004896002686593101,-0.017143976317059054,-0.005428382549692588,0.0016373662589071435,0.02996751906511511,-0.021210679741116557,0.017618471067676254,0.0013810929688955963,10.000000005514977
K6_L0_C,450.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.006272551575076405,0.06927455895397759,0.002705880222672288,0.004508054730105654,-0.0007754315980636918,0.0024844250949738692,-0.03797839924334876,0.0014229693667476017,0.005016727527842917,0.001451368397291737,10.011225523725704
