shortlist_role,candidate_id,family,center_wavelength_nm,cavity_span_nm,top_pair_count,bottom_pair_count,bottom_reflectivity_proxy,termination,spectral_peak_wavelength_nm_at_theta0,spectral_FWHM_nm_at_theta0,angular_peak_angle_deg_at_453,angular_FWHM_deg_at_453,peak_abs_angle_deg_at_453,I_normal_0_5deg_at_453,I_offaxis_20_30deg_at_453,eta5,eta10,eta20,eta30,normal_offaxis_ratio_at_453,pass_level,failure_reason,score,cavity_validity_class,effective_bottom_reflector,top_mirror_extraction_risk,angular_lobe_quality_flag,normal_offaxis_same_basis,I_proxy_normal_abs_at_453,I_proxy_offaxis_abs_at_453,I_proxy_peak_estimate_at_453,ratio_artifact_warning,fwhm_artifact_warning,physical_audit_warning,conservative_score
best_true_or_weak_two_mirror,R2_1_00227,R2A_Taguchi2026_scaled_control,453,290,6,6,0.8534,none,449.34,4.023958,1.0,9.0,1.0,0.150102,0.061822,0.35798,0.559304,0.71545,0.968215,2.427966,Level A,cavity center shifted away from 453 nm,-0.397617,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.150102,0.061822,0.150102,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.537378
best_all_dielectric_highR_mediumR,R2_1_04067,R2D_all_dielectric_highR_mediumR_scan,453,290,8,4,0.722,none,452.96,4.123139,0.0,8.0,0.0,1.48438,0.622017,0.367742,0.558151,0.701925,0.966569,2.386396,Level A,meets Level B or better constraints,2.102742,true_two_mirror_cavity,DBR proxy,medium,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.48438,0.622017,1.48438,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.444643
best_Taguchi_style,R2_1_00223,R2A_Taguchi2026_scaled_control,453,280,6,6,0.8534,none,449.04,4.023958,1.0,9.0,1.0,0.101203,0.041751,0.3596,0.559377,0.713583,0.967985,2.423956,Level A,cavity center shifted away from 453 nm,-0.505346,true_two_mirror_cavity,DBR proxy,low,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.101203,0.041751,0.101203,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,2.527637
best_Khaidarov_style,R2_1_02264,R2B_Khaidarov_hybrid_scaled_control,453,290,12,4,0.722,TiO2_50nm,452.61,4.075965,0.0,7.0,0.0,1.510859,0.640092,0.399325,0.566308,0.670966,0.962755,2.360379,Level A,meets Level B or better constraints,2.132627,true_two_mirror_cavity,DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.510859,0.640092,1.510859,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.896779
top_filter_control,R2_1_00359,R2A_Taguchi2026_scaled_control,453,320,8,0,0.12,none,450.8,5.029978,1.0,10.0,1.0,0.941194,0.320101,0.359162,0.579201,0.767254,0.974696,2.940304,Level A,cavity center shifted away from 453 nm,1.042287,top_filter_only,none in proxy,medium,single_near_normal_lobe_proxy,yes_proxy_I_basis,0.941194,0.320101,0.941194,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.577037
C2_fallback_control,R2_1_02653,R2C_C2_medium_bottomR_upgrade,453,210,6,8,0.9227,TiO2_25nm,452.845,4.172387,0.0,29.0,0.0,1.24716,0.92259,0.264521,0.42979,0.624807,0.958735,1.351803,Level C,angular too broad,0.68623,true_two_mirror_cavity,DBR proxy,low,broad_or_pedestal_proxy,yes_proxy_I_basis,1.24716,0.92259,1.24716,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,0.924365
