candidate_id,family,center_wavelength_nm,cavity_span_nm,top_pair_count,bottom_pair_count,bottom_reflectivity_proxy,termination,spectral_peak_wavelength_nm_at_theta0,spectral_FWHM_nm_at_theta0,angular_peak_angle_deg_at_453,angular_FWHM_deg_at_453,peak_abs_angle_deg_at_453,I_normal_0_5deg_at_453,I_offaxis_20_30deg_at_453,eta5,eta10,eta20,eta30,normal_offaxis_ratio_at_453,pass_level,failure_reason,score,cavity_validity_class,effective_bottom_reflector,top_mirror_extraction_risk,angular_lobe_quality_flag,normal_offaxis_same_basis,I_proxy_normal_abs_at_453,I_proxy_offaxis_abs_at_453,I_proxy_peak_estimate_at_453,ratio_artifact_warning,fwhm_artifact_warning,physical_audit_warning,conservative_score
R2_1_04545,R2D_all_dielectric_highR_mediumR_scan,453,290,12,0,0.12,TiO2_25nm,452.725,4.959948,0.0,6.0,0.0,1.581001,0.541805,0.445561,0.613566,0.702866,0.966343,2.918026,Level A,meets Level B or better constraints,2.412698,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.581001,0.541805,1.581001,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.76883
R2_1_04553,R2D_all_dielectric_highR_mediumR_scan,453,310,12,0,0.12,TiO2_25nm,453.325,4.959948,1.0,7.0,1.0,1.597213,0.540084,0.443022,0.617063,0.708516,0.966986,2.957343,Level A,meets Level B or better constraints,2.411843,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.597213,0.540084,1.597213,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.882808
R2_1_04654,R2D_all_dielectric_highR_mediumR_scan,453,260,12,4,0.722,SiO2_25nm,453.085,4.017483,2.0,6.0,2.0,1.604583,0.61056,0.455225,0.594854,0.662723,0.961775,2.628051,Level A,meets Level B or better constraints,2.410106,true_two_mirror_cavity,DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.604583,0.61056,1.604583,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.976119
R2_1_04598,R2D_all_dielectric_highR_mediumR_scan,453,270,12,2,0.4727,SiO2_25nm,453.505,4.360571,2.0,7.0,2.0,1.60098,0.557641,0.435288,0.620596,0.704845,0.966553,2.870988,Level A,meets Level B or better constraints,2.383819,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.60098,0.557641,1.60098,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.033894
R2_1_04543,R2D_all_dielectric_highR_mediumR_scan,453,280,12,0,0.12,none,453.3,4.959948,0.0,6.0,0.0,1.56675,0.54088,0.446638,0.611628,0.699938,0.96601,2.896668,Level A,meets Level B or better constraints,2.382619,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.56675,0.54088,1.56675,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.783783
R2_1_04294,R2D_all_dielectric_highR_mediumR_scan,453,260,10,2,0.4727,SiO2_25nm,453.005,4.40285,2.0,9.0,2.0,1.61877,0.586246,0.379484,0.593089,0.733878,0.970065,2.761246,Level A,meets Level B or better constraints,2.380794,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.61877,0.586246,1.61877,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,0.847335
R2_1_04234,R2D_all_dielectric_highR_mediumR_scan,453,260,10,0,0.12,SiO2_25nm,453.125,5.014721,2.0,10.0,2.0,1.629164,0.566805,0.363184,0.585421,0.757378,0.973148,2.874291,Level A,meets Level B or better constraints,2.379023,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.629164,0.566805,1.629164,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-1.192228
R2_1_04650,R2D_all_dielectric_highR_mediumR_scan,453,250,12,4,0.722,SiO2_25nm,452.785,4.017483,2.0,6.0,2.0,1.589182,0.606483,0.457572,0.592441,0.659984,0.961464,2.620325,Level A,meets Level B or better constraints,2.370381,true_two_mirror_cavity,DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.589182,0.606483,1.589182,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.969174
R2_1_04230,R2D_all_dielectric_highR_mediumR_scan,453,250,10,0,0.12,SiO2_25nm,452.825,5.014721,2.0,10.0,2.0,1.624915,0.564893,0.365404,0.586289,0.755948,0.972961,2.8765,Level A,meets Level B or better constraints,2.367437,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.624915,0.564893,1.624915,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-1.19154
R2_1_02178,R2B_Khaidarov_hybrid_scaled_control,453,220,12,2,0.4727,SiO2_25nm,453.005,4.429555,2.0,10.0,2.0,1.649345,0.635094,0.357428,0.573825,0.734485,0.970337,2.597007,Level A,meets Level B or better constraints,2.363095,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.649345,0.635094,1.649345,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,0.691242
