FWHM_nm,T448,T449,T450,T450_10deg,T450_20deg,T450_30deg,T450_40deg,T450_50deg,T450_60deg,T451,T452,T453,TE_TM_split_20deg,TE_TM_split_40deg,Tpeak,blue_448_453_mean,blue_448_453_min,candidate_id,compiled_layer_sequence,complex_index_reconstruction,defect_material_id,duplicate_group_id,energy_max,extrapolation_policy,geometry,high_index_material_id,interpolation_axis,interpolation_method,interpolation_source_quantity,logical_layer_sequence,low_index_material_id,material_model,material_policy_id,normal_to_40_60_ratio,peak_count,peak_error_nm,peak_wavelength_nm,physical_sequence_hash,propagation_direction,topology_id,total_layer_count_compiled,total_layer_count_logical,total_thickness_nm
26.5,0.8240051085764295,0.8062624152761877,0.78174622239555,0.7062045088760796,0.46031111952282444,0.23550946775618725,0.13311991067151754,0.10041562248417946,0.10448018727572866,0.7520564268655174,0.7189528550601192,0.6837076330028712,0.04725435362644159,0.10682343802787313,0.8350584847243383,0.7611217768627793,0.6837076330028712,EX_N2_L76_H42_C162,L76 H42 L76 H42 L162 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_835bf8ed51f3c319,1.0000000000000009,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 162}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L162 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,6.855696821338468,1,-3.5,446.5,835bf8ed51f3c319,GaN -> reverse(stack) -> Air,Explicit,9,9,634
17.0,0.3997152654752943,0.374662323489529,0.351716724953676,0.30341038373354556,0.20597129764229954,0.12964429747011535,0.0910103006939851,0.08077721832201576,0.09415960213171362,0.33074528531893166,0.31163824327642364,0.2941689620169651,0.04095736065128444,0.08162474743442574,0.8292376036397904,0.3437744674218033,0.2941689620169651,EX_N2_L77_H42_C152,L77 H42 L77 H42 L152 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_979c685b4f8ac4d9,1.0000000000000009,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 152}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L152 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,3.822836984080956,1,-16.0,434.0,979c685b4f8ac4d9,GaN -> reverse(stack) -> Air,Explicit,9,9,628
18.5,0.4398865351333532,0.4118780323980709,0.3861081940295202,0.33183754737756366,0.22207521542052722,0.1368517635525825,0.09417420150856926,0.08226492522831083,0.09472358408828548,0.362481972068432,0.34091771893619865,0.3211775367284546,0.042686531531476474,0.08372566437795893,0.8288302367659763,0.3770749982156716,0.3211775367284546,EX_N2_L77_H42_C153,L77 H42 L77 H42 L153 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_75dbe16d60bd1d21,1.0000000000000009,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 153}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L153 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,4.111296446705752,1,-15.0,435.0,75dbe16d60bd1d21,GaN -> reverse(stack) -> Air,Explicit,9,9,629
20.0,0.4840047575445944,0.45301481142609695,0.4242981192576886,0.36360788285690293,0.24002447955820355,0.14472447422857349,0.09755622442794246,0.08383639808059759,0.09533423155494193,0.39783443049571937,0.3735982644830954,0.3513567316338089,0.04440183156849556,0.08593063135158657,0.8290160649856045,0.4140178524735006,0.3513567316338089,EX_N2_L77_H42_C154,L77 H42 L77 H42 L154 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_22f536b1b3cdee3c,1.0000000000000009,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 154}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L154 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,4.423910105542009,1,-13.5,436.5,22f536b1b3cdee3c,GaN -> reverse(stack) -> Air,Explicit,9,9,630
21.5,0.5317852993729166,0.4980050666908882,0.4663691077144453,0.39898566422293225,0.2600553851375588,0.15333965387803222,0.10117506283151484,0.08549634989957065,0.09599268405636935,0.4369839582309425,0.40992163203108334,0.3849814413385355,0.0460586191120711,0.08824336711259899,0.8289975888137189,0.45467441756313526,0.3849814413385355,EX_N2_L77_H42_C155,L77 H42 L77 H42 L155 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_c02210bd420ef0db,1.0000000000000009,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 155}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L155 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,4.759596757165672,1,-12.0,438.0,c02210bd420ef0db,GaN -> reverse(stack) -> Air,Explicit,9,9,631
23.0,0.5825133501397717,0.5464612313790921,0.5121750328169269,0.43814963711113664,0.2824271879622464,0.16278497457183094,0.10505143927359761,0.08724987978760715,0.09670018063284876,0.47995502680555463,0.45002717655844793,0.422264419649848,0.04759666587502387,0.09066733575372471,0.8290984836277387,0.49889937289160685,0.422264419649848,EX_N2_L77_H42_C156,L77 H42 L77 H42 L156 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_4a0547f4ebdc2b6d,1.0000000000000013,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L156 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,5.115284338437142,1,-11.0,439.0,4a0547f4ebdc2b6d,GaN -> reverse(stack) -> Air,Explicit,9,9,632
24.5,0.6348885584179518,0.5975322420804576,0.5612185305380133,0.48112192763048356,0.30741810061489905,0.1731600123435557,0.10920836448898821,0.08910250908619248,0.09745806515136558,0.5265161347910705,0.4938745473329264,0.46329782256070157,0.048936751520620325,0.0932056074307852,0.8295912912229886,0.5462213059535203,0.46329782256070157,EX_N2_L77_H42_C157,L77 H42 L77 H42 L157 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_2cf9fdcb84bfb279,1.0000000000000009,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 157}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L157 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,5.485060249876013,1,-9.5,440.5,2cf9fdcb84bfb279,GaN -> reverse(stack) -> Air,Explicit,9,9,633
26.0,0.68689482601453,0.6497546359739819,0.6125072775941933,0.5276695128306153,0.33531664217025536,0.18457785295658147,0.11367143421866047,0.09106022171496876,0.09826779216133023,0.5760535026471365,0.5411390736878713,0.5079702298916866,0.04997755940053683,0.09586067944158295,0.82987433992365,0.5957199243015666,0.5079702298916866,EX_N2_L77_H42_C158,L77 H42 L77 H42 L158 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_18f73375d44ea856,1.000000000000001,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 158}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L158 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,5.859227420282547,1,-8.0,442.0,18f73375d44ea856,GaN -> reverse(stack) -> Air,Explicit,9,9,634
26.5,0.7357638011312746,0.7009436563181082,0.6644148142135963,0.5771788240248257,0.36640579978131893,0.1971668228013367,0.1184691699135961,0.09312950925723432,0.09913093334715485,0.6274293600581831,0.5910828399713534,0.5558573031882962,0.05059389448918161,0.0986342473223628,0.8304725043653935,0.6459152958134686,0.5558573031882962,EX_N2_L77_H42_C159,L77 H42 L77 H42 L159 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_0db3fda703683438,1.0000000000000009,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 159}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L159 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,6.223458531576821,1,-7.0,443.0,0db3fda703683438,GaN -> reverse(stack) -> Air,Explicit,9,9,635
26.5,0.778119921139935,0.7481972246255942,0.7145971151963859,0.6285151616833329,0.4009365193724863,0.21107228968965389,0.12363341037670399,0.09531742144663692,0.10004918463693133,0.6788559280351218,0.642417350313802,0.6060918762349512,0.050638040305409804,0.10152691298384334,0.8312369391004955,0.6947132359242985,0.6060918762349512,EX_N2_L77_H42_C160,L77 H42 L77 H42 L160 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_bce03ea06799cf8e,1.0000000000000013,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 160}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L160 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,6.558402483802244,1,-5.5,444.5,bce03ea06799cf8e,GaN -> reverse(stack) -> Air,Explicit,9,9,636
