T_TE,T_TM,T_unpolarized,candidate_id,complex_index_reconstruction,defect_material_id,extrapolation_policy,high_index_material_id,interpolation_axis,interpolation_method,interpolation_source_quantity,low_index_material_id,material_model,material_policy_id,physical_sequence_hash,propagation_direction,theta_air_external,wavelength_nm
0.38153810481075145,0.381538104810752,0.38153810481075173,EX_N2_L76_H42_C152,physical_principal_square_root,APCD_SIO2_NATIVE_M1,forbidden,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,a7b84d0c5d4a1fbe,GaN -> reverse(stack) -> Air,0,448.0
0.36948013777109573,0.3694801377710956,0.3694801377710957,EX_N2_L76_H42_C152,physical_principal_square_root,APCD_SIO2_NATIVE_M1,forbidden,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,a7b84d0c5d4a1fbe,GaN -> reverse(stack) -> Air,0,448.5
0.3579450389934815,0.35794503899348157,0.3579450389934815,EX_N2_L76_H42_C152,physical_principal_square_root,APCD_SIO2_NATIVE_M1,forbidden,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,a7b84d0c5d4a1fbe,GaN -> reverse(stack) -> Air,0,449.0
0.34691441553795793,0.3469144155379582,0.3469144155379581,EX_N2_L76_H42_C152,physical_principal_square_root,APCD_SIO2_NATIVE_M1,forbidden,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,a7b84d0c5d4a1fbe,GaN -> reverse(stack) -> Air,0,449.5
0.33636925423341607,0.33636925423341596,0.336369254233416,EX_N2_L76_H42_C152,physical_principal_square_root,APCD_SIO2_NATIVE_M1,forbidden,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,a7b84d0c5d4a1fbe,GaN -> reverse(stack) -> Air,0,450.0
0.32629023030789994,0.32629023030789994,0.32629023030789994,EX_N2_L76_H42_C152,physical_principal_square_root,APCD_SIO2_NATIVE_M1,forbidden,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,a7b84d0c5d4a1fbe,GaN -> reverse(stack) -> Air,0,450.5
0.3166686162588926,0.3166686162588926,0.3166686162588926,EX_N2_L76_H42_C152,physical_principal_square_root,APCD_SIO2_NATIVE_M1,forbidden,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,a7b84d0c5d4a1fbe,GaN -> reverse(stack) -> Air,0,451.0
0.3074962023269081,0.3074962023269076,0.3074962023269079,EX_N2_L76_H42_C152,physical_principal_square_root,APCD_SIO2_NATIVE_M1,forbidden,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,a7b84d0c5d4a1fbe,GaN -> reverse(stack) -> Air,0,451.5
0.29872720498066035,0.2987272049806604,0.2987272049806604,EX_N2_L76_H42_C152,physical_principal_square_root,APCD_SIO2_NATIVE_M1,forbidden,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,a7b84d0c5d4a1fbe,GaN -> reverse(stack) -> Air,0,452.0
0.2903435250148981,0.29034352501489813,0.29034352501489813,EX_N2_L76_H42_C152,physical_principal_square_root,APCD_SIO2_NATIVE_M1,forbidden,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,a7b84d0c5d4a1fbe,GaN -> reverse(stack) -> Air,0,452.5
