candidate_id,compiled_layer_sequence,complex_index_reconstruction,defect_material_id,duplicate_group_id,extrapolation_policy,geometry,high_index_material_id,interpolation_axis,interpolation_method,interpolation_source_quantity,logical_layer_sequence,low_index_material_id,material_model,material_policy_id,physical_sequence_hash,propagation_direction,topology_id,total_layer_count_compiled,total_layer_count_logical,total_thickness_nm
EX_N2_L76_H42_C162,L76 H42 L76 H42 L162 H42 L76 H42 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_835bf8ed51f3c319,forbidden,"{""N"": 2, ""L_nm"": 76, ""H_nm"": 42, ""C_nm"": 162}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H42 L76 H42 L162 H42 L76 H42 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,835bf8ed51f3c319,GaN -> reverse(stack) -> Air,Explicit,9,9,634
EX_N2_L77_H42_C152,L77 H42 L77 H42 L152 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_979c685b4f8ac4d9,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 152}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L152 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,979c685b4f8ac4d9,GaN -> reverse(stack) -> Air,Explicit,9,9,628
EX_N2_L77_H42_C153,L77 H42 L77 H42 L153 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_75dbe16d60bd1d21,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 153}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L153 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,75dbe16d60bd1d21,GaN -> reverse(stack) -> Air,Explicit,9,9,629
EX_N2_L77_H42_C154,L77 H42 L77 H42 L154 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_22f536b1b3cdee3c,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 154}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L154 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,22f536b1b3cdee3c,GaN -> reverse(stack) -> Air,Explicit,9,9,630
EX_N2_L77_H42_C155,L77 H42 L77 H42 L155 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_c02210bd420ef0db,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 155}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L155 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,c02210bd420ef0db,GaN -> reverse(stack) -> Air,Explicit,9,9,631
EX_N2_L77_H42_C156,L77 H42 L77 H42 L156 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_4a0547f4ebdc2b6d,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L156 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,4a0547f4ebdc2b6d,GaN -> reverse(stack) -> Air,Explicit,9,9,632
EX_N2_L77_H42_C157,L77 H42 L77 H42 L157 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_2cf9fdcb84bfb279,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 157}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L157 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,2cf9fdcb84bfb279,GaN -> reverse(stack) -> Air,Explicit,9,9,633
EX_N2_L77_H42_C158,L77 H42 L77 H42 L158 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_18f73375d44ea856,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 158}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L158 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,18f73375d44ea856,GaN -> reverse(stack) -> Air,Explicit,9,9,634
EX_N2_L77_H42_C159,L77 H42 L77 H42 L159 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_0db3fda703683438,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 159}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L159 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,0db3fda703683438,GaN -> reverse(stack) -> Air,Explicit,9,9,635
EX_N2_L77_H42_C160,L77 H42 L77 H42 L160 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_bce03ea06799cf8e,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 160}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L160 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,bce03ea06799cf8e,GaN -> reverse(stack) -> Air,Explicit,9,9,636
EX_N2_L77_H42_C161,L77 H42 L77 H42 L161 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_baafa362fb19a87c,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 161}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L161 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,baafa362fb19a87c,GaN -> reverse(stack) -> Air,Explicit,9,9,637
EX_N2_L77_H42_C162,L77 H42 L77 H42 L162 H42 L77 H42 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_8b3d8a60532b460a,forbidden,"{""N"": 2, ""L_nm"": 77, ""H_nm"": 42, ""C_nm"": 162}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H42 L77 H42 L162 H42 L77 H42 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,8b3d8a60532b460a,GaN -> reverse(stack) -> Air,Explicit,9,9,638
EX_N2_L78_H42_C152,L78 H42 L78 H42 L152 H42 L78 H42 L78,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_59a5ac960c32e1e2,forbidden,"{""N"": 2, ""L_nm"": 78, ""H_nm"": 42, ""C_nm"": 152}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L78 H42 L78 H42 L152 H42 L78 H42 L78,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,59a5ac960c32e1e2,GaN -> reverse(stack) -> Air,Explicit,9,9,632
EX_N2_L78_H42_C153,L78 H42 L78 H42 L153 H42 L78 H42 L78,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_398e675baf318c7c,forbidden,"{""N"": 2, ""L_nm"": 78, ""H_nm"": 42, ""C_nm"": 153}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L78 H42 L78 H42 L153 H42 L78 H42 L78,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,398e675baf318c7c,GaN -> reverse(stack) -> Air,Explicit,9,9,633
