FWHM_nm,T448,T449,T450,T450_10deg,T450_20deg,T450_30deg,T450_40deg,T450_50deg,T450_60deg,T451,T452,T453,TE_TM_split_20deg,TE_TM_split_40deg,Tpeak,blue_448_453_mean,blue_448_453_min,candidate_id,compiled_layer_sequence,complex_index_reconstruction,defect_material_id,duplicate_group_id,energy_max,extrapolation_policy,gate_pass,geometry,high_index_material_id,interpolation_axis,interpolation_method,interpolation_source_quantity,logical_layer_sequence,low_index_material_id,material_model,material_policy_id,normal_to_40_60_ratio,peak_count,peak_error_nm,peak_wavelength_nm,physical_sequence_hash,propagation_direction,topology_id,total_layer_count_compiled,total_layer_count_logical,total_thickness_nm
3.0,0.3398689873537695,0.6155640342940191,0.9604979466108747,0.3599587647152158,0.030965669801530895,0.008470755982970212,0.005710469228307014,0.008680647052522743,0.026646153103051108,0.8494471186883736,0.49805807179904593,0.28492814222199636,0.017214040986132224,0.009305257014035383,0.9799274367425326,0.5913940501613466,0.28492814222199636,ZL1_N3_M3_L78_H46,H46 L78 H46 L78 H46 L312 H46 L78 H46 L78 H46 L78,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_25d5d56c8cf538b7,1.0000000000000009,forbidden,True,"{""N"": 3, ""M_added"": 3, ""L_nm"": 78, ""H_nm"": 46, ""effective_central_L_thickness_nm"": 234}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H46 L78 H46 L78 H46 L78 L78 L78 L78 H46 L78 H46 L78 H46 L78,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,61.66200510952037,1,0.5,450.5,25d5d56c8cf538b7,GaN -> reverse(stack) -> Air,ZL-1,12,15,978
0.0,0.004259077143940524,0.019131488129064962,0.5870474340037957,0.0020453457422735214,0.00016829588919663822,7.082532206235419e-05,0.00011553978296791376,0.0008285929110474619,0.06609412665400294,0.013149673127928254,0.0037568494279810634,0.0017760089922251965,0.0001391440026355416,0.0002198573148265649,0.5870474340037957,0.10485342180415595,0.0017760089922251965,ZL1_N5_M5_L79_H44,H44 L79 H44 L79 H44 L79 H44 L79 H44 L474 H44 L79 H44 L79 H44 L79 H44 L79 H44 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_1dfb7697f86bb163,1.0000000000000009,forbidden,False,"{""N"": 5, ""M_added"": 5, ""L_nm"": 79, ""H_nm"": 44, ""effective_central_L_thickness_nm"": 395}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H44 L79 H44 L79 H44 L79 H44 L79 H44 L79 L79 L79 L79 L79 L79 H44 L79 H44 L79 H44 L79 H44 L79 H44 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,14.231783117725742,1,0.0,450.0,1dfb7697f86bb163,GaN -> reverse(stack) -> Air,ZL-1,20,25,1625
0.0,0.00042382879586589826,0.0019382450337285784,0.12234814181667639,0.00020488807030606421,1.769428696873133e-05,8.806236323759912e-06,1.968489547125512e-05,0.00023655012995948892,0.07105449541532319,0.0013270047945394732,0.0003777851820025923,0.00017912483168670335,1.6949222826848258e-05,3.840308766700818e-05,0.12234814181667639,0.021099021742416606,0.00017912483168670335,ZL1_N6_M5_L79_H44,H44 L79 H44 L79 H44 L79 H44 L79 H44 L79 H44 L474 H44 L79 H44 L79 H44 L79 H44 L79 H44 L79 H44 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_364b4ce31fce4924,1.0000000000000007,forbidden,False,"{""N"": 6, ""M_added"": 5, ""L_nm"": 79, ""H_nm"": 44, ""effective_central_L_thickness_nm"": 395}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H44 L79 H44 L79 H44 L79 H44 L79 H44 L79 H44 L79 L79 L79 L79 L79 L79 H44 L79 H44 L79 H44 L79 H44 L79 H44 L79 H44 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,2.8415667648883636,1,0.0,450.0,364b4ce31fce4924,GaN -> reverse(stack) -> Air,ZL-1,24,29,1871
0.0,0.004583730091104536,0.01341161605529041,0.14269259675611728,0.005990449991131773,0.00033566942221757267,0.00011314592101583818,0.0001274142341134071,0.0004429792684379217,0.004809231777705549,0.07086993205147775,0.010747776820335442,0.004153183454955401,0.0002862739244894108,0.00024115117656198313,0.7344288080076744,0.04107647253821348,0.004153183454955401,ZL1_N5_M3_L78_H46,H46 L78 H46 L78 H46 L78 H46 L78 H46 L312 H46 L78 H46 L78 H46 L78 H46 L78 H46 L78,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_9ebbb8ae0149c967,1.0000000000000009,forbidden,False,"{""N"": 5, ""M_added"": 3, ""L_nm"": 78, ""H_nm"": 46, ""effective_central_L_thickness_nm"": 234}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H46 L78 H46 L78 H46 L78 H46 L78 H46 L78 L78 L78 L78 H46 L78 H46 L78 H46 L78 H46 L78 H46 L78,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,118.09290274055407,1,0.5,450.5,9ebbb8ae0149c967,GaN -> reverse(stack) -> Air,ZL-1,20,23,1474
0.0,0.0004587378533983967,0.0013468910898811516,0.01586561767548241,0.0006082443408007842,3.4909572858266676e-05,1.3507631427314609e-05,1.987514414847049e-05,0.00010551656942680215,0.002308312629947736,0.007780468416503472,0.0010994933121570754,0.000421449898702897,3.4267655078403607e-05,3.8641568897397904e-05,0.24737114219385942,0.004495443041020901,0.000421449898702897,ZL1_N6_M3_L78_H46,H46 L78 H46 L78 H46 L78 H46 L78 H46 L78 H46 L312 H46 L78 H46 L78 H46 L78 H46 L78 H46 L78 H46 L78,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_0146832ac6752f84,1.0000000000000007,forbidden,False,"{""N"": 6, ""M_added"": 3, ""L_nm"": 78, ""H_nm"": 46, ""effective_central_L_thickness_nm"": 234}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H46 L78 H46 L78 H46 L78 H46 L78 H46 L78 H46 L78 L78 L78 L78 H46 L78 H46 L78 H46 L78 H46 L78 H46 L78 H46 L78,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,39.50068039506158,1,0.5,450.5,0146832ac6752f84,GaN -> reverse(stack) -> Air,ZL-1,24,27,1722
0.0,0.008892607427283108,0.052948683487081954,0.20109099783495038,0.0032460262901610358,0.0002952432244225456,0.00011712393456598928,0.00015526383472299493,0.0006748043713675409,0.010468649706437481,0.015081286885267844,0.005071504646041677,0.0025487741101063097,0.00024010938716708711,0.0002940086441756523,0.4493155761212714,0.04760564239845521,0.0025487741101063097,ZL1_N5_M3_L79_H44,H44 L79 H44 L79 H44 L79 H44 L79 H44 L316 H44 L79 H44 L79 H44 L79 H44 L79 H44 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_255604994dcb6d08,1.0000000000000016,forbidden,False,"{""N"": 5, ""M_added"": 3, ""L_nm"": 79, ""H_nm"": 44, ""effective_central_L_thickness_nm"": 237}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H44 L79 H44 L79 H44 L79 H44 L79 H44 L79 L79 L79 L79 H44 L79 H44 L79 H44 L79 H44 L79 H44 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,27.982069343190446,1,-0.5,449.5,255604994dcb6d08,GaN -> reverse(stack) -> Air,ZL-1,20,23,1467
0.0,0.003081635494170417,0.05431991831712866,0.010858929484917713,0.0006472267969292852,7.247251236686471e-05,3.0286491254511406e-05,3.996939712330102e-05,0.00015627109339387668,0.001757217374308264,0.0018709847775653181,0.0007548782434973209,0.00040883330399731625,7.094195058786519e-05,7.74155552614614e-05,0.12039980942234366,0.011882529936879457,0.00040883330399731625,ZL1_N6_M1_L76_H47,H47 L76 H47 L76 H47 L76 H47 L76 H47 L76 H47 L152 H47 L76 H47 L76 H47 L76 H47 L76 H47 L76 H47 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_86b4d40268e03d1e,1.0000000000000007,forbidden,False,"{""N"": 6, ""M_added"": 1, ""L_nm"": 76, ""H_nm"": 47, ""effective_central_L_thickness_nm"": 76}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H47 L76 H47 L76 H47 L76 H47 L76 H47 L76 H47 L76 L76 H47 L76 H47 L76 H47 L76 H47 L76 H47 L76 H47 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,10.021067363914986,1,-0.5,449.5,86b4d40268e03d1e,GaN -> reverse(stack) -> Air,ZL-1,24,25,1552
0.0,0.0008881455235278609,0.005537937260115883,0.024282658348161606,0.0003252564344623909,3.100124817854241e-05,1.4522894985629735e-05,2.6324183881625134e-05,0.00018892922240117683,0.007233346884472508,0.001524075320241218,0.0005102613110897253,0.000257057496128385,2.9300221964747144e-05,5.122631768503463e-05,0.07637281629111034,0.0055000225432107796,0.000257057496128385,ZL1_N6_M3_L79_H44,H44 L79 H44 L79 H44 L79 H44 L79 H44 L79 H44 L316 H44 L79 H44 L79 H44 L79 H44 L79 H44 L79 H44 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_c94b4d790a173cbc,1.0000000000000004,forbidden,False,"{""N"": 6, ""M_added"": 3, ""L_nm"": 79, ""H_nm"": 44, ""effective_central_L_thickness_nm"": 237}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H44 L79 H44 L79 H44 L79 H44 L79 H44 L79 H44 L79 L79 L79 L79 H44 L79 H44 L79 H44 L79 H44 L79 H44 L79 H44 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,5.43073882420546,1,-0.5,449.5,c94b4d790a173cbc,GaN -> reverse(stack) -> Air,ZL-1,24,27,1713
0.0,0.002425939808470843,0.006693325342851395,0.05144736493425291,0.003691404548326962,0.00021116908948447184,8.99147925450785e-05,0.00016528752832015902,0.0015269920596825293,0.24446565852857094,0.08124069316581754,0.008586014211666465,0.003120642459346086,0.0001675120113579519,0.00031501749442662855,0.8368423661577699,0.02558566332040087,0.002425939808470843,ZL1_N5_M5_L80_H42,H42 L80 H42 L80 H42 L80 H42 L80 H42 L480 H42 L80 H42 L80 H42 L80 H42 L80 H42 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_07ceb3a871b35fac,1.0000000000000009,forbidden,False,"{""N"": 5, ""M_added"": 5, ""L_nm"": 80, ""H_nm"": 42, ""effective_central_L_thickness_nm"": 400}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H42 L80 H42 L80 H42 L80 H42 L80 H42 L80 L80 L80 L80 L80 L80 H42 L80 H42 L80 H42 L80 H42 L80 H42 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,3.684013249501902,1,0.5,450.5,07ceb3a871b35fac,GaN -> reverse(stack) -> Air,ZL-1,20,25,1620
0.0,0.0002449051275314044,0.0006857165503250174,0.0056595372751062495,0.0003748584972740307,2.2957637371610853e-05,1.1919037602774925e-05,3.1641783645666964e-05,0.0005465462018418779,0.4665014226483029,0.008536746834896341,0.0008746510149843634,0.00032044120525186014,2.130116141773077e-05,6.18249710227668e-05,0.44319536547517663,0.002720333001349206,0.0002449051275314044,ZL1_N6_M5_L80_H42,H42 L80 H42 L80 H42 L80 H42 L80 H42 L80 H42 L480 H42 L80 H42 L80 H42 L80 H42 L80 H42 L80 H42 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_b15972f8fa9a2692,1.0000000000000007,forbidden,False,"{""N"": 6, ""M_added"": 5, ""L_nm"": 80, ""H_nm"": 42, ""effective_central_L_thickness_nm"": 400}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H42 L80 H42 L80 H42 L80 H42 L80 H42 L80 H42 L80 L80 L80 L80 L80 L80 H42 L80 H42 L80 H42 L80 H42 L80 H42 L80 H42 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,0.3213210802454604,1,0.5,450.5,b15972f8fa9a2692,GaN -> reverse(stack) -> Air,ZL-1,24,29,1864
