FWHM_nm,T448,T449,T450,T450_10deg,T450_20deg,T450_30deg,T450_40deg,T450_50deg,T450_60deg,T451,T452,T453,TE_TM_split_20deg,TE_TM_split_40deg,Tpeak,blue_448_453_mean,blue_448_453_min,candidate_id,compiled_layer_sequence,complex_index_reconstruction,defect_material_id,duplicate_group_id,energy_max,extrapolation_policy,failed_conditions,family_rank,gate_pass,geometry,high_index_material_id,interpolation_axis,interpolation_method,interpolation_source_quantity,logical_layer_sequence,low_index_material_id,material_model,material_policy_id,normal_to_40_60_ratio,objective,peak_count,peak_error_nm,peak_wavelength_nm,physical_sequence_hash,propagation_direction,topology_id,total_layer_count_compiled,total_layer_count_logical,total_thickness_nm
7.0,0.6681482818262252,0.790466363690852,0.8290683495427855,0.5940258593944131,0.12947103691905973,0.035997455005367114,0.018072529948405545,0.01580813996400709,0.022434947474972496,0.759825491327226,0.6296594571907187,0.4955685419627265,0.05231123367137329,0.02428512114810188,0.8290683495427855,0.6954560809234223,0.4955685419627265,EX_N3_L79_H46_C153,L79 H46 L79 H46 L79 H46 L153 H46 L79 H46 L79 H46 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_2561dbf0df7e52e0,1.000000000000001,forbidden,,1,true,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 46, ""C_nm"": 153}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H46 L79 H46 L79 H46 L153 H46 L79 H46 L79 H46 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,41.203954925369274,FAB,1,0.0,450.0,2561dbf0df7e52e0,GaN -> reverse(stack) -> Air,Explicit,13.0,13,903
7.0,0.6420127569369722,0.7715985920911423,0.8292014086183932,0.6240047082537556,0.13698356437204628,0.03751924210851989,0.01867895457679053,0.016244767955637267,0.022881900270173956,0.778763298274809,0.6560948937906739,0.5203195478939807,0.055380504019982096,0.02519429704824575,0.8292014086183932,0.6996650829343286,0.5203195478939807,EX_N3_L77_H47_C152,L77 H47 L77 H47 L77 H47 L152 H47 L77 H47 L77 H47 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_f40cf8fe9825d714,1.000000000000001,forbidden,,2,true,"{""N"": 3, ""L_nm"": 77, ""H_nm"": 47, ""C_nm"": 152}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H47 L77 H47 L77 H47 L152 H47 L77 H47 L77 H47 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,40.891289177035624,FAB,1,0.0,450.0,f40cf8fe9825d714,GaN -> reverse(stack) -> Air,Explicit,13.0,13,896
7.0,0.6575094561848384,0.7841390956211369,0.8299740160751793,0.5991842709643977,0.1288207147671131,0.035754510359410074,0.01810208765020796,0.016113795011784057,0.023530803161787406,0.766329284183829,0.6377247081192798,0.5027569234724436,0.04942655903180651,0.024106811600170933,0.8299740160751793,0.6964055806094512,0.5027569234724436,EX_N3_L80_H45_C155,L80 H45 L80 H45 L80 H45 L155 H45 L80 H45 L80 H45 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_6de29261bf740127,1.000000000000002,forbidden,,3,true,"{""N"": 3, ""L_nm"": 80, ""H_nm"": 45, ""C_nm"": 155}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L80 H45 L80 H45 L80 H45 L155 H45 L80 H45 L80 H45 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,40.42517468593452,FAB,1,0.0,450.0,6de29261bf740127,GaN -> reverse(stack) -> Air,Explicit,13.0,13,905
7.0,0.631168198505968,0.7645681456378467,0.8287975569571404,0.6275271674290948,0.1354752072055708,0.03703592567716466,0.018601964884926554,0.016471943205383435,0.02387955120874576,0.7836963720187764,0.6625662284481109,0.5259722212816719,0.052066060411215545,0.024881097087869584,0.8287975569571404,0.6994614538082523,0.5259722212816719,EX_N3_L78_H46_C154,L78 H46 L78 H46 L78 H46 L154 H46 L78 H46 L78 H46 L78,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_ea6c1506ce217d42,1.0000000000000009,forbidden,,4,true,"{""N"": 3, ""L_nm"": 78, ""H_nm"": 46, ""C_nm"": 154}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L78 H46 L78 H46 L78 H46 L154 H46 L78 H46 L78 H46 L78,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,40.25394440331083,FAB,1,0.0,450.0,ea6c1506ce217d42,GaN -> reverse(stack) -> Air,Explicit,13.0,13,898
7.0,0.6467280590305059,0.7770570541846267,0.8304419889424315,0.6064831686635984,0.1291258858247984,0.03578458305738683,0.0182656194843129,0.01654442094814328,0.024868163811837582,0.7736338599555392,0.6476250695523372,0.5121222654712748,0.046808729091648335,0.02409046655613891,0.8304419889424315,0.6979347161894526,0.5121222654712748,EX_N3_L81_H44_C157,L81 H44 L81 H44 L81 H44 L157 H44 L81 H44 L81 H44 L81,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_22f66e303832dfd2,1.0000000000000013,forbidden,,5,true,"{""N"": 3, ""L_nm"": 81, ""H_nm"": 44, ""C_nm"": 157}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L81 H44 L81 H44 L81 H44 L157 H44 L81 H44 L81 H44 L81,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,39.39231920784461,FAB,1,0.0,450.0,22f66e303832dfd2,GaN -> reverse(stack) -> Air,Explicit,13.0,13,907
7.5,0.6198603709487449,0.7565278321831518,0.8278414914430887,0.6334988806105813,0.13504240658437083,0.036846764040842674,0.01866401280344909,0.016823841483883786,0.025109717925129598,0.7895377745647765,0.6711649923531109,0.5341455660841076,0.04907783866984186,0.024739707840487235,0.8278414914430887,0.6998463379294967,0.5341455660841076,EX_N3_L79_H45_C156,L79 H45 L79 H45 L79 H45 L156 H45 L79 H45 L79 H45 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_1c082b664c72940c,1.0000000000000013,forbidden,,6,true,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 45, ""C_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H45 L79 H45 L79 H45 L156 H45 L79 H45 L79 H45 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,39.359849393385474,FAB,1,0.0,450.0,1c082b664c72940c,GaN -> reverse(stack) -> Air,Explicit,13.0,13,900
7.0,0.6088972500805027,0.7480538964578214,0.8262594111756727,0.6411960212601073,0.13556252712987096,0.03693288052041657,0.01886307234979649,0.01730730520759136,0.02660471576279877,0.795637668185839,0.6811147080417832,0.5442027116639196,0.04632434176665369,0.024762318201328508,0.8262594111756727,0.7006942742675898,0.5442027116639196,EX_N3_L80_H44_C158,L80 H44 L80 H44 L80 H44 L158 H44 L80 H44 L80 H44 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_cf255da18a71bf1d,1.0000000000000016,forbidden,,7,true,"{""N"": 3, ""L_nm"": 80, ""H_nm"": 44, ""C_nm"": 158}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L80 H44 L80 H44 L80 H44 L158 H44 L80 H44 L80 H44 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,38.20753442790943,FAB,1,0.0,450.0,cf255da18a71bf1d,GaN -> reverse(stack) -> Air,Explicit,13.0,13,902
7.0,0.6366250908243729,0.7697688605438504,0.830334728665041,0.6151875599524935,0.13028440773362943,0.036074493994826345,0.01856350057529193,0.017108775114165302,0.026483007583662073,0.7810431302004686,0.6585710991200342,0.5230329539700752,0.04437796859312415,0.02423105316415963,0.830334728665041,0.6998959772206405,0.5230329539700752,EX_N3_L82_H43_C159,L82 H43 L82 H43 L82 H43 L159 H43 L82 H43 L82 H43 L82,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_94286241571dfeff,1.0000000000000009,forbidden,,8,true,"{""N"": 3, ""L_nm"": 82, ""H_nm"": 43, ""C_nm"": 159}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L82 H43 L82 H43 L82 H43 L159 H43 L82 H43 L82 H43 L82,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,38.103585084876,FAB,1,0.0,450.0,94286241571dfeff,GaN -> reverse(stack) -> Air,Explicit,13.0,13,909
7.0,0.6704513581259978,0.7940004714955216,0.8287447747583043,0.5836610631679455,0.1280287681969607,0.037117140805441165,0.020014703487517792,0.01965122011062251,0.03291430596586364,0.7544845608077273,0.6229168176922764,0.49049077016563003,0.038338056829126596,0.02607438867136941,0.8287447747583043,0.6935147921742429,0.49049077016563003,EX_N3_L77_H44_C160,L77 H44 L77 H44 L77 H44 L160 H44 L77 H44 L77 H44 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_2f9f5b484dfb9222,1.0000000000000016,forbidden,,9,true,"{""N"": 3, ""L_nm"": 77, ""H_nm"": 44, ""C_nm"": 160}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H44 L77 H44 L77 H44 L160 H44 L77 H44 L77 H44 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,32.033465775497916,FAB,1,0.0,450.0,2f9f5b484dfb9222,GaN -> reverse(stack) -> Air,Explicit,13.0,13,886
7.0,0.636960170909398,0.7724698002861459,0.833576228358356,0.6207547172274123,0.13524669396160008,0.038622391875356266,0.02087092529182079,0.020789022492953283,0.035639808022508906,0.7829809155024376,0.6594130549756667,0.5237485572286923,0.03763725905630577,0.027080430899039852,0.833576228358356,0.7015247878767826,0.5237485572286923,EX_N3_L76_H44_C161,L76 H44 L76 H44 L76 H44 L161 H44 L76 H44 L76 H44 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_2d51157343dcc1ff,1.0000000000000009,forbidden,,10,true,"{""N"": 3, ""L_nm"": 76, ""H_nm"": 44, ""C_nm"": 161}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L76 H44 L76 H44 L76 H44 L161 H44 L76 H44 L76 H44 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,30.968050257767565,FAB,1,0.0,450.0,2d51157343dcc1ff,GaN -> reverse(stack) -> Air,Explicit,13.0,13,881
