case_id,wavelength_nm,order_n,u_x,angle_deg,transmitted_fraction,absolute_efficiency
NP_K6_M2_BATCH1_G04_P,445,-3,-0.767241379310345,-50.10680930186621,0.005539689012349805,0.004547985473950951
NP_K6_M2_BATCH1_G04_P,445,-2,-0.5114942528735632,-30.76341252641582,0.020337969568450482,0.016697108801732957
NP_K6_M2_BATCH1_G04_P,445,-1,-0.2557471264367816,-14.817860402183731,0.0017495437055596009,0.0014363440512976118
NP_K6_M2_BATCH1_G04_P,445,0,0.0,0.0,0.9104052597440807,0.7474264146406144
NP_K6_M2_BATCH1_G04_P,445,1,0.2557471264367816,14.817860402183731,0.005684779773928438,0.004667102390910194
NP_K6_M2_BATCH1_G04_P,445,2,0.5114942528735632,30.76341252641582,0.05470041976933451,0.044908065051187336
NP_K6_M2_BATCH1_G04_P,445,3,0.767241379310345,50.10680930186621,0.0015823384262965122,0.0012990715113479592
NP_K6_M2_BATCH1_G04_P,446,-3,-0.7689655172413793,-50.26108387570818,0.005802136766632652,0.004696060264991472
NP_K6_M2_BATCH1_G04_P,446,-2,-0.5126436781609195,-30.840084814858216,0.021818048609102275,0.01765881695896683
NP_K6_M2_BATCH1_G04_P,446,-1,-0.25632183908045975,-14.85192444636312,0.0033658839165456454,0.0027242366653548104
NP_K6_M2_BATCH1_G04_P,446,0,0.0,0.0,0.9040879947572273,0.7317393365581168
NP_K6_M2_BATCH1_G04_P,446,1,0.25632183908045975,14.85192444636312,0.008563857739014673,0.006931307147826272
NP_K6_M2_BATCH1_G04_P,446,2,0.5126436781609195,30.840084814858216,0.05587993776137718,0.045227399126562866
NP_K6_M2_BATCH1_G04_P,446,3,0.7689655172413793,50.26108387570818,0.00048214045010030944,0.00039022875553055994
NP_K6_M2_BATCH1_G04_P,447,-3,-0.7706896551724137,-50.415859737580426,0.007744238892242306,0.0061607871207024845
NP_K6_M2_BATCH1_G04_P,447,-2,-0.5137931034482758,-30.916818412522304,0.023204408750879858,0.018459841511235205
NP_K6_M2_BATCH1_G04_P,447,-1,-0.2568965517241379,-14.885993861861795,0.006055926200990811,0.00481768094478116
NP_K6_M2_BATCH1_G04_P,447,0,0.0,0.0,0.8841608573145756,0.7033779430318834
NP_K6_M2_BATCH1_G04_P,447,1,0.2568965517241379,14.885993861861795,0.01948601474937131,0.015501741407022348
NP_K6_M2_BATCH1_G04_P,447,2,0.5137931034482758,30.916818412522304,0.05769228679489385,0.04589603993310479
NP_K6_M2_BATCH1_G04_P,447,3,0.7706896551724137,50.415859737580426,0.0016562672970462712,0.0013176130506904976
NP_K6_M2_BATCH1_G04_P,448,-3,-0.7724137931034484,-50.57114294660536,0.011843800102069745,0.00928346397857309
NP_K6_M2_BATCH1_G04_P,448,-2,-0.5149425287356322,-30.993613604678192,0.02412557420887898,0.01891022283391803
NP_K6_M2_BATCH1_G04_P,448,-1,-0.2574712643678161,-14.92006866327333,0.009824234297892361,0.00770047826166941
NP_K6_M2_BATCH1_G04_P,448,0,0.0,0.0,0.8413565406593971,0.6594761031962563
NP_K6_M2_BATCH1_G04_P,448,1,0.2574712643678161,14.92006866327333,0.044744704459426986,0.03507200801273225
