wavelength_nm,linear_input,fdtd_status,fresh_run,result_fsp,runtime_s
447.0,x,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_447NM_XIN.fsp,43.95
447.0,y,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_447NM_YIN.fsp,43.908
447.5,x,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_447p5NM_XIN.fsp,47.911
447.5,y,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_447p5NM_YIN.fsp,45.772
448.0,x,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_448NM_XIN.fsp,41.831
448.0,y,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_448NM_YIN.fsp,43.777
448.5,x,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_448p5NM_XIN.fsp,43.817
448.5,y,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_448p5NM_YIN.fsp,43.88
449.0,x,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_449NM_XIN.fsp,43.825
449.0,y,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_449NM_YIN.fsp,43.802
