case_id,angle_deg,normalized_intensity
BARE_GAN_AIR_450_XDIPOLE,-90.0,0.00022871871937646577
BARE_GAN_AIR_450_XDIPOLE,-87.43680027996103,0.0003285174180942102
BARE_GAN_AIR_450_XDIPOLE,-86.37478578672382,0.0003820314839371274
BARE_GAN_AIR_450_XDIPOLE,-85.55966694730681,0.00042898720084508755
BARE_GAN_AIR_450_XDIPOLE,-84.87231698093376,0.0004730131533529004
BARE_GAN_AIR_450_XDIPOLE,-84.26659730796267,0.0005154756019425666
BARE_GAN_AIR_450_XDIPOLE,-83.71884730024726,0.0005570547897952676
BARE_GAN_AIR_450_XDIPOLE,-83.21501265029949,0.0005981419139338785
BARE_GAN_AIR_450_XDIPOLE,-82.74593696669078,0.0006389827540488502
BARE_GAN_AIR_450_XDIPOLE,-82.30526072729027,0.0006797410911377836
BARE_GAN_AIR_450_XDIPOLE,-81.8883539858024,0.0007205305929690563
BARE_GAN_AIR_450_XDIPOLE,-81.49172179461122,0.0007614323991606839
BARE_GAN_AIR_450_XDIPOLE,-81.11264914981503,0.0008025055194238354
BARE_GAN_AIR_450_XDIPOLE,-80.74897712783695,0.0008437933271605455
BARE_GAN_AIR_450_XDIPOLE,-80.3989554243684,0.0008853277972387894
BARE_GAN_AIR_450_XDIPOLE,-80.06114165487263,0.000927132373972221
BARE_GAN_AIR_450_XDIPOLE,-79.73433047718748,0.0009692239722739798
BARE_GAN_AIR_450_XDIPOLE,-79.41750240380581,0.0010116144108258643
BARE_GAN_AIR_450_XDIPOLE,-79.10978600479763,0.0010543114618007544
BARE_GAN_AIR_450_XDIPOLE,-78.81042945378644,0.0010973196349232473
BARE_GAN_AIR_450_XDIPOLE,-78.51877874041672,0.0011406407732352983
BARE_GAN_AIR_450_XDIPOLE,-78.23426073431969,0.001184274512679437
BARE_GAN_AIR_450_XDIPOLE,-77.95636984216821,0.0012282186413918419
BARE_GAN_AIR_450_XDIPOLE,-77.68465736788471,0.001272469383922048
BARE_GAN_AIR_450_XDIPOLE,-77.4187229353893,0.0013170216284153235
BARE_GAN_AIR_450_XDIPOLE,-77.15820750531545,0.00136186910986924
BARE_GAN_AIR_450_XDIPOLE,-76.90278763795689,0.0014070045591385448
BARE_GAN_AIR_450_XDIPOLE,-76.65217074095708,0.001452419824924867
BARE_GAN_AIR_450_XDIPOLE,-76.40609110272075,0.0014981059742342352
BARE_GAN_AIR_450_XDIPOLE,-76.16430655838356,0.0015440533755071697
BARE_GAN_AIR_450_XDIPOLE,-75.92659566925781,0.0015902517676830775
BARE_GAN_AIR_450_XDIPOLE,-75.6927553222919,0.0016366903177573965
BARE_GAN_AIR_450_XDIPOLE,-75.4625986755434,0.0016833576688601473
BARE_GAN_AIR_450_XDIPOLE,-75.23595339059713,0.0017302419804813404
BARE_GAN_AIR_450_XDIPOLE,-75.01266010441917,0.001777330962159758
BARE_GAN_AIR_450_XDIPOLE,-74.79257110216237,0.001824611901712378
BARE_GAN_AIR_450_XDIPOLE,-74.57554915954202,0.001872071688895456
BARE_GAN_AIR_450_XDIPOLE,-74.36146652903308,0.001919696835241825
BARE_GAN_AIR_450_XDIPOLE,-74.15020404863631,0.0019674734907033924
BARE_GAN_AIR_450_XDIPOLE,-73.94165035557546,0.002015387457635436
BARE_GAN_AIR_450_XDIPOLE,-73.73570119021146,0.002063424202585372
BARE_GAN_AIR_450_XDIPOLE,-73.53225877783653,0.002111568866288812
BARE_GAN_AIR_450_XDIPOLE,-73.33123127795712,0.0021598062722266863
BARE_GAN_AIR_450_XDIPOLE,-73.13253229227459,0.002208120934057167
BARE_GAN_AIR_450_XDIPOLE,-72.93608042389383,0.002256497062202488
BARE_GAN_AIR_450_XDIPOLE,-72.74179888138863,0.0023049185698425967
BARE_GAN_AIR_450_XDIPOLE,-72.54961512226853,0.0023533690785435346
BARE_GAN_AIR_450_XDIPOLE,-72.35946053115805,0.0024018319237275793
BARE_GAN_AIR_450_XDIPOLE,-72.17127012864601,0.00245029016017406
BARE_GAN_AIR_450_XDIPOLE,-71.98498230730613,0.002498726567723291
BARE_GAN_AIR_450_XDIPOLE,-71.80053859185354,0.0025471236573414045
BARE_GAN_AIR_450_XDIPOLE,-71.61788342079336,0.002595463677690352
BARE_GAN_AIR_450_XDIPOLE,-71.43696394725387,0.002643728622334386
BARE_GAN_AIR_450_XDIPOLE,-71.25772985698381,0.002691900237702573
BARE_GAN_AIR_450_XDIPOLE,-71.08013320173984,0.0027399600319151854
BARE_GAN_AIR_450_XDIPOLE,-70.90412824650303,0.002787889284570642
BARE_GAN_AIR_450_XDIPOLE,-70.72967132914732,0.0028356690575787632
BARE_GAN_AIR_450_XDIPOLE,-70.55672073134139,0.002883280207115388
BARE_GAN_AIR_450_XDIPOLE,-70.38523655960435,0.0029307033967626807
BARE_GAN_AIR_450_XDIPOLE,-70.2151806355562,0.0029779191118890084
BARE_GAN_AIR_450_XDIPOLE,-70.04651639450873,0.0030249076753118315
BARE_GAN_AIR_450_XDIPOLE,-69.87920879163549,0.00307164926427652
BARE_GAN_AIR_450_XDIPOLE,-69.71322421503963,0.00311812392877383
BARE_GAN_AIR_450_XDIPOLE,-69.54853040510999,0.0031643116112085026
BARE_GAN_AIR_450_XDIPOLE,-69.38509637961835,0.003210192167421178
BARE_GAN_AIR_450_XDIPOLE,-69.22289236406617,0.003255745389055912
BARE_GAN_AIR_450_XDIPOLE,-69.06188972683798,0.003300951027255739
BARE_GAN_AIR_450_XDIPOLE,-68.9020609187623,0.003345788817658809
BARE_GAN_AIR_450_XDIPOLE,-68.74337941671943,0.003390238506658419
BARE_GAN_AIR_450_XDIPOLE,-68.5858196709698,0.003434279878880802
BARE_GAN_AIR_450_XDIPOLE,-68.42935705590723,0.00347789278582579
BARE_GAN_AIR_450_XDIPOLE,-68.27396782396886,0.003521057175606687
BARE_GAN_AIR_450_XDIPOLE,-68.11962906245793,0.003563753123717584
BARE_GAN_AIR_450_XDIPOLE,-67.96631865305763,0.0036059608647485237
BARE_GAN_AIR_450_XDIPOLE,-67.81401523383362,0.003647660824961347
BARE_GAN_AIR_450_XDIPOLE,-67.66269816354125,0.003688833655632449
BARE_GAN_AIR_450_XDIPOLE,-67.51234748806846,0.003729460267062071
BARE_GAN_AIR_450_XDIPOLE,-67.36294390886037,0.0037695218631439323
BARE_GAN_AIR_450_XDIPOLE,-67.21446875318476,0.0038089999763838574
BARE_GAN_AIR_450_XDIPOLE,-67.0669039461084,0.003847876503251278
BARE_GAN_AIR_450_XDIPOLE,-66.9202319840658,0.0038861337397435324
BARE_GAN_AIR_450_XDIPOLE,-66.77443590991126,0.003923754417039329
BARE_GAN_AIR_450_XDIPOLE,-66.62949928935346,0.003960721737115407
BARE_GAN_AIR_450_XDIPOLE,-66.48540618868023,0.003997019408197761
BARE_GAN_AIR_450_XDIPOLE,-66.34214115368837,0.004032631679918064
BARE_GAN_AIR_450_XDIPOLE,-66.19968918973963,0.004067543378044858
BARE_GAN_AIR_450_XDIPOLE,-66.05803574287008,0.004101739938659143
BARE_GAN_AIR_450_XDIPOLE,-65.91716668188606,0.004135207441644864
BARE_GAN_AIR_450_XDIPOLE,-65.77706828138395,0.004167932643366068
BARE_GAN_AIR_450_XDIPOLE,-65.63772720563651,0.004199903008404555
BARE_GAN_AIR_450_XDIPOLE,-65.49913049329245,0.004231106740234621
BARE_GAN_AIR_450_XDIPOLE,-65.36126554283916,0.004261532810714919
BARE_GAN_AIR_450_XDIPOLE,-65.22412009878312,0.004291170988281319
BARE_GAN_AIR_450_XDIPOLE,-65.08768223850481,0.004320011864729371
BARE_GAN_AIR_450_XDIPOLE,-64.9519403597486,0.0043480468804800235
BARE_GAN_AIR_450_XDIPOLE,-64.81688316871022,0.0043752683482280825
BARE_GAN_AIR_450_XDIPOLE,-64.68249966868757,0.004401669474878935
BARE_GAN_AIR_450_XDIPOLE,-64.54877914926251,0.00442724438168592
