case_id,raw_upward_monitor_power,absolute_extraction_status,monitor_fields,sampled_tio2_count,sampled_sio2_count,layer_count,total_thickness_nm,peak_angle_deg,angular_fwhm_deg,eta10,eta20,leakage20_40,leakage40_60,normal_to_40_60_ratio
BARE_GAN_AIR_450_XDIPOLE,0.22409532134303092,pending,lambda;f;T;Lumerical_dataset,0,0,0,0,4.217153126300966,128.04064424876947,0.17192451010866155,0.33927167718662854,0.6310724629398361,0.7504190683639258,1.4913978348106744
EX_N3_L79_H45_C156_450_XDIPOLE,0.06402855404792016,pending,lambda;f;T;Lumerical_dataset,101,101,13,900,-0.028662222062431738,26.784439586577335,0.5696100886667886,0.828995633161451,0.303176476695724,0.0882754109786645,39.488771635465405
