wavelength_nm,n1_T,n2_T,delta_T,n1_R,n2_R,delta_R,n1_eta_plus1,n2_eta_plus1,delta_eta_plus1,n1_eta_0,n2_eta_0,delta_eta_0,n1_eta_minus1,n2_eta_minus1,delta_eta_minus1,n1_directionality,n2_directionality,delta_directionality,n1_residual,n2_residual
445,0.7764262482360513,0.7711060203438089,-0.005320227892242402,0.2175192430790344,0.22551899280687432,0.007999749727839928,0.6855683983084135,0.6730290419079564,-0.012539356400457113,0.052171422724414156,0.05471794094590285,0.002546518221488693,0.00043945372066157753,0.0004743938480255028,3.494012736392525e-05,0.9987188084819678,0.9992956326236213,0.000576824141653498,0.006054508684914278,0.0033749868493167523
446,0.7781393096847421,0.7686486961088492,-0.00949061357589287,0.22415117368054416,0.23329847950898236,0.009147305828438201,0.6810589234911786,0.6637057075593017,-0.017353215931876886,0.05325513471018875,0.05569346654025978,0.0024383318300710277,0.0005563920374156028,0.0006686351642131356,0.0001122431267975328,0.9983674309401802,0.9989935867157781,0.0006261557755978808,-0.0022904833652862555,-0.0019471756178315869
447,0.7687268099722041,0.7640857553525796,-0.004641054619624496,0.2217853668983208,0.23338254857662916,0.011597181678308366,0.6733701921182706,0.6687399367770693,-0.004630255341201317,0.04998538283919034,0.047185257299809054,-0.0028001255393812832,0.000684962632609076,0.0006427525489363727,-4.2210083672703305e-05,0.9979676362452499,0.9990397831327493,0.0010721468874994589,0.009487823129475104,0.002531696070791234
448,0.7790656993992268,0.5320700792053954,-0.24699562019383137,0.2381051144214313,0.3866632961304095,0.1485581817089782,0.6845426974172252,0.47112650058245953,-0.21341619683476565,0.0431665533871221,0.023553904877423516,-0.019612648509698585,0.0005371609521070114,0.0014723085086091562,0.0009351475565021448,0.9984318296749066,0.996884654636687,-0.0015471750382196614,-0.017170813820658076,0.0812666246641951
449,0.747012992285637,0.6326573344224153,-0.11435565786322166,0.3037701700332879,0.3615512796195751,0.05778110958628724,0.6085453573441088,0.48056199545696504,-0.1279833618871437,0.06747189416047103,0.04329828201208959,-0.024173612148381443,0.004994594044721895,0.0009816373111542894,-0.004012956733567606,0.9837187650668356,0.997961477954736,0.014242712887900355,-0.05078316231892488,0.005791385958009543
450,0.7354313228587809,0.7484681185851593,0.013036795726378392,0.266224210740428,0.25768524050557384,-0.00853897023485417,0.6204810884290136,0.6314101273720275,0.010929038943013891,0.051163005989474986,0.05281083597706896,0.0016478299875939753,0.0026318677888973736,0.00309099671157125,0.0004591289226738766,0.9915525178456506,0.9951284614096855,0.0035759435640349,-0.0016555335992088915,-0.006153359090733113
451,0.7386240283276952,0.7394919535984618,0.0008679252707665119,0.2567621538562581,0.25423413153507723,-0.0025280223211808783,0.6254823927117923,0.6256757156186853,0.0001933229068930009,0.04852626632910779,0.04848944888086615,-3.681744824163974e-05,0.002921778331887485,0.003581071236459551,0.0006592929045720662,0.9907009581841736,0.9943090463046783,0.0036080881205047266,0.004613817816046639,0.006273914866461006
452,0.7574901318778142,0.7568237458610013,-0.0006663860168129032,0.24418248702559495,0.24777060732205222,0.0035881202964572756,0.6503066812800768,0.6455340122493332,-0.0047726690307436925,0.045586092847400186,0.0460338302203836,0.00044773737298341165,0.003974220064401896,0.004658825904649719,0.0006846058402478232,0.9878516396971538,0.9928347012897327,0.004983061592578886,-0.0016726189034091676,-0.00459435318305354
453,0.7524377903197703,0.7521603053477425,-0.0002774849720278416,0.24221899035068922,0.2429331319764722,0.0007141416257829825,0.6468568443029437,0.6447139753302689,-0.002142868972674794,0.04229358081282003,0.042182984501779035,-0.00011059631104099604,0.0047932715778788125,0.0054651036211315965,0.000671832043252784,0.9852888184592745,0.9915944640514338,0.0063056455921592924,0.005343219329540461,0.00490656267578532
454,0.7653150441663599,0.7639249810143901,-0.001390063151969767,0.2368790677348408,0.2389873803643462,0.0021083126295053933,0.6616594309308594,0.6569120338295694,-0.0047473971012900185,0.03983740285824319,0.04041580374703781,0.000578400888794614,0.0058041108521868735,0.006598447418704275,0.0007943365665174012,0.9826084557766798,0.990055247648401,0.007446791871721259,-0.0021941119012006682,-0.0029123613787362945
455,0.7640846763133593,0.765128892013729,0.0010442157003697217,0.2314616419042948,0.23249840894112564,0.001036767036830838,0.6628273056347306,0.6608645273021589,-0.0019627783325716353,0.037233493728846594,0.03770941493661429,0.0004759212077676961,0.006985613498373377,0.007763490493690542,0.0007778769953171649,0.9791415982020342,0.9883889243539583,0.00924732615192414,0.004453681782345897,0.002372699045145338
