axis,points,origin_nm,endpoint_nm,step_min_nm,step_max_nm,coordinate_hash,source
x,349,-870.0,870.0,4.999999999999952,5.000000000006728,06744871a36cf6fccba116df4e44af27dc29878eeb5b625e1d9f5ca8579df951,post-FSP index monitor readback
z,201,-600.0,1200.0,4.999999999999211,24.000000000000956,d634a81d3c54cb4ae51738bea7c0393ff0038f2e5ae794e1dd8269cf27f785b4,post-FSP index monitor readback
