case_id,candidate_id,position,dipole_orientation,cone_deg,target_LP,target_LP_power,leakage_LP_power,LP_fraction,target_to_leakage_ratio,total_cone_power,farfield_grid,source_x_nm,source_y_nm,source_z_nm,simulation_time_fs,result_csv,status
center_x,H500_LP_APCD_K6_XGRAD_FROZEN_STAGE12,center,x,5;10;20,x,,,,,,101,0.0,0.0,,100,outputs/stage13_1_lp_dipole_results/center_x.csv,prepared_not_run
center_y,H500_LP_APCD_K6_XGRAD_FROZEN_STAGE12,center,y,5;10;20,x,,,,,,101,0.0,0.0,,100,outputs/stage13_1_lp_dipole_results/center_y.csv,prepared_not_run
x_plus_qp_x,H500_LP_APCD_K6_XGRAD_FROZEN_STAGE12,x_plus_qp,x,5;10;20,x,,,,,,101,,0.0,,100,outputs/stage13_1_lp_dipole_results/x_plus_qp_x.csv,prepared_not_run
x_plus_qp_y,H500_LP_APCD_K6_XGRAD_FROZEN_STAGE12,x_plus_qp,y,5;10;20,x,,,,,,101,,0.0,,100,outputs/stage13_1_lp_dipole_results/x_plus_qp_y.csv,prepared_not_run
x_minus_qp_x,H500_LP_APCD_K6_XGRAD_FROZEN_STAGE12,x_minus_qp,x,5;10;20,x,,,,,,101,,0.0,,100,outputs/stage13_1_lp_dipole_results/x_minus_qp_x.csv,prepared_not_run
x_minus_qp_y,H500_LP_APCD_K6_XGRAD_FROZEN_STAGE12,x_minus_qp,y,5;10;20,x,,,,,,101,,0.0,,100,outputs/stage13_1_lp_dipole_results/x_minus_qp_y.csv,prepared_not_run
