level,post_sha256,mesh accuracy,mesh refinement,conformal meshing,min mesh step,mesh tolerance,dt stability factor,dimension,x min bc,x max bc,y min bc,y max bc,z min bc,z max bc,pml profile,pml layers,x span,y span,z span
M0,07855a627854a0814641c25b1cda56a4538f4f1711bf38d63e982822a3c7de59,2.0,conformal variant 0,PROPERTY_NOT_EXPOSED,2.5e-10,PROPERTY_NOT_EXPOSED,0.99,3D,Periodic,Periodic,Periodic,Periodic,PML,PML,1.0,8.0,1.74e-06,2.9e-07,1.8e-06
M1,42f297579669c13079e8f17b77f94f4194dbecb312c17c07347b14f4d4a809fc,3.0,conformal variant 0,PROPERTY_NOT_EXPOSED,2.5e-10,PROPERTY_NOT_EXPOSED,0.99,3D,Periodic,Periodic,Periodic,Periodic,PML,PML,1.0,8.0,1.74e-06,2.9e-07,1.8e-06
M2,382149d48689093d9eab1b6dec86e0bb12d80371127eff374bf6a5e0347fc004,4.0,conformal variant 0,PROPERTY_NOT_EXPOSED,2.5e-10,PROPERTY_NOT_EXPOSED,0.99,3D,Periodic,Periodic,Periodic,Periodic,PML,PML,1.0,8.0,1.74e-06,2.9e-07,1.8e-06
