geometry_uid,exact_hash,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,H_global,wavelength_nm,Re_txx,Im_txx,Re_txy,Im_txy,Re_tyx,Im_tyx,Re_tyy,Im_tyy,phi_txx,projector_error,Txx,throughput,x_accepted,y_accepted,full_jones_accepted,broadband_status,source_stage,case_uid_x,case_uid_y,attempt_uid_x,attempt_uid_y,solver_entered,solver_replay,ml_eligible,ml_admitted,split,spectral_scope,history_preserved,Txy,Tyx,Tyy,full_jones_frobenius_norm,full_jones_finite,throughput_x,throughput_y,model_fill,strict_candidate
HISTORICAL_b57c4e2b9456,b57c4e2b9456fa2c09331b95640e2b390bfceb86a2be80484dc4d8572fb79ae2,112.0,109.0,100.0,203.0098519776811,0.5644721753069635,550.0,450.0,0.21709154465596867,0.930582413320995,-0.005069551888442498,0.0010201568332382973,-0.005052420998619138,0.0010159344530279773,0.23399832488336963,0.378062976058796,76.8685674551491,0.17800754883177927,0.9131123667434419,0.9131123667434419,True,True,True,450NM_ONLY_NOT_RECOVERABLE,H1A,H1A_LPML_R1_GLOBAL_SOBOL_038_b57c4e2b9456_H550_Px,H1A_LPML_R1_GLOBAL_SOBOL_038_b57c4e2b9456_H550_Py,,,True,False,True,False,UNASSIGNED,450NM_ONLY,True,,,,,,,,,
SEED4_LPML_R2_HIGH_UNCERTAINTY_007,f447ce0e428d39f1d9055da8692b608a9f0b342aab7aee33131b269a1e037adb,112.0,112.0,102.0,192.12756179163884,-2.0879838327233444,550.0,450.0,-0.28878864427341233,0.946635822219533,-0.012256846945736555,0.02172349117259947,-0.01204490458442789,0.02130389011628506,0.23552971343362736,0.4058596287956215,106.96528957076407,0.1843707157586535,0.9795182609705267,0.9795182609705267,True,True,True,450NM_ONLY_NOT_RECOVERABLE,H1A,H1A_LPML_R2_HIGH_UNCERTAINTY_007_f447ce0e428d_H550_Px,H1A_LPML_R2_HIGH_UNCERTAINTY_007_f447ce0e428d_H550_Py,,,True,False,True,False,UNASSIGNED,450NM_ONLY,True,,,,,,,,,
HISTORICAL_1aa1a1d470a3,1aa1a1d470a312a92b5f9ca41a8070b2064aee3602a6a7781c131ebe1dac7844,111.0,110.0,101.0,203.0098519776811,0.5644721753069635,550.0,450.0,0.12143610282924572,0.9844703082242183,-0.010390926234798868,-0.0005391933566149774,-0.010332560918212276,-0.0005160471964462882,0.291268984256038,0.3748508448923714,82.96798918003071,0.1864961370084426,0.9839285148454424,0.9839285148454424,True,True,True,450NM_ONLY_NOT_RECOVERABLE,H1A,H1A_LPML_R1_GLOBAL_SOBOL_126_1aa1a1d470a3_H550_Px,H1A_LPML_R1_GLOBAL_SOBOL_126_1aa1a1d470a3_H550_Py,,,True,False,True,False,UNASSIGNED,450NM_ONLY,True,,,,,,,,,
HISTORICAL_2e07d48ba61d,2e07d48ba61d315bc1f13ae407cd25ba2d8b825a7de07c1f830c9bfb8b04d069,112.0,112.0,104.0,193.12690128513947,-2.077174765162813,550.0,450.0,-0.3564087414390188,0.9241782610360612,0.0019752599859373518,0.009372377244687495,0.0020041021167353556,0.00919935399532775,0.15494842076854953,0.5498297028955106,111.08910050508672,0.24968906830647108,0.9811326491457834,0.9811326491457834,True,True,True,450NM_ONLY_NOT_RECOVERABLE,H1A,H1A_LPML_R2_BOUNDARY_AND_HIGH_GRADIENT_054_2e07d48ba61d_H550_Px,H1A_LPML_R2_BOUNDARY_AND_HIGH_GRADIENT_054_2e07d48ba61d_H550_Py,,,True,False,True,False,UNASSIGNED,450NM_ONLY,True,,,,,,,,,
HISTORICAL_c4a870c85d7e,c4a870c85d7e72817465811491a3316fcabd28c16794fde9ffb73276ee150aac,110.0,108.0,100.0,200.0,0.0,550.0,450.0,-0.06242929911308352,0.975462562480445,1.1600570413951365e-08,-7.656566231085548e-09,-3.428399630163042e-09,-8.342627465617787e-09,0.4024905874465815,0.5024794664683373,93.6619177404915,0.3025633912939164,0.9554246281886669,0.9554246281886669,True,True,True,450NM_ONLY_NOT_RECOVERABLE,H1A,H1A_LPML_R1_GLOBAL_SOBOL_002_c4a870c85d7e_H550_Px,H1A_LPML_R1_GLOBAL_SOBOL_002_c4a870c85d7e_H550_Py,,,True,False,True,False,UNASSIGNED,450NM_ONLY,True,,,,,,,,,
HISTORICAL_dbf1e41a1ea2,dbf1e41a1ea2f7640332844d5fdd265c07076ab5fee3307bb7f5eb9d6ae26c2b,104.0,106.0,99.0,205.11947737842937,1.9556813975228868,550.0,450.0,0.3433250302196682,0.9109973471168874,0.02508852701286003,-0.0012053999104845747,0.025287743832790543,-0.0012391350651825745,-0.316126868220555,0.6551894702007329,69.35021877672307,0.35885290516661317,0.9477882428293429,0.9477882428293429,True,True,True,450NM_ONLY_NOT_RECOVERABLE,H1A,H1A_LPML_R2_LOW_PHASE_AND_SIX_BIN_COVERAGE_024_dbf1e41a1ea2_H550_Px,H1A_LPML_R2_LOW_PHASE_AND_SIX_BIN_COVERAGE_024_dbf1e41a1ea2_H550_Py,,,True,False,True,False,UNASSIGNED,450NM_ONLY,True,,,,,,,,,
SEED2_H1B1_A_LOWER_COMPATIBLE_EDGE,220e4066a378f940c3c2153ab01f747aec264b6d35898101b1878b415c8a3693,108.0,106.0,98.0,196.01020381602586,0.5846305207051778,550.0,450.0,0.3997917605572774,0.9246552315638309,-0.005205617387010948,0.0034491813104040757,-0.005165588333916075,0.003403738849458572,0.2907817576230971,0.09470663597087448,66.61786682418824,0.08444499745689715,1.014820749067849,1.014820749067849,True,True,True,450NM_ONLY_NOT_RECOVERABLE,H1B1,H1B1_H1B1_A_LOWER_COMPATIBLE_EDGE_H550_Px,H1B1_H1B1_A_LOWER_COMPATIBLE_EDGE_H550_Py,,,True,False,True,False,UNASSIGNED,450NM_ONLY,True,,,,,,,,,
HISTORICAL_ccb423acd0d8,ccb423acd0d8d63d79d56a521ade3dc661e87aaa32971bd4ff65b7a7a72f657c,112.0,110.0,102.0,203.0221662774782,0.8466740238615051,550.0,450.0,0.07370306190649492,0.9789145183204903,-0.006964110733234714,0.0011032967843995914,-0.006906641423285498,0.0010735778853263502,0.2380483268054717,0.5439712547591593,85.69428998263459,0.2679099903284172,0.96370577551303,0.96370577551303,True,True,True,450NM_ONLY_NOT_RECOVERABLE,H1B1,H1B1_H1B1_B_UPPER_COMPATIBLE_EDGE_H550_Px,H1B1_H1B1_B_UPPER_COMPATIBLE_EDGE_H550_Py,,,True,False,True,False,UNASSIGNED,450NM_ONLY,True,,,,,,,,,
HISTORICAL_90ef44855a11,90ef44855a11e8784a0658e54f5f5ed3cec6579cfe935a8b50a1f9afd832468b,108.0,109.0,100.0,203.0098519776811,0.5644721753069635,550.0,450.0,0.2851458927567452,0.9725539391960678,-0.008121354180000338,0.0026593972099229327,-0.008111424949422822,0.0026726311047963846,0.38010258398323316,0.7191386259153506,73.65923841543835,0.3918309450529901,1.0271693448018298,1.0271693448018298,True,True,True,450NM_ONLY_NOT_RECOVERABLE,H1B1,H1B1_H1B1_C_J1_SIDE_CONTRAST_H550_Px,H1B1_H1B1_C_J1_SIDE_CONTRAST_H550_Py,,,True,False,True,False,UNASSIGNED,450NM_ONLY,True,,,,,,,,,
SEED3_H1B1_D_D_PSI_CONTRAST,81b90f264a0ca2202464ca91b9737b05efed58942ea81ccf88071321739f32b5,111.0,110.0,101.0,199.0226117806718,0.863690044599587,550.0,450.0,0.10477042326823978,0.9821690044259078,-0.03238202200335222,-0.04983519574841658,-0.03357496667220516,-0.05139479904877715,-0.3253139097541705,-0.005877061414448952,83.91114137230596,0.10393534540257765,0.975632794846785,0.975632794846785,True,True,True,450NM_ONLY_NOT_RECOVERABLE,H1B1,H1B1_H1B1_D_D_PSI_CONTRAST_H550_Px,H1B1_H1B1_D_D_PSI_CONTRAST_H550_Py,,,True,False,True,False,UNASSIGNED,450NM_ONLY,True,,,,,,,,,
