geometry_uid,exact_hash,role,source,global_or_seed,phase_trajectory_deg,broadband_status,projector_pass_count,failed_wavelengths,worst_projector_error,median_projector_error,min_Txx,median_Txx,max_Txx,min_throughput,median_throughput,max_throughput,x_case_uid,y_case_uid,solver_entered_x,solver_entered_y
GLOBAL_001,a8253518a60f78dae8560385cbc5c98ed8ddd91a001c8bbbe19053efb2a3acd6,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[59.5261343272486, 56.05771202322245, 54.23831909221224, 53.04233073342465, 47.93923650086532, 36.676349842015725, 66.69563211843615, 50.294074034862035, 48.67919367712523]",INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.6371270886559788,0.4987261854817785,0.47834730664915354,0.9385287444385337,1.043726476649222,0.6591113468313664,0.9566232585914922,1.0148882601521372,H1C1A_GLOBAL_001_Px,H1C1A_GLOBAL_001_Py,True,True
GLOBAL_002,19fafaf7076b7795bfc41398f050ee9e79fedd2a373640761e553da9bb6096f2,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[82.77903799708776, 72.90915971888506, 41.49618219008971, 138.46790609766356, 103.58984124146696, 95.38682177402109, 89.64990843181113, 83.90568752578167, 80.67858361055914]",CENTER_ONLY_COMPATIBLE,7,"[453.5, 454.0]",0.2599949600501369,0.08097409885597051,0.11240846009188327,0.8421708796027287,1.0183614656632418,0.05636378714678876,0.4850104228960387,0.624594623331504,H1C1A_GLOBAL_002_Px,H1C1A_GLOBAL_002_Py,True,True
GLOBAL_003,021c772842ff1a80a09b8d4fb05efa8e8b7f7fd81bd90e691c3c0e7a8aca00e7,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,,INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",,,,,,,,,,,True,True
GLOBAL_004,1cc0ca6edf977fda814cb2d59f204f6c47f61d859fc669d0d29c6ecb9161bddd,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[69.29272468556576, 36.91255604747852, 107.11977874675756, 90.39720193374262, 82.1598790428651, 79.91302755669017, 77.41392765763601, 73.26401528889761, 70.79970641746002]",CENTER_ONLY_COMPATIBLE,1,"[450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.45142354671144846,0.3797523828666869,0.16566163633280023,0.9362252071282106,1.081771082495253,0.14071511097329972,0.704661314109162,0.8932272846009646,H1C1A_GLOBAL_004_Px,H1C1A_GLOBAL_004_Py,True,True
GLOBAL_005,74226792687513b7dab10575be4e2920be1137a572f185cb068118fc42d20299,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[108.5834787994977, 83.49844324061587, 78.11327367994096, 76.88315420037316, 73.45360827232952, 69.40910825123137, 67.78990803089141, 66.37521647532105, 63.34519967791948]",PARTIALLY_COMPATIBLE,4,"[450.0, 450.5, 451.0, 453.5, 454.0]",0.6011020185378315,0.1926616381888312,0.6475869846238483,0.9635504302852153,1.0047223161329641,0.4691360133238321,0.6143057066517182,0.8117200571560996,H1C1A_GLOBAL_005_Px,H1C1A_GLOBAL_005_Py,True,True
GLOBAL_006,58cb7c6aebab655f9f14af16d5a2ec1d0182037e8543fca5a31e7a08ebfcd176,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[101.35443508965682, 96.75959903106389, 90.83369447467538, 85.90977106057528, 81.40330713956507, 57.266229793887135, 95.00728543650666, 65.8438621483001, 53.340258982830164]",BROADBAND_PROJECTOR_COMPATIBLE_STRICT,9,[],0.1393623743330995,0.08873607881871282,0.5493112595589198,0.9588488225660016,1.040499879967878,0.30917779395425904,0.5192206812034363,0.580358811676183,H1C1A_GLOBAL_006_Px,H1C1A_GLOBAL_006_Py,True,True
GLOBAL_007,98f89d1440971e3053b728b398bc1009f4048b1df6f6fc400b23f8c1ee56ec6b,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,,INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",,,,,,,,,,,True,True
GLOBAL_008,919905dfcf294368d2b73bdb4d8aa298c3d7369e62eb4dbd9cd964ec472c0c8f,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[72.93463653748444, 91.97080083606863, 84.47224935490067, 83.11916469675634, 78.80264601893646, 75.39865278610296, 74.09904156996657, 71.90693778490294, 68.86787419580338]",INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.6332308158958261,0.4914109044582502,0.4219456443577296,0.9405988147904748,1.0605007758182878,0.5752195967449161,0.8939506962231039,0.944535369081873,H1C1A_GLOBAL_008_Px,H1C1A_GLOBAL_008_Py,True,True
GLOBAL_009,2da908fa179f4e52457eb00f44ec9f4a3bce90a6b7f16426986a78d3fbc5c976,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[89.96212381271243, 74.6921111506814, 73.687802271711, 71.67915698254313, 67.98961122485787, 65.72144636263823, 64.51219477150113, 62.271567038519095, 59.68031722550313]",INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.4701428197727566,0.40628474810609216,0.5987994913835076,0.9660155030768537,1.014421232554831,0.3782564681504013,0.8021294744774334,0.9222079671981238,H1C1A_GLOBAL_009_Px,H1C1A_GLOBAL_009_Py,True,True
GLOBAL_010,2deb92f8c7547d9fa52ef3e75ac85ab6d6058b4cb06a982c0ffb0a7ec86f77b3,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[85.12637840821537, 69.46401386975123, 93.13118625917178, 80.6293169256382, 73.61818690346547, 68.50127556473939, 58.16673969075123, 16.606336600283896, 115.8360992085943]",PARTIALLY_COMPATIBLE,3,"[450.0, 450.5, 451.0, 451.5, 452.0, 453.5]",0.4359910132781287,0.2095064591399889,0.2013533275751773,0.9201533252784193,1.03071477565537,0.12735924910665092,0.5973886282416669,0.8174474048628777,H1C1A_GLOBAL_010_Px,H1C1A_GLOBAL_010_Py,True,True
