monitor,z_m,wavelength_nm,signed_normalized_flux
N1_DIAG_PML_LOWER,-5e-07,445,-0.22790184892077153
N1_DIAG_PML_LOWER,-5e-07,446,-0.23146720237399263
N1_DIAG_PML_LOWER,-5e-07,447,-0.23516345940250682
N1_DIAG_PML_LOWER,-5e-07,448,-0.47403926147383
N1_DIAG_PML_LOWER,-5e-07,449,-0.3395326529134896
N1_DIAG_PML_LOWER,-5e-07,450,-0.26077115991408134
N1_DIAG_PML_LOWER,-5e-07,451,-0.2530813650339043
N1_DIAG_PML_LOWER,-5e-07,452,-0.2482140673695111
N1_DIAG_PML_LOWER,-5e-07,453,-0.24346423865368752
N1_DIAG_PML_LOWER,-5e-07,454,-0.23847910866172634
N1_DIAG_PML_LOWER,-5e-07,455,-0.2333350111190271
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,445,0.7715984547521172
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,446,0.7680792873296144
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,447,0.7644363376140245
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,448,0.5252069894609637
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,449,0.6602153883579598
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,450,0.7390300197307502
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,451,0.7467206795168017
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,452,0.7515482661574084
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,453,0.7562410591405524
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,454,0.7612081811267369
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,455,0.7664376239727139
N1_DIAG_LOWER_INSIDE,-9e-08,445,0.7716133742135703
N1_DIAG_LOWER_INSIDE,-9e-08,446,0.7680944634273146
N1_DIAG_LOWER_INSIDE,-9e-08,447,0.764452402112096
N1_DIAG_LOWER_INSIDE,-9e-08,448,0.5251912867455135
N1_DIAG_LOWER_INSIDE,-9e-08,449,0.6602310654242182
N1_DIAG_LOWER_INSIDE,-9e-08,450,0.7390298221714477
N1_DIAG_LOWER_INSIDE,-9e-08,451,0.7467119526729062
N1_DIAG_LOWER_INSIDE,-9e-08,452,0.7515323588859936
N1_DIAG_LOWER_INSIDE,-9e-08,453,0.756222578282662
N1_DIAG_LOWER_INSIDE,-9e-08,454,0.7611949398947654
N1_DIAG_LOWER_INSIDE,-9e-08,455,0.7664369054774222
N1_DIAG_UPPER_INSIDE,5.9e-07,445,0.7716039979769859
N1_DIAG_UPPER_INSIDE,5.9e-07,446,0.7682857852847235
N1_DIAG_UPPER_INSIDE,5.9e-07,447,0.7650583605662026
N1_DIAG_UPPER_INSIDE,5.9e-07,448,0.5053654103308981
N1_DIAG_UPPER_INSIDE,5.9e-07,449,0.6644486871497968
N1_DIAG_UPPER_INSIDE,5.9e-07,450,0.7395720030356098
N1_DIAG_UPPER_INSIDE,5.9e-07,451,0.7470633891950671
N1_DIAG_UPPER_INSIDE,5.9e-07,452,0.7518229559709603
N1_DIAG_UPPER_INSIDE,5.9e-07,453,0.7563789059716727
N1_DIAG_UPPER_INSIDE,5.9e-07,454,0.7611017915934584
N1_DIAG_UPPER_INSIDE,5.9e-07,455,0.7660255420882475
N1_DIAG_UPPER_OUTSIDE,6.1e-07,445,0.7716001682389312
N1_DIAG_UPPER_OUTSIDE,6.1e-07,446,0.7682820640965473
N1_DIAG_UPPER_OUTSIDE,6.1e-07,447,0.7650545202976197
N1_DIAG_UPPER_OUTSIDE,6.1e-07,448,0.5053556991498993
N1_DIAG_UPPER_OUTSIDE,6.1e-07,449,0.6644479392759124
N1_DIAG_UPPER_OUTSIDE,6.1e-07,450,0.7395688498844197
N1_DIAG_UPPER_OUTSIDE,6.1e-07,451,0.7470604838369216
N1_DIAG_UPPER_OUTSIDE,6.1e-07,452,0.7518211574105081
N1_DIAG_UPPER_OUTSIDE,6.1e-07,453,0.7563788770018485
N1_DIAG_UPPER_OUTSIDE,6.1e-07,454,0.7611038049796808
N1_DIAG_UPPER_OUTSIDE,6.1e-07,455,0.7660286311759217
N1_DIAG_PML_UPPER,1.1e-06,445,0.7716321510391422
N1_DIAG_PML_UPPER,1.1e-06,446,0.7683167932944542
N1_DIAG_PML_UPPER,1.1e-06,447,0.7650897110184774
N1_DIAG_PML_UPPER,1.1e-06,448,0.5053488297815248
N1_DIAG_PML_UPPER,1.1e-06,449,0.6644810732175838
N1_DIAG_PML_UPPER,1.1e-06,450,0.7395888685777783
N1_DIAG_PML_UPPER,1.1e-06,451,0.7470612253149421
N1_DIAG_PML_UPPER,1.1e-06,452,0.7517983033028482
N1_DIAG_PML_UPPER,1.1e-06,453,0.7563363385365736
N1_DIAG_PML_UPPER,1.1e-06,454,0.7610575669535534
N1_DIAG_PML_UPPER,1.1e-06,455,0.7660039528188363
