wavelength_nm,T_1ps,T_2ps,delta_T,R_1ps,R_2ps,delta_R,residual_1ps,residual_2ps,eta_plus1_1ps,eta_plus1_2ps,delta_eta_plus1
445,0.7711060203438089,0.7716198781306755,0.0005138577868665228,0.22551899280687432,0.22788119903774132,0.0023622062308669978,0.0033749868493167523,0.0004989228315832317,0.6730290419079564,0.6715695664768114,-0.0014594754311449964
446,0.7686486961088492,0.7683030674357874,-0.00034562867306187073,0.23329847950898236,0.23143919519838338,-0.0018592843105989798,-0.0019471756178315869,0.00025773736582926365,0.6637057075593017,0.6651850013025734,0.0014792937432717146
447,0.7640857553525796,0.7650740853429394,0.0009883299903598042,0.23338254857662916,0.23512146396637737,0.0017389153897482135,0.002531696070791234,-0.00019554930931678371,0.6687399367770693,0.6643895766367183,-0.004350360140351062
448,0.5320700792053954,0.5053457166872318,-0.02672436251816357,0.3866632961304095,0.4740546559762544,0.0873913598458449,0.0812666246641951,0.02059962733651377,0.47112650058245953,0.44235867507686044,-0.028767825505599087
449,0.6326573344224153,0.6644653378812949,0.031808003458879575,0.3615512796195751,0.33942522401330766,-0.02212605560626746,0.005791385958009543,-0.0038905618946025733,0.48056199545696504,0.5201808368440247,0.03961884138705968
450,0.7484681185851593,0.7395719671897157,-0.00889615139544353,0.25768524050557384,0.26067433158527137,0.0029890910796975256,-0.006153359090733113,-0.00024629877498710817,0.6314101273720275,0.6216787417275325,-0.00973138564449505
451,0.7394919535984618,0.7470487693072377,0.007556815708775977,0.25423413153507723,0.25299419122123756,-0.0012399403138396714,0.006273914866461006,-4.296052847529985e-05,0.6256757156186853,0.6331743055899215,0.0074985899712362025
452,0.7568237458610013,0.751794819801661,-0.005028926059340355,0.24777060732205222,0.24816137625286053,0.0003907689308083051,-0.00459435318305354,4.3803945478509965e-05,0.6455340122493332,0.6408670232828975,-0.004666988966435692
453,0.7521603053477425,0.7563445891144975,0.004184283766755059,0.2429331319764722,0.24346909204948086,0.0005359600730086567,0.00490656267578532,0.00018631883602160393,0.6447139753302689,0.6479121564691263,0.003198181138857392
454,0.7639249810143901,0.761075512310817,-0.002849468703573055,0.2389873803643462,0.23854296351973384,-0.0004444168446123553,-0.0029123613787362945,0.0003815241694491156,0.6569120338295694,0.6546642175820175,-0.0022478162475518815
455,0.765128892013729,0.7660227157664878,0.0008938237527588155,0.23249840894112564,0.23342269183644562,0.0009242828953199833,0.002372699045145338,0.000554592397066539,0.6608645273021589,0.6610281457193352,0.00016361841717627001
