wavelength_nm,order_n,u_x,angle_deg,transmitted_fraction,absolute_efficiency
445,-3,-0.767241379310345,-50.10680930186621,0.000515449848686155,0.000397731349425686
445,-2,-0.5114942528735632,-30.76341252641582,0.01038489235845155,0.008013189376028568
445,-1,-0.2557471264367816,-14.817860402183731,0.000646134081390928,0.0004985699011389438
445,0,0.0,0.0,0.07215796263294058,0.055678518332987446
445,1,0.2557471264367816,14.817860402183731,0.870337306633098,0.6715695664768114
445,2,0.5114942528735632,30.76341252641582,0.043224062890370285,0.03335254613978017
445,3,0.767241379310345,50.10680930186621,0.0027341915550624317,0.0021097565545031955
446,-3,-0.7689655172413793,-50.26108387570818,0.0008705843475132879,0.0006688726246560425
446,-2,-0.5126436781609195,-30.840084814858216,0.010731651228192488,0.008245160557271322
446,-1,-0.25632183908045975,-14.85192444636312,0.0008279741496940624,0.0006361350789674859
446,0,0.0,0.0,0.07124362440024437,0.05473669516195086
446,1,0.25632183908045975,14.85192444636312,0.8657846486577613,0.6651850013025734
446,2,0.5126436781609195,30.840084814858216,0.0470358932338189,0.03613782105112526
446,3,0.7689655172413793,50.26108387570818,0.003505623982775638,0.0026933816592429843
447,-3,-0.7706896551724137,-50.415859737580426,0.0016200901078406113,0.0012394889574292996
447,-2,-0.5137931034482758,-30.916818412522304,0.011451858399195693,0.008761520090241504
447,-1,-0.2568965517241379,-14.885993861861795,0.0009424690940856978,0.000721058680121604
447,0,0.0,0.0,0.06504510401168492,0.049764323457776205
447,1,0.2568965517241379,14.885993861861795,0.8683990078410643,0.6643895766367183
447,2,0.5137931034482758,30.916818412522304,0.047827971008338285,0.03659194117301304
447,3,0.7706896551724137,50.415859737580426,0.004713499537790462,0.003606176347639405
448,-3,-0.7724137931034484,-50.57114294660536,0.006354046108651829,0.0032109899846403753
448,-2,-0.5149425287356322,-30.993613604678192,0.027869460411689067,0.014083712445431447
448,-1,-0.2574712643678161,-14.92006866327333,0.004388441667694103,0.002217680199700987
448,0,0.0,0.0,0.04885293583785317,0.024687621873255263
448,1,0.2574712643678161,14.92006866327333,0.8753585129339183,0.44235867507686044
448,2,0.5149425287356322,30.993613604678192,0.034727219436621326,0.01754925159475417
448,3,0.7724137931034484,50.57114294660536,0.0024493836035721405,0.0012377855125891178
449,-3,-0.7741379310344828,-50.726939676851345,0.013373182994314978,0.008886016556865889
