from_monitor,to_monitor,wavelength_nm,flux_a,flux_b,delta_F,abs_delta_F
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,445,-0.22790184892077153,0.7715984547521172,0.9995003036728887,0.9995003036728887
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,446,-0.23146720237399263,0.7680792873296144,0.999546489703607,0.999546489703607
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,447,-0.23516345940250682,0.7644363376140245,0.9995997970165313,0.9995997970165313
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,448,-0.47403926147383,0.5252069894609637,0.9992462509347937,0.9992462509347937
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,449,-0.3395326529134896,0.6602153883579598,0.9997480412714495,0.9997480412714495
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,450,-0.26077115991408134,0.7390300197307502,0.9998011796448316,0.9998011796448316
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,451,-0.2530813650339043,0.7467206795168017,0.999802044550706,0.999802044550706
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,452,-0.2482140673695111,0.7515482661574084,0.9997623335269196,0.9997623335269196
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,453,-0.24346423865368752,0.7562410591405524,0.9997052977942399,0.9997052977942399
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,454,-0.23847910866172634,0.7612081811267369,0.9996872897884632,0.9996872897884632
N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,455,-0.2333350111190271,0.7664376239727139,0.999772635091741,0.999772635091741
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,445,0.7715984547521172,0.7716133742135703,1.4919461453155591e-05,1.4919461453155591e-05
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,446,0.7680792873296144,0.7680944634273146,1.5176097700186908e-05,1.5176097700186908e-05
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,447,0.7644363376140245,0.764452402112096,1.606449807145527e-05,1.606449807145527e-05
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,448,0.5252069894609637,0.5251912867455135,-1.5702715450149896e-05,1.5702715450149896e-05
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,449,0.6602153883579598,0.6602310654242182,1.567706625837939e-05,1.567706625837939e-05
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,450,0.7390300197307502,0.7390298221714477,-1.9755930247278286e-07,1.9755930247278286e-07
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,451,0.7467206795168017,0.7467119526729062,-8.72684389541245e-06,8.72684389541245e-06
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,452,0.7515482661574084,0.7515323588859936,-1.5907271414872248e-05,1.5907271414872248e-05
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,453,0.7562410591405524,0.756222578282662,-1.848085789035725e-05,1.848085789035725e-05
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,454,0.7612081811267369,0.7611949398947654,-1.3241231971550249e-05,1.3241231971550249e-05
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,455,0.7664376239727139,0.7664369054774222,-7.184952917071996e-07,7.184952917071996e-07
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,445,0.7716133742135703,0.7716039979769859,-9.376236584479614e-06,9.376236584479614e-06
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,446,0.7680944634273146,0.7682857852847235,0.00019132185740888819,0.00019132185740888819
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,447,0.764452402112096,0.7650583605662026,0.0006059584541066032,0.0006059584541066032
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,448,0.5251912867455135,0.5053654103308981,-0.019825876414615418,0.019825876414615418
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,449,0.6602310654242182,0.6644486871497968,0.004217621725578602,0.004217621725578602
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,450,0.7390298221714477,0.7395720030356098,0.0005421808641620229,0.0005421808641620229
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,451,0.7467119526729062,0.7470633891950671,0.00035143652216085286,0.00035143652216085286
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,452,0.7515323588859936,0.7518229559709603,0.0002905970849667039,0.0002905970849667039
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,453,0.756222578282662,0.7563789059716727,0.00015632768901063798,0.00015632768901063798
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,454,0.7611949398947654,0.7611017915934584,-9.314830130702223e-05,9.314830130702223e-05
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,455,0.7664369054774222,0.7660255420882475,-0.0004113633891746904,0.0004113633891746904
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,445,0.7716039979769859,0.7716001682389312,-3.8297380546836735e-06,3.8297380546836735e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,446,0.7682857852847235,0.7682820640965473,-3.7211881761534116e-06,3.7211881761534116e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,447,0.7650583605662026,0.7650545202976197,-3.840268582910866e-06,3.840268582910866e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,448,0.5053654103308981,0.5053556991498993,-9.711180998794866e-06,9.711180998794866e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,449,0.6644486871497968,0.6644479392759124,-7.47873884376915e-07,7.47873884376915e-07
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,450,0.7395720030356098,0.7395688498844197,-3.15315119003845e-06,3.15315119003845e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,451,0.7470633891950671,0.7470604838369216,-2.905358145510739e-06,2.905358145510739e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,452,0.7518229559709603,0.7518211574105081,-1.798560452126452e-06,1.798560452126452e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,453,0.7563789059716727,0.7563788770018485,-2.8969824206193096e-08,2.8969824206193096e-08
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,454,0.7611017915934584,0.7611038049796808,2.0133862224103183e-06,2.0133862224103183e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,455,0.7660255420882475,0.7660286311759217,3.089087674212898e-06,3.089087674212898e-06
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,445,0.7716001682389312,0.7716321510391422,3.198280021099453e-05,3.198280021099453e-05
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,446,0.7682820640965473,0.7683167932944542,3.472919790692419e-05,3.472919790692419e-05
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,447,0.7650545202976197,0.7650897110184774,3.519072085778063e-05,3.519072085778063e-05
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,448,0.5053556991498993,0.5053488297815248,-6.869368374462503e-06,6.869368374462503e-06
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,449,0.6644479392759124,0.6644810732175838,3.3133941671370515e-05,3.3133941671370515e-05
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,450,0.7395688498844197,0.7395888685777783,2.001869335854778e-05,2.001869335854778e-05
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,451,0.7470604838369216,0.7470612253149421,7.414780205383664e-07,7.414780205383664e-07
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,452,0.7518211574105081,0.7517983033028482,-2.2854107659897593e-05,2.2854107659897593e-05
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,453,0.7563788770018485,0.7563363385365736,-4.2538465274910564e-05,4.2538465274910564e-05
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,454,0.7611038049796808,0.7610575669535534,-4.623802612735428e-05,4.623802612735428e-05
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,455,0.7660286311759217,0.7660039528188363,-2.467835708541699e-05,2.467835708541699e-05
