wavelength_nm,order_n,u_x,reflected_fraction,absolute_efficiency
445,-5,-0.89661468453753,0.4431203022288931,0.10097878578988648
445,-4,-0.7172917476300239,0.05147156127351069,0.011729401099352188
445,-3,-0.537968810722518,0.05513382084405746,0.01256396120147583
445,-2,-0.35864587381501195,0.011986536673195014,0.0027315063493975385
445,-1,-0.17932293690750598,0.009293557925881117,0.0021178271234764934
445,0,0.0,0.17117551529913158,0.03900768167226934
445,1,0.17932293690750598,0.08092930391808426,0.018442266814142818
445,2,0.35864587381501195,0.0646615858584684,0.014735159717109637
445,3,0.537968810722518,0.013378682009963084,0.0030487500979750463
445,4,0.7172917476300239,0.018649878521000827,0.004249956679273886
445,5,0.89661468453753,0.0801992554478146,0.0182759024933821
446,-5,-0.8986295489971649,0.42731175230501417,0.09889668805228342
446,-4,-0.7189036391977318,0.04980750360278549,0.011527408548669255
446,-3,-0.5391777293982989,0.051645095590796296,0.011952699359477473
446,-2,-0.3594518195988659,0.013588273295833852,0.003144859035723471
446,-1,-0.17972590979943295,0.011102720015550578,0.0025696045849120082
446,0,0.0,0.17357141906033283,0.04017122953676477
446,1,0.17972590979943295,0.08544761921424733,0.019775928222563324
446,2,0.3594518195988659,0.06614931118058409,0.015309543342561805
446,3,0.5391777293982989,0.012611119996210925,0.002918707462473296
446,4,0.7189036391977318,0.022960127243849132,0.00531387337096892
446,5,0.8986295489971649,0.08580505849479515,0.0198586536819856
447,-5,-0.9006444134567998,0.3942669911908753,0.09270063216241742
447,-4,-0.7205155307654397,0.0545034653571838,0.012814934566021787
447,-3,-0.5403866480740799,0.04226946099993728,0.009938457551374947
447,-2,-0.36025776538271986,0.01663615887096197,0.003911518028517814
447,-1,-0.18012888269135993,0.014002158539253394,0.00329220801443857
447,0,0.0,0.17280751587538987,0.040630756117014666
447,1,0.18012888269135993,0.09430714648000345,0.022173634342870004
447,2,0.36025776538271986,0.06321809947375302,0.014863932097440882
447,3,0.5403866480740799,0.014532870897356125,0.0034169898810207325
447,4,0.7205155307654397,0.03353489360169551,0.00788477327758735
447,5,0.9006444134567998,0.09992123871359021,0.02349362792767319
448,-5,-0.9026592779164347,0.05529801384885945,0.026214280931291217
448,-4,-0.7221274223331478,0.060276699824261114,0.028574450198574058
448,-3,-0.5415955667498609,0.02946269574992597,0.013966928097864208
448,-2,-0.3610637111665739,0.010848988071638825,0.005143013307991231
448,-1,-0.18053185558328694,0.004332697745513675,0.0020539355391985784
448,0,0.0,0.3406430770057678,0.16148343668066198
448,1,0.18053185558328694,0.009654485729800854,0.004576753911268401
448,2,0.3610637111665739,0.16622999421321696,0.07880210271968133
448,3,0.5415955667498609,0.034075870346914505,0.016153824994398006
448,4,0.7221274223331478,0.07787180637449558,0.03691549238111099
448,5,0.9026592779164347,0.21130567108960552,0.10017043721421451
449,-5,-0.9046741423760697,0.37507757369997846,0.1273107894754831
449,-4,-0.7237393139008557,0.09310263875098673,0.03160138401428373
449,-3,-0.5428044854256417,0.016502902706224308,0.005601501447930007
449,-2,-0.36186965695042783,0.014364384150612832,0.0048756343081349665
449,-1,-0.18093482847521392,0.04687215615036479,0.015909592101324303
449,0,0.0,0.26071826070449133,0.08849435404398191
449,1,0.18093482847521392,0.027288046330022735,0.009262251238453485
449,2,0.36186965695042783,0.07061268382076831,0.02396772602404515
