cone_deg,window_width_nm,window_start_nm,window_end_nm,sample_count,avg_usable_L_power,avg_total_cone_power,avg_L_fraction,wavelengths_in_window
5,4,420,424,3,6.38282488207497e-12,6.98377683580114e-12,0.9139486444995838,420;422;424
5,6,420,426,4,6.305430903977011e-12,6.9141262857075566e-12,0.9119003645335435,420;422;424;426
5,8,420,428,5,6.209955470299318e-12,6.8438813371383695e-12,0.90712630011336,420;422;424;426;428
5,10,420,430,6,6.113024408605706e-12,6.781646969833813e-12,0.9009142610036736,420;422;424;426;428;430
10,4,420,424,3,2.608600937079627e-11,2.984723355188772e-11,0.8739788730699715,420;422;424
10,6,420,426,4,2.5849276047266356e-11,2.964358650771064e-11,0.8719566442347413,420;422;424;426
10,8,420,428,5,2.556670718464059e-11,2.944387217452228e-11,0.8681809137327132,420;422;424;426;428
10,10,420,430,6,2.527348851113155e-11,2.9256836473624645e-11,0.8635853273718267,420;422;424;426;428;430
20,4,420,424,3,9.159396578362343e-11,1.1247971609837454e-10,0.8143278285847306,420;422;424
20,6,420,426,4,9.129845315939037e-11,1.1247098571727803e-10,0.8117598793106514,420;422;424;426
20,8,420,428,5,9.097473698517317e-11,1.1254711022394827e-10,0.8083420536630873,420;422;424;426;428
20,10,420,430,6,9.060542549393937e-11,1.1259817625535684e-10,0.804701098857926,420;422;424;426;428;430
