wavelength_nm,cone_deg,total_cone_power,L_fraction,DoCP_RminusL,usable_L_power,leakage_R_power,L_to_R_power_ratio,normalized_total_power,normalized_usable_L_power,source_priority,source_csv
422,20,1.1265552152316453e-10,0.8149214953370816,-0.629842990674163,9.180540605763601e-11,2.085011546552851e-11,4.403112597118124,0.9971240074124567,1.0,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
424,20,1.129804524669969e-10,0.8103376331194748,-0.6206752662389496,9.155231244087359e-11,2.14281400261233e-11,4.27252726224773,1.0,0.9972431512736459,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
420,20,1.1180317430496216e-10,0.8177243572976355,-0.6354487145952709,9.142417885236069e-11,2.0378995452601462e-11,4.486196538244481,0.9895798066273577,0.9958474427417054,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
426,20,1.1244479457398855e-10,0.8040560314884139,-0.6081120629768278,9.041191528669117e-11,2.2032879287297383e-11,4.103499779024177,0.9952588445052933,0.9848212558411866,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
428,20,1.1285160825062923e-10,0.7946707510728308,-0.5893415021456615,8.967987228830439e-11,2.3171735962324828e-11,3.87022674667603,0.998859588419463,0.9768474008164924,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
430,20,1.1285350641239972e-10,0.7864963248321193,-0.5729926496642386,8.875886803777039e-11,2.4094638374629333e-11,3.683760123631066,0.9988763892175573,0.9668152655634138,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
432,20,1.1291129395951231e-10,0.7810449316092121,-0.5620898632184241,8.818879386851493e-11,2.4722500090997378e-11,3.567147074281076,0.9993878719196598,0.9606056729725639,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
434,20,1.1279737928265054e-10,0.7730420278116172,-0.5460840556232345,8.719711481249628e-11,2.5600264470154265e-11,3.406102109380702,0.9983796030167269,0.9498037049991739,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
448,20,1.1198922534886513e-10,0.7524493180184518,-0.5048986360369035,8.426621623916828e-11,2.7723009109696845e-11,3.039576833298878,0.9912265609095404,0.9178785853445867,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
450,20,1.1158701565752583e-10,0.7545613408798123,-0.5091226817596246,8.41992481593193e-11,2.738776749820653e-11,3.074337773782877,0.987666567277396,0.9171491285214564,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
453,20,1.1060484880021757e-10,0.7592339941519987,-0.5184679883039974,8.397496112716709e-11,2.6629887673050487e-11,3.1534102643681052,0.978973321358637,0.9147060585348,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
454,20,1.1025695386167971e-10,0.7606954313235158,-0.5213908626470316,8.387196107422743e-11,2.638499278745228e-11,3.178775213238406,0.9758940724182995,0.9135841196712543,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
436,20,1.0962337521214658e-10,0.7634795074086328,-0.5269590148172655,8.369520050744139e-11,2.5928174704705182e-11,3.2279634590804127,0.9702862116273524,0.9116587366859096,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
438,20,1.095062296193418e-10,0.7584080329085789,-0.5168160658171579,8.305040419684018e-11,2.6455825422501622e-11,3.139210471437525,0.9692493456010015,0.9046352253450153,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
440,20,1.0898577360064357e-10,0.7566098876072764,-0.513219775214553,8.245971391477501e-11,2.6526059685868564e-11,3.1086303390436996,0.9646427432433922,0.8982010695863192,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
442,20,1.0860499981574787e-10,0.7546613468666539,-0.5093226937333076,8.195999543740498e-11,2.6645004378342888e-11,3.0759985727013888,0.9612724807193779,0.8927578337374814,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
447,20,1.086223987839852e-10,0.7514639755838391,-0.5029279511676783,8.16258196276667e-11,2.6996579156318505e-11,3.0235615836742897,0.9614264805295877,0.8891177887326319,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
