wavelength_nm,cone_deg,total_cone_power,L_fraction,DoCP_RminusL,usable_L_power,leakage_R_power,L_to_R_power_ratio,normalized_total_power,normalized_usable_L_power,source_priority,source_csv
458,5,6.101254666991798e-12,0.8394069030324812,-0.6788138060649624,5.1214352846320575e-12,9.798193823597403e-13,5.226917712423578,0.8670702880536517,0.7965989882768719,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
446,5,6.624040694133451e-12,0.7691698645817093,-0.5383397291634187,5.095012483690358e-12,1.5290282104430926e-12,3.3321899811213354,0.9413652086699766,0.7924891293549484,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
440,5,6.461162962588996e-12,0.7866247630231361,-0.5732495260462722,5.082510784300433e-12,1.378652178288563e-12,3.686579446463271,0.9182180939671892,0.7905445883166892,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
436,5,6.263021376327416e-12,0.811047764002629,-0.6220955280052579,5.079609483171019e-12,1.1834118931563971e-12,4.292342769703523,0.890059511568605,0.7900933137391674,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
438,5,6.376786896336575e-12,0.7942703730944655,-0.5885407461889309,5.06489290729715e-12,1.3118939890394252e-12,3.860748619639372,0.9062271209520615,0.7878042660795783,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
442,5,6.5257872748788466e-12,0.7757091068275931,-0.5514182136551862,5.0621126183431425e-12,1.4636746565357039e-12,3.458495776871888,0.9274020772838628,0.7873718139944127,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
466,5,5.868596721074497e-12,0.8602545327659237,-0.7205090655318473,5.0484869302795734e-12,8.201097907949239e-13,6.155867161866373,0.8340064670537085,0.7852524453559794,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
444,5,6.540515908230483e-12,0.769338504363848,-0.538677008727696,5.031870726605995e-12,1.5086451816244883e-12,3.3353573046166796,0.9294952140335762,0.7826679255290679,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
468,5,5.60719033899181e-12,0.8598289582152308,-0.7196579164304616,4.821224627689835e-12,7.859657113019755e-13,6.134141169725246,0.7968571069003401,0.7499035811694694,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
472,5,5.532203747638713e-12,0.8631350571509457,-0.7262701143018914,4.775038997888816e-12,7.571647497498962e-13,6.30647293005398,0.7862005044614274,0.7427197696151534,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
470,5,5.536846610350701e-12,0.8599566913488176,-0.719913382697635,4.761448291543104e-12,7.753983188075963e-13,6.140648201127435,0.7868603176521235,0.7406058421078687,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
474,5,5.40851459116666e-12,0.8685897653382237,-0.7371795306764475,4.6977804195698085e-12,7.107341715968518e-13,6.609757356980608,0.7686226129645276,0.7307028052478974,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
476,5,5.19367785868369e-12,0.8726708709446509,-0.7453417418893018,4.532371380343445e-12,6.613064783402447e-13,6.853662452723657,0.7380914259078237,0.7049747298204957,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
478,5,5.127570455514277e-12,0.8748760732503593,-0.7497521465007186,4.485988705434887e-12,6.4158175007939e-13,6.992076543448728,0.7286966754446631,0.697760269449083,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
480,5,5.009514245122878e-12,0.8738696843768662,-0.7477393687537325,4.377662632266945e-12,6.318516128559335e-13,6.928308076132239,0.7119193012917068,0.6809110005442258,ultra,outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_ultra\stage10_cp_dipole_bw2a_center_spectral_boundary_combined_summary.csv
