geometry_id,wavelength_nm,S0,S1,S2,S3,DoLP,psi_deg,total_power,polarized_lp_excess_power,axis_free_useful_lp_power,useful_lp_power,circular_contamination,sigma1,sigma2,sigma2_over_sigma1,dominant_u1_overlap_adjacent,dominant_u1_drift_angle_deg
BF04R_I01,435.0,0.7646950804298813,0.2026583538431107,0.0035958221400715987,-0.04774022531104018,0.26506022772181037,0.508253945917168,0.38234754021494066,0.10134512607824622,0.48369266629318686,0.48369266629318686,0.06243040727318726,0.9863729753293065,0.7459614697823032,0.7562671407671723,,
BF04R_I01,436.0,0.7389110887673965,0.20575740569569267,0.0012006648256468323,-0.04750847641234466,0.2784650439527639,0.1671683361140533,0.36945554438369826,0.10288045440539885,0.4723359987890971,0.4723359987890971,0.06429525437437299,0.9747232636637225,0.7264549103747144,0.7452934976068653,0.9999807725780392,0.3553029838898286
BF04R_I01,437.0,0.7015700144302931,0.21993910187397128,-0.005798851289233268,-0.05483768603136247,0.3136045291175497,179.24485290183677,0.35078500721514655,0.11000776700920231,0.46079277422434883,0.46079277422434883,0.07816423864109012,0.9634918704672931,0.6890743388082473,0.715184382898889,0.9998398651266687,1.025383645172854
BF04R_I01,438.0,0.7072187251600766,0.2882095545039778,0.008192887816791837,-0.05141864124922274,0.407689968745851,0.8141498167082512,0.3536093625800383,0.1441629899784961,0.49777235255853436,0.49777235255853436,0.07270542962162704,1.000046845913904,0.6436953909247805,0.6436652378384656,0.9990671748894273,2.4749789537839595
BF04R_I01,439.0,0.6647599403687162,0.3074983769413452,0.007358742764239533,-0.05409856460480037,0.4627029949994409,0.6854417372779793,0.3323799701843581,0.15379320768212737,0.4861731778664855,0.4861731778664855,0.08138060271019644,0.988467284908755,0.5936769385806954,0.600603527951355,0.9999968458222385,0.14390663798436662
BF04R_I01,440.0,0.6358604443957179,0.3359807763288527,0.0052175640400698685,-0.06468594984006139,0.5284513127759757,0.44484743197882703,0.31793022219785894,0.1680106432916162,0.4859408654894751,0.4859408654894751,0.1017297905699023,0.9889647584227546,0.5419129038777893,0.5479597723401756,0.9999591572155605,0.517841413587296
BF04R_I01,441.0,0.6009748980130192,0.36929283479593394,0.008223664831251707,-0.07072466650591465,0.6146419588543703,0.6378453362476463,0.3004874490065096,0.18469219426851377,0.4851796432750234,0.4851796432750234,0.11768322893310347,0.988468027678192,0.4742159363454832,0.47974838140123444,0.99999440289084,0.19169894435146045
BF04R_I01,442.0,0.5666308903240956,0.39844683784734775,0.007941317005859861,-0.0779514974768452,0.7033255241198743,0.5708963806044866,0.2833154451620478,0.19926298395985279,0.48257842912190063,0.48257842912190063,0.13757015158891056,0.9862600776589723,0.40069045392211333,0.4062726080053942,0.9999973579377914,0.13170711761090173
BF04R_I01,443.0,0.5348891208177055,0.42975464890402176,0.012070355998315609,-0.08727590283139175,0.8037630725942108,0.8044109478761808,0.2674445604088527,0.21496206162282747,0.48240662203168017,0.48240662203168017,0.16316634501365393,0.9867028162523404,0.3101544680237763,0.3143342280118283,0.9999856741885443,0.3066886926638238
BF04R_I01,444.0,0.5087665945966707,0.45282122739963593,0.012838921791621199,-0.09499755771050004,0.8903949429385213,0.8120412222496265,0.25438329729833536,0.2265016014824642,0.48088489878079954,0.48088489878079954,0.18672129561849518,0.9857096006470991,0.21426565843708523,0.21737199099656127,0.9999948244826898,0.1843379274373554
BF04R_I01,445.0,0.4914452954594495,0.46978201161865485,0.01767425411826372,-0.1042559015237667,0.9565955172627274,1.0772898525430867,0.24572264772972474,0.23505718330818298,0.4807798310379077,0.4807798310379077,0.21214141733984537,0.9863980853089376,0.09954601055673125,0.10091869807873123,0.9999731591686143,0.41979434462027126
BF04R_I01,446.0,0.48582272560127604,0.47261466476237535,0.017963155392881566,-0.1105437311524467,0.9735154178116255,1.0883261698181546,0.24291136280063802,0.23647795684805448,0.47938931964869247,0.47938931964869247,0.22753923463673464,0.9856599456988829,0.010950919935186553,0.011110241400163416,0.9999838160506774,0.3259721304362404
BF04R_I01,447.0,0.49637661123740107,0.46151720594358026,0.02291305558736042,-0.11679712445356787,0.9309174332734339,1.4211218142662387,0.24818830561870053,0.23104282043504326,0.4792311260537438,0.4792311260537438,0.2352994113933131,0.9864048867451154,0.14056536515144233,0.14250270557283246,0.9999437194837058,0.6078811879717773
BF04R_I01,448.0,0.5179395038939807,0.43870484779192154,0.021721151779677834,-0.11968373646705904,0.8480570493441785,1.4172567955518462,0.25896975194699035,0.21962112370555845,0.47859087565254876,0.47859087565254876,0.23107667124683665,0.9865066748331439,0.25036690735321837,0.2537913972001913,0.9999574735300724,0.528407333458119
BF04R_I01,449.0,0.5586079184941272,0.3967158792482054,0.026089739101393557,-0.12101509709683346,0.7117207385083103,1.8812991508717876,0.2793039592470636,0.1987864201436151,0.47809037939067867,0.47809037939067867,0.21663691668220728,0.9870108519193391,0.37818701085800727,0.3831639845930626,0.999861278092142,0.9543664802566186
BF04R_I01,450.0,0.6012073918795641,0.35400013140059683,0.02330429913590833,-0.12201997932956123,0.5900898481933003,1.8832113297341415,0.30060369593978203,0.17738318930345098,0.477986885243233,0.477986885243233,0.20295821538069958,0.9881150916400988,0.47544016388206745,0.4811586908291418,0.9998398390644111,1.025467085582189
BF04R_I01,451.0,0.6601664166915507,0.2924070869162495,0.0257866355109854,-0.12037501477525706,0.4446483586485884,2.5198654994255447,0.33008320834577537,0.14677095680840907,0.47685416515418444,0.47685416515418444,0.18234040952661762,0.9886512474320588,0.5855779575207178,0.5922998216425751,0.9995270337681396,1.762259320919876
BF04R_I01,452.0,0.7403348806247603,0.20947743948145586,0.025082236645350364,-0.1304329408531334,0.2849706789029726,3.4139639531795436,0.37016744031238014,0.10548686677359456,0.47565430708597467,0.47565430708597467,0.17618100168813133,0.9941692589713995,0.7016389710996525,0.7057540401375832,0.9965207085378429,4.780893133304733
BF04R_I01,453.0,0.9197440371659471,0.007823372928275008,0.03385857694767228,-0.09698637164845418,0.037782968931009714,38.49477521551172,0.45987201858297355,0.01737533019036121,0.47724734877333475,0.47724734877333475,0.10544930733914089,1.0113199962164225,0.903725588652169,0.8936099276521886,0.8923024134120053,26.83599164312518
