case_type,candidate_physics_claim,wavelength_nm,T_total,R_total,closure,residual,transmission_monitor_power,reflection_monitor_power
blank_calibration,false,445.0,0.9992867253749173,5.594527642038894e-06,0.9992923199025593,0.0007076800974407104,0.9992867253749173,5.594527642038894e-06
blank_calibration,false,445.99999999999994,0.9992974522555625,5.422565632711138e-06,0.9993028748211953,0.0006971251788047428,0.9992974522555625,5.422565632711138e-06
blank_calibration,false,446.99999999999994,0.9993095830414581,5.2567749527937664e-06,0.9993148398164109,0.0006851601835890902,0.9993095830414581,5.2567749527937664e-06
blank_calibration,false,448.00000000000006,0.9993229768942514,5.0971042230465034e-06,0.9993280739984745,0.0006719260015255288,0.9993229768942514,5.0971042230465034e-06
blank_calibration,false,449.0,0.9993374975537762,4.943490444427421e-06,0.9993424410442207,0.0006575589557793619,0.9993374975537762,4.943490444427421e-06
blank_calibration,false,450.0,0.9993530140180966,4.7958598583436616e-06,0.999357809877955,0.0006421901220450371,0.9993530140180966,4.7958598583436616e-06
blank_calibration,false,450.9999999999999,0.999369401125812,4.654128784365518e-06,0.9993740552545963,0.000625944745403672,0.999369401125812,4.654128784365518e-06
blank_calibration,false,451.99999999999994,0.9993865400428551,4.518204434152881e-06,0.9993910582472892,0.0006089417527107489,0.9993865400428551,4.518204434152881e-06
blank_calibration,false,453.00000000000006,0.9994043186567837,4.387985700538372e-06,0.9994087066424843,0.0005912933575157649,0.9994043186567837,4.387985700538372e-06
blank_calibration,false,453.9999999999999,0.9994226318820398,4.263363920890891e-06,0.9994268952459607,0.0005731047540392732,0.9994226318820398,4.263363920890891e-06
blank_calibration,false,455.00000000000006,0.9994413818802222,4.144223614051922e-06,0.9994455261038363,0.000554473896163702,0.9994413818802222,4.144223614051922e-06
