wavelength_nm,interval,lower_monitor,upper_monitor,lower_z_nm,upper_z_nm,F_lower,F_upper,signed_difference,absolute_difference,relative_difference,raw_power_difference_W,sourcepower_normalized_difference,monitor_T_difference
445.0,source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,-500.0,-110.0,-0.2176661557388126,0.7812348121971248,0.9989009679359373,0.9989009679359373,4.5891423246090834,9.395841791571546e-16,0.9989009679359373,0.9989009679359373
445.0,lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,-110.0,-90.0,0.7812348121971248,0.7812162025245599,-1.860967256483992e-05,1.860967256483992e-05,-2.3820843969436735e-05,-1.7504592029148203e-20,-1.860967256483992e-05,-1.860967256483992e-05
445.0,structure_bearing_interval,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,-90.0,590.0,0.7812162025245599,0.7766261714929378,-0.004590031031622144,0.004590031031622144,-0.005875493898858097,-4.31746557225193e-18,-0.004590031031622144,-0.004590031031622144
445.0,upper_fixed_mesh_transition,N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,590.0,610.0,0.7766261714929378,0.776603347390339,-2.2824102598795193e-05,2.2824102598795193e-05,-2.9388788887862947e-05,-2.1468760561546058e-20,-2.2824102598795193e-05,-2.2824102598795193e-05
445.0,upper_automatic_to_pml_front,N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,610.0,1100.0,0.776603347390339,0.7763392988090079,-0.0002640485813311111,0.0002640485813311111,-0.0003400044336898719,-2.4836883486077704e-19,-0.0002640485813311111,-0.0002640485813311111
445.99999999999994,source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,-500.0,-110.0,-0.22404242298836108,0.7747271844519121,0.9987696074402732,0.9987696074402732,4.457948606867901,9.395246704971897e-16,0.9987696074402732,0.9987696074402732
445.99999999999994,lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,-110.0,-90.0,0.7747271844519121,0.7747434457488706,1.6261296958419713e-05,1.6261296958419713e-05,2.098970745414583e-05,1.529671062565177e-20,1.6261296958419713e-05,1.6261296958419713e-05
445.99999999999994,structure_bearing_interval,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,-90.0,590.0,0.7747434457488706,0.7779334772924924,0.003190031543621852,0.003190031543621852,0.0041175327924695805,3.000805503661954e-18,0.003190031543621963,0.003190031543621852
445.99999999999994,upper_fixed_mesh_transition,N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,590.0,610.0,0.7779334772924924,0.7779535181339553,2.0040841462898307e-05,2.0040841462898307e-05,2.5761639070538706e-05,1.885206040672596e-20,2.0040841462787284e-05,2.0040841462898307e-05
445.99999999999994,upper_automatic_to_pml_front,N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,610.0,1100.0,0.7779535181339553,0.7782307279186611,0.0002772097847058008,0.0002772097847058008,0.00035633206643339357,2.607662765208019e-19,0.00027720978470591184,0.0002772097847058008
