batch_id,candidate_id,wavelength_nm,polarization,runtime_sec,result_status,fsp_path
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,450,x,17.94234037399292,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2b_36case_pilot\batch_01\fdtd_tmp\LPML1A4_0028_B300_exploration_B300_H600\LPML1A4_0028_B300_exploration_B300_H600_450_x.fsp
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,450,y,17.7825026512146,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2b_36case_pilot\batch_01\fdtd_tmp\LPML1A4_0028_B300_exploration_B300_H600\LPML1A4_0028_B300_exploration_B300_H600_450_y.fsp
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,450.5,x,19.69790530204773,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2b_36case_pilot\batch_01\fdtd_tmp\LPML1A4_0028_B300_exploration_B300_H600\LPML1A4_0028_B300_exploration_B300_H600_450p5_x.fsp
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,450.5,y,19.805191040039062,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2b_36case_pilot\batch_01\fdtd_tmp\LPML1A4_0028_B300_exploration_B300_H600\LPML1A4_0028_B300_exploration_B300_H600_450p5_y.fsp
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,451,x,19.828983068466187,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2b_36case_pilot\batch_01\fdtd_tmp\LPML1A4_0028_B300_exploration_B300_H600\LPML1A4_0028_B300_exploration_B300_H600_451_x.fsp
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,451,y,17.698940992355347,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2b_36case_pilot\batch_01\fdtd_tmp\LPML1A4_0028_B300_exploration_B300_H600\LPML1A4_0028_B300_exploration_B300_H600_451_y.fsp
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,451.5,x,19.80192470550537,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2b_36case_pilot\batch_01\fdtd_tmp\LPML1A4_0028_B300_exploration_B300_H600\LPML1A4_0028_B300_exploration_B300_H600_451p5_x.fsp
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,451.5,y,19.79751968383789,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2b_36case_pilot\batch_01\fdtd_tmp\LPML1A4_0028_B300_exploration_B300_H600\LPML1A4_0028_B300_exploration_B300_H600_451p5_y.fsp
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,452,x,17.78579354286194,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2b_36case_pilot\batch_01\fdtd_tmp\LPML1A4_0028_B300_exploration_B300_H600\LPML1A4_0028_B300_exploration_B300_H600_452_x.fsp
LPML1B2A_BATCH_01,LPML1A4_0028_B300_exploration_B300_H600,452,y,19.79538655281067,ok,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2b_36case_pilot\batch_01\fdtd_tmp\LPML1A4_0028_B300_exploration_B300_H600\LPML1A4_0028_B300_exploration_B300_H600_452_y.fsp
