batch_id,candidate_id,target_bin_deg,wavelength_nm,txx_re,txx_im,txy_re,txy_im,tyx_re,tyx_im,tyy_re,tyy_im,selected_Tx,leakage_xin_to_yout,leakage_yin_to_xout,y_direct_leakage,conversion_to_leakage_ratio,selected_phase_deg,nearest_bin_deg,phase_error_deg,matrix_error,spectral_pass,result_status,error_message,preliminary_status
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,450,-0.800930,-0.450188,-0.273869,-0.044346,-0.063107,0.006270,-0.913216,-0.030021,0.844158,0.004022,0.076971,0.834865,0.925780,209.339548,180,90.660452,1.041602,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,450.5,-0.834995,-0.366586,-0.216172,-0.028790,-0.031237,0.025172,-0.930671,0.102722,0.831602,0.001609,0.047559,0.876701,0.899749,203.702805,180,96.297195,1.055157,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,451,-0.855667,-0.280517,-0.167352,0.008179,-0.040496,0.037451,-0.945496,0.132377,0.810856,0.003043,0.028074,0.911485,0.863018,198.150926,180,101.849074,1.078182,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,451.5,-0.850061,-0.245780,-0.286253,-0.141647,-0.025286,0.075467,-0.768638,0.418845,0.783012,0.006335,0.102005,0.766236,0.901837,196.126283,180,103.873717,1.056853,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,452,-0.871158,-0.134842,-0.213950,0.059692,0.013517,-0.033066,-0.902662,0.191497,0.777099,0.001276,0.049338,0.851469,0.862670,188.798705,180,111.201295,1.077420,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,452.5,-0.869210,-0.079141,-0.206755,-0.000890,0.035445,-0.004855,-0.830714,0.368048,0.761789,0.001280,0.042748,0.825546,0.877339,185.202368,180,114.797632,1.068405,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,453,-0.865731,-0.020292,-0.162119,-0.033067,0.002184,-0.007702,-0.794279,0.430736,0.749903,0.000064,0.027376,0.816413,0.888733,181.342739,180,118.657261,1.060794,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,453.5,-0.857112,0.041315,-0.150749,-0.038282,-0.008099,-0.060380,-0.755577,0.461311,0.736348,0.003711,0.024191,0.783704,0.911441,177.240347,180,122.759653,1.049859,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0093_B300_exploration_B300_H500,300,454,-0.845455,0.100981,-0.166052,-0.052666,0.017714,-0.083140,-0.674223,0.528852,0.724992,0.007226,0.030347,0.734262,0.948187,173.188862,180,126.811138,1.031800,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0157_B300_exploration_B300_H500,300,450,-0.014392,-0.746757,0.301818,0.388486,0.153543,0.366422,-0.055928,-0.347125,0.557853,0.157840,0.242015,0.123623,1.525693,268.895883,240,31.104117,0.968701,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0157_B300_exploration_B300_H500,300,450.5,-0.029465,-0.788805,0.318724,0.361217,0.119028,0.324488,-0.077752,-0.371433,0.623082,0.119460,0.232063,0.144008,1.656823,267.860751,240,32.139249,0.891790,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0157_B300_exploration_B300_H500,300,451,-0.072565,-0.833570,0.318608,0.326052,0.054183,0.262028,-0.108834,-0.414375,0.700104,0.071594,0.207820,0.183551,1.788848,265.024737,240,34.975263,0.813192,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0157_B300_exploration_B300_H500,300,451.5,-0.149107,-0.868773,0.323113,0.282585,-0.032675,0.203523,-0.155473,-0.476848,0.776999,0.042489,0.184256,0.251556,1.782874,260.261225,240,39.738775,0.784586,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0157_B300_exploration_B300_H500,300,452,-0.240877,-0.865995,0.326897,0.238135,-0.167961,0.194125,-0.262846,-0.543040,0.807969,0.065896,0.163570,0.363980,1.531548,254.456085,240,45.543915,0.857025,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0157_B300_exploration_B300_H500,300,452.5,-0.351526,-0.779468,0.278193,0.213717,-0.321421,0.248981,-0.436330,-0.588391,0.731140,0.165303,0.123066,0.536587,1.108371,245.725456,240,54.274544,1.062222,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0157_B300_exploration_B300_H500,300,453,-0.455537,-0.606368,0.178081,0.250853,-0.376815,0.392037,-0.636161,-0.569938,0.575196,0.295683,0.094640,0.729530,0.697909,233.084089,240,66.915911,1.395316,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0157_B300_exploration_B300_H500,300,453.5,-0.459758,-0.408149,0.106099,0.370145,-0.286415,0.558848,-0.789434,-0.400649,0.377963,0.394345,0.148264,0.783725,0.405544,221.596961,240,78.403039,1.873276,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0157_B300_exploration_B300_H500,300,454,-0.376926,-0.270160,0.131121,0.489745,-0.159634,0.634370,-0.776146,-0.202371,0.215060,0.427909,0.257042,0.643356,0.238849,215.630933,240,84.369067,2.485248,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0178_B300_exploration_B300_H650,300,450,0.712960,0.681971,-0.248767,0.283387,-0.163427,0.114591,0.913196,-0.006070,0.973397,0.039840,0.142193,0.833964,0.997172,43.727366,60,103.727366,1.021648,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0178_B300_exploration_B300_H650,300,450.5,0.759886,0.634265,-0.185812,0.227066,-0.093733,0.099026,0.938307,-0.136550,0.979718,0.018592,0.086085,0.899066,0.994485,39.851222,60,99.851222,1.012187,fail,ok,,phase_wrong
